start	end	text
0	15000	我們今天非常非常榮幸呢能請到建智來跟我們談談就是他在blockchain相關的研究
15000	21000	那在讓建智開始這個他的演講之前呢先讓我介紹一下建智
21000	28000	建智或是大家可以叫他Joseph是這個University of Waterloo的PhD student
28000	34000	他現在在的系所呢是Electrical and Computer Engineering Faculty of Engineering
34000	39000	然後呢在他來到這個University of Waterloo之前呢
39000	44000	他曾經在台灣就是帶領銀行的新創銀行團隊呢
44000	51000	這個做這個Banking System的這個程式設計
51000	58000	然後呢他同時有Collaborate跟Microsoft Taiwan Collaborate就是相關就是Medical System的研究
58000	63000	那他的這個Doctoral Research主要是就是今天的主題Blockchain
63000	71000	然後呢他除此之外他也對比如說IoT Edge Computing Security還有AI都有涉獵而且是非常有興趣
71000	75000	那除此之外在這個主要研究之外呢
75000	82000	他同時也有Volunteer在Mentor台灣的學生參加就是
82000	86000	Sorry申請這個全世界的這個PhD Program
86000	89000	然後他也同時也有
89000	92000	Sorry我看一下喔
92000	95000	Sorry我中文英文翻譯有點問題
95000	97000	我只用英文唸好了
97000	107000	Volunteer to mentor new graduate student in his department and the Taiwan Global Ambassador of UW's Office of Advancement
107000	115000	然後呢他非常鼓勵台灣的學生可以跳出舒適圈追尋他們的夢想
115000	120000	好那我這邊先關掉
121000	125000	今天劍之要給我們帶來的演講題目是
125000	131000	An Implementation of Fake News Prevention by Blockchain and Entropy-Based Incentive Mechanism
131000	134000	那麻煩大家現在把麥克風打開
134000	137000	因為我們的麥克風現在預設是關掉的
137000	139000	先把麥克風全部打開
139000	143000	然後我們用熱烈的掌聲來歡迎我們今天的講者為我們帶來精彩的演講
144000	150000	好那交給你了
150000	152000	Thank you everyone
152000	154000	And thanks 劍勇
154000	158000	I originally thought I use the Chinese to give a speech
158000	162000	But I promised my English workshop to give an English presentation
162000	166000	So I still use English to give my presentation
166000	168000	But if you have any question
168000	171000	Feel free to ask in Chinese or English
171000	173000	Both are fine
173000	179000	So I'm so glad to give you this presentation
179000	185000	It's about we use blockchain technique to come back with the fake news
185000	187000	But before into the research
187000	193000	I would like to introduce my background and to let you understand me more
193000	202000	So this is my background
202000	204000	Actually I'm born in Taiwan
204000	208000	And when I graduated, I worked in Taiwan for several years
208000	214000	And as you can see, I originally in Hsinchu
214000	219000	And then I go back to Taipei and do some software development
219000	222000	And then I go to the banks
222000	224000	Issan Bank and China Trust
224000	226000	And then before I joined UW
226000	233000	I collaborated with Microsoft Taiwan as a technical consultant
233000	236000	And my educational background is that
236000	243000	I'm a computer science master degree in National Taiwan Ocean University
244000	251000	And for this part is that I introduced that in my master thesis
251000	255000	We developed some facial recognition system
255000	259000	That you could input the sentences and your image
259000	265000	And then our system could to generate animation like you
265000	269000	And this animation can say some sentences
269000	272000	So it's pretty interesting
272000	277000	And as you can see right now
277000	281000	A lot of application like this published very famous
281000	284000	So yeah, it's a life is a joke
284000	287000	If we put this product on the market
287000	290000	Maybe I'm a millionaire now, right?
290000	295000	And if I graduated and, you know, for engineering students
295000	301000	Seniors told you, you could go to the Hsinchu to get a job
301000	303000	And then you can get a lot of stocks
303000	305000	Then you can retire very soon
305000	307000	So it was my dream
307000	311000	So when I graduated, I went to Hsinchu
311000	317000	But, you know, in that year, we met some financial crisis
317000	327000	So I came back to Taipei to do software development
328000	334000	And at that time, I was very interested in mobile development
334000	337000	And in that generation, in that year
337000	343000	The Microsoft collaborated with the Nokia to deliver the new devices
343000	347000	That's the Nokia and the Windows phone on the market
347000	350000	So I joined one company
350000	355000	We as a manager and a team to develop some mobile apps
355000	359000	As you can see, yeah, the interesting one is the repost
359000	366000	We transfer the Nokia's games
366000	368000	It's a Barbie game, right?
368000	370000	If you're a child, you use this app
370000	375000	You can change the process of the app to us in this games
375000	381000	We transfer it from the iPhone and Android system to Windows phone
381000	384000	And then we do some application
384000	388000	We do some applications for, you know, the care, right?
388000	393000	And tool for the Taiwan taxi and also for the easy taxi
393000	398000	All these applications, I was so excited that I did this application
398000	403000	Because, you know, in apps, if you are a programmer
403000	408000	The apps could give you a very straightforward feedback from customers
408000	410000	So it's very interesting
411000	417000	However, the life gave me another joke
417000	424000	Is that the Windows phone did not succeed at that time
424000	429000	So, yeah, after I did this job for more than one year
429000	433000	I found that, yeah, no, this job cannot help me to
433000	437000	Enough money for me to buy, yeah
437000	443000	So I joined to banks and to run the directives
443000	446000	Some financial products and we built a system
446000	448000	It's called the Muiris
448000	451000	And this Muiris is a very powerful system
451000	453000	At the banking operations
453000	455000	If you are a trader, you could use this system
455000	460000	To record any financial products in this system
460000	466000	And all the Taiwan, the first tier, the banks use this system
466000	468000	So I went to China Trust
468000	472000	And then I went to Hunter
472000	476000	Invite me to join Yishan Bank to introduce Muiris to their banks
476000	479000	And then when I finished this Muiris project
479000	483000	Yeah, we made a big project in Taiwan
483000	488000	Is that the Asian Pacific Organization came to Taiwan
488000	493000	They do some resource to how does Taiwan do
494000	498000	In the anti-money laundry, which is a fine system
498000	502000	And so when I, I was kidding that
502000	506000	So, yeah, I'm one of the Taiwan representative
506000	508000	The national teams in Taiwan is very honored for us
508000	511000	But it's really tough to do that
511000	514000	We need to finish it out of the requirements in a very short time
514000	517000	But, yeah, the final result is very good
517000	522000	And I also got a promotion in Yishan Bank
522000	525000	So far, it looks so good
525000	530000	So why I want to go study abroad
530000	533000	That's because that I was thinking about that
533000	537000	If I still stay in Taiwan, right
537000	542000	Maybe I could gather good jobs and to be promoted
542000	544000	Continue to be promoted
544000	548000	But, yeah, I was very
548000	554000	I heard about some great new technology skills
554000	557000	Or some new products from Silicon Valley
557000	559000	Or from North America
559000	564000	So it was always be my dream to study abroad
564000	567000	So I was so hesitate
567000	574000	But, yeah, I just to give myself a chance to do this
574000	579000	And so right now I was thinking about that
579000	582000	The thing is that if you have a dream
582000	585000	It only could stop you, it's just yourself
585000	590000	So I just want to encourage all of my friends
590000	596000	Or the participants or some young students in this meeting
596000	599000	You could to just to check your dreams
599000	603000	Or not to limit yourself
604000	607000	And so right now I'm here in Canada
607000	612000	So I saw a lot of beautiful things
612000	616000	But, yeah, the period is also
616000	619000	When I prepare for this study process
619000	621000	I met a lot of difficulties
621000	626000	But, yeah, it's worth it, I think
626000	629000	And, yeah, this is my
629000	630000	A lot of my motto is that
631000	633000	Actually adventure may hurt you
633000	638000	But monotony, which means that you always do the same things
638000	642000	It will kill you, kill you creative or other things
642000	645000	So, yeah, that's all my background introduction
645000	649000	So I will stop here for a while
649000	652000	If you have any question, you could ask me right now
660000	671000	OK, I think you have any question
671000	676000	Feel free to ask me and we can discuss more
676000	681000	And so I wrote some of my experiences in my blog
681000	683000	And some medium if you have
683000	686000	You could check it and to get more detail
686000	689000	If you also want to trust your dreams
689000	691000	Or you have some dream career
691000	696000	Or you could also find me on those pages
696000	701000	And, yeah, we could discuss more about your passion
701000	707000	And, OK, so let's get to our main research topic today
707000	710000	Today we're going to talk about
