start	end	text
0	2000	整理&字幕 沛隊字幕小組
4000	9000	主持人 歡迎來到今天3月20號的Tyra Talk
9000	19000	今天我們請到的講者是蘇冠林博士
19000	25000	他之前是在UIUC取得博士學位
25000	30000	然後之後到UC Berkeley做博士後研究員
30000	37000	他的研究方向是機體光錄、抑質光學整合製程
37000	40000	還有波長可調半導體的雷射
40000	47000	他今天要講的題目主要是他在UC Berkeley的一些工作
47000	54000	我想應該是跟半導體雷射和他的一些整合有很大的關係
54000	60000	稍微我們就可以聽到他精彩的演講
60000	64000	我們先打開麥克風給講者一個鼓勵好不好
64000	67000	大家可以打開麥克風鼓掌
67000	76000	我們就直接讓冠林開始囉
76000	78000	謝謝Jason的介紹
78000	80000	謝謝各位來參加我的Talk
80000	83000	我要特別感謝Tyra能夠提供這個平台
83000	86000	讓我們今天可以就這個主題進行交流
86000	89000	我今天的題目就是光子整合技術
89000	93000	還有高效能的波長可調式雷射
93000	95000	像Jason剛剛提到
95000	99000	我是在UC Berkeley做博士後研究的東西
99000	101000	我現在的affiliation
101000	105000	我現在所屬的單位是Intel Labs的research scientist
106000	110000	那為什麼我要特別提這個領域呢
110000	114000	其實大家可能對這個畫面並不是特別陌生
114000	117000	這個是一個WiFi速度測試的網頁
117000	121000	今天只要我連接到各位的屏幕上的WiFi
121000	125000	它其實背後就是由這些光子整合技術所架構起來的
125000	128000	我們叫做光收發器Optical Transceiver
128000	131000	這一面是我這根綠色的一根一根一排一排的
131000	133000	全都是Optical Transceiver
133000	137000	裡面全都帶有這些光子整合技術的元件
137000	141000	那這也是目前光子整合技術競爭最激烈
141000	143000	基本上白刃戰的一個領域
143000	145000	那但這個即便它非常激烈
145000	147000	它其實只是一個開始
147000	152000	就是光子整合技術它其實開發了很多的機會
152000	153000	那這個技術呢
153000	156000	我個人覺得它是結合了雷射物理
156000	158000	還有光學還有放大體製程
158000	161000	這三個一個很均勻的一個結合
161000	163000	那是一個很平衡的體現
163000	166000	我自己覺得是還蠻有美感的
166000	169000	所以我希望要需要大量的投入
169000	171000	然後像剛剛Jason講的
171000	176000	如果我們能利用好這個Terra這個Journal Club
176000	179000	我相信我們可以在這個領域
179000	181000	揪一堆志同道合的人
181000	183000	然後來進一步推展
187000	190000	那我今天的talk主要分成三個部分
190000	192000	第一個部分就是Laser Introduction
192000	194000	就是跟大家介紹一下
194000	196000	究竟什麼是光子整合技術
196000	198000	那還有它一些basics
198000	200000	它一些最基礎的東西
200000	202000	那接下來就是兩個範例
202000	204000	就是我在Berkeley做過兩個範例
204000	207000	是大概是很寬的Wireless Tunable
207000	208000	就是它可以被
208000	212000	它播場是可以調幾十納米的一個放大體雷射
212000	213000	然後以及第二個呢
213000	215000	是一個系統級別的工作
215000	217000	它是一個Laser Power Guiding System
217000	218000	它是一個類似
218000	221000	我們想要demo一個防Data Center
221000	224000	防數據中心一個很節能的一個
224000	226000	網路資源分散的系統
226000	228000	那這也是使用光子整合來做的
228000	230000	接下來就是我的summary
230000	234000	那就比較不好意思就是說
234000	235000	要給大家一個disclaimer
235000	237000	就是因為我現在在一個
237000	239000	研究光子整合技術
239000	241000	做一個獲利手段的一個機構
241000	242000	也就是Intel
242000	246000	那我的今天的意見啊
246000	247000	我的發現啊
247000	249000	還有我的這個summary的conclusion
249000	252000	其實就不見得代表公司的立場
252000	253000	其實僅僅
253000	254000	大家可以把我當成一個postdoc
254000	255000	就可以了
255000	257000	就是這個意思
257000	258000	好
258000	260000	那什麼是光子整合技術呢
260000	262000	其實我們都知道
262000	265000	太陽底下是沒有太新鮮的事情
265000	266000	這光子整合技術呢
266000	267000	它就是讓光子元件呢
267000	270000	重新走向微電子元件所走過的
270000	273000	從這個桌上到晶圓上這條路
273000	275000	我們今天要從光學桌走到晶圓上
275000	277000	這就是光子整合技術
277000	279000	它所代表的一個
279000	281000	技術上的一個essence
281000	283000	它的本質就是這個樣子
283000	284000	那這個技術呢
284000	285000	它在1969年代
285000	288000	當時是AT&T的Bell Labs
288000	291000	當時由Steward Miller這個人提出的
291000	292000	他當時
292000	294000	這篇文章是非常重要的文章
294000	296000	他提出了三個非常重要的重點
296000	297000	第一個
297000	298000	就是我們要怎麼把光
298000	300000	從光學桌上free space
300000	302000	弄到晶片上
302000	304000	我們必須在這個晶片上
304000	307000	製造出一定的光學折射率的落差
307000	310000	以可以形成這個導播結構
310000	312000	web-guiding的一個structure
312000	315000	那等到這件事情被實現了之後呢
315000	316000	他說
316000	317000	那這件事情實現之後
317000	319000	我們就可以提升整個系統的stability
319000	321000	就是它的可靠度會增加
321000	323000	不像做free space的時候
323000	325000	我們常常需要調一些元件
325000	327000	在所有東西都在同一個晶片上的時候
327000	329000	這件事情其實是可以被省略
329000	331000	可以忽略這一步不計
331000	333000	那這一步也完成了之後
333000	335000	他做了一個最大膽的預測
335000	337000	就是他認為這個東西
337000	339000	會有一定的市場規模
339000	340000	那在50年後
340000	342000	今天我們也看到
342000	344000	就像剛剛說的光受發器
344000	346000	它是一個非常
346000	348000	新奇的一個市場
348000	350000	這也基本符合Miller他的預言
350000	352000	他沒預言到的東西呢
352000	353000	其實就是人類
353000	355000	他人類已經
355000	357000	突破了他當時所說
357000	359000	單一的晶片的整合製程
359000	361000	可以在單一晶片上整合多的材料
361000	363000	或是我們把不同的材料
363000	365000	兩個晶片整合在一起
365000	367000	那可以打破單一個材料
367000	369000	所給我們設下的物理限制
369000	371000	這我們就是hybridization material
371000	373000	就是你同時
373000	375000	集合很多的不同
375000	376000	光學性質的材料呢
376000	378000	你就可以突破他們單一個
378000	380000	存在的時候所設下的物理極限
380000	381000	那這個東西呢
381000	383000	它也是推動這個工業界
383000	385000	跟學術界前進的一個
385000	387000	強大的力量
387000	388000	那它基本上呢
388000	390000	這就是目前
390000	392000	最激烈的領域了
392000	393000	左邊這個地方呢
393000	395000	就是我們傳統光通信啊
395000	396000	還有sensing啊
396000	397000	還有這些
397000	398000	網路系統
398000	399000	比如說去年
399000	400000	剛剛被demo出來的
400000	402000	兩個parabit per second
402000	404000	就十二十二次方的
404000	406000	零個一的pair的傳輸量
406000	407000	那它是
407000	409000	不是不僅僅是光受發器
409000	411000	它是在PGA放在一起
411000	413000	所以它這是一個非常
413000	415000	非常新的一個結果
415000	417000	這個是去年三月的事情
417000	418000	那再來
418000	419000	大概十幾年
419000	421000	十年前的Indian Phosphite
421000	423000	在單子零化驗上做出來的
423000	424000	on chip
424000	425000	就是片上的一個
425000	427000	晶片上的光學縮像環
427000	429000	它三百MHz的bandwidth
429000	431000	那再來這是去年的
431000	433000	這個三十個平行通道的
433000	435000	光雷達
435000	436000	調頻連續波光雷達
436000	437000	這是一個
437000	439000	現在最
439000	441000	HIDAR裡面大家最
441000	443000	研究最多的一個技術
443000	444000	就是調頻連續波
444000	446000	但它是三十個channel
446000	447000	同時一起的
447000	449000	所以是很大的傳輸量
449000	451000	那再來日本的這個AIST
451000	453000	他們也show了這個
453000	455000	八百個gigabit per second
455000	456000	的data傳輸
456000	458000	而且它是具有光開關的
458000	459000	data傳輸
459000	460000	而且它是lossless
460000	462000	基本上它是沒有任何
462000	463000	多少power進去
463000	465000	多少power就會出來
465000	466000	沒有損耗
466000	468000	那在比較尖端的領域呢
468000	470000	就比如說精細測量
470000	471000	quantum
471000	472000	machine learning
472000	473000	這種地方呢
473000	474000	NIST
474000	475000	它這個美國偉大表演局
475000	476000	他們
476000	478000	在2018年demo出來一個
478000	480000	光學的頻率產生器
480000	481000	直接在西本
481000	483000	所謂的
483000	484000	所謂的這個
484000	486000	1550nm
486000	488000	的
488000	489000	1.93kHz的地方呢
489000	492000	它直接產生了一個光學的頻率
492000	494000	而且它精度可以到1Hz
494000	496000	也就是說它的
496000	499000	它的誤差只有10-14-15
499000	500000	這是一個很
500000	503000	很精細的一個頻率產生器
503000	504000	那西班牙的一個group
504000	506000	它去年也做出了這個
506000	508000	光學版的APG
508000	510000	現場可編程的門正列
510000	511000	它這個
511000	513000	它是由多個unicell組成
513000	515000	它可以做出各種transfer function
515000	517000	你希望怎麼program它
517000	519000	你就怎麼program它的一個
519000	520000	一個光子電路
520000	522000	那再來也有今年剛出來的
522000	524000	用光子電路來做
524000	525000	neural network
525000	526000	convolutional neural network
526000	528000	它可以做圖像識別
528000	530000	那連接這兩個最極端領域
530000	531000	就工業電源學術界呢
531000	533000	其實離不開的就是我們所謂的
533000	535000	high performance的光源
535000	536000	那
536000	537000	經由光子整合技術
537000	539000	我們現在半導體雷射的線寬
539000	540000	已經被壓到
540000	541000	single hertz
541000	543000	就大概3hz左右
543000	544000	那turnability
544000	546000	已經突破100nm
546000	547000	這是西本
547000	548000	所以它就是1550左右
548000	550000	所以它大概可以調14-16
550000	552000	到00nm
552000	553000	那
553000	555000	還有我們這個晶片上的一個光放大器
555000	557000	它現在已經突破27個dB
557000	559000	也就是500倍的光放大
559000	560000	在那個晶片上
560000	561000	它可以承受500倍的loss
561000	564000	它可以持續把你的signalcover回來
564000	566000	那再來還有一個frequency cone
566000	567000	它是可以
567000	569000	4號電池直接產生的
569000	571000	所以這也是一個非常
571000	574000	非常ground breaking的一個work
574000	575000	那其實這些
575000	577000	這些比較驚人的這些
577000	578000	研究呢
578000	579000	它其實下面的東西
579000	580000	其實非常基本
580000	582000	非常
582000	584000	就是fundamental的東西呢
584000	586000	就是我們所謂的waveguiding
586000	587000	剛才Miller所提到的
587000	589000	這個單一個晶片上
589000	591000	所造成的折射率這麼差
591000	593000	那左邊這個就是一個SEM
593000	594000	就是一個光學晶片
594000	596000	裡面光路的SEM
596000	597000	光就是在這些
597000	598000	我們所謂的光導線
598000	600000	光路裡面
600000	601000	傳播
601000	603000	那當我們把這個
603000	604000	比如說這個
604000	605000	直的這個光波導
605000	606000	我們把它切開
606000	607000	我們在cross section
607000	608000	那截面積的地方
608000	610000	我們會看到如此的材料分布
610000	611000	比如說在這個paper裡面
611000	613000	它的導光的材料
613000	615000	是氮化矽
615000	617000	那下面是由一個
617000	618000	折射率比較低的
618000	619000	就是二氧化矽
619000	621000	作為它的下面的材料
621000	623000	四座都是空氣
623000	625000	所以說你切一個截面積的話
625000	626000	你看到它的index
626000	627000	它的折射率分布
627000	629000	其實是一個step的東西
629000	632000	那在這一種邊界條件之下呢
632000	633000	我們Maxwell equation
633000	634000	它其實會退化成一個
634000	636000	Eigenvalue的problem
636000	638000	它的解是離散
638000	639000	然後它這個解
639000	641000	就是我們所謂的waveguide mode
641000	642000	它解基本上長這樣子
642000	645000	那和平面波不同的地方是
645000	646000	waveguide mode
646000	647000	它傳播呢
647000	649000	它是由一個叫等效折射率
649000	651000	所定義的
651000	652000	它的等效折射率
652000	653000	大概介於低折射率
653000	654000	跟高折射率中間
654000	656000	分佈一個值
656000	657000	那它的場型也是
657000	659000	基本上有一定的規則
659000	661000	就是它的峰值呢
661000	663000	它就是一個半波長
663000	665000	可以fit in這個index
665000	667000	然後它的峰值大概在中間
667000	668000	這樣子
668000	670000	那我們可以經由改變這個
670000	671000	光波導
671000	672000	這個我們所謂的waveguide
672000	674000	那光波導的它的介面技能
674000	676000	我們可以來engineer它的mode
676000	678000	比如說我們可以用這個
678000	679000	增寬一點呢
679000	681000	我們現在就可以fit in三個mode
681000	684000	就是比如說比剛才多了好幾個
684000	686000	所以我們只需要能夠掌握
686000	688000	這個光波導它的
688000	689000	基本的設計
689000	690000	比如說它的材料
690000	692000	它的index的落差
692000	693000	光學的落差
693000	694000	光學折射率的落差
694000	695000	以及它的尺寸
695000	697000	我們可以設計出不同的
697000	698000	photonic device
698000	699000	光值元件
700000	702000	那在這個talk
702000	705000	我想要介紹幾個光值元件
705000	706000	首先這一個呢
706000	707000	就是我剛才說的
707000	709000	如果我們用一個單模的
709000	713000	單個support一個mode的光學
713000	714000	光波導
714000	715000	我們激發一個可以support
715000	716000	多個mode的光波導
716000	717000	就這個光波導
717000	719000	它是比較肥的
719000	721000	那我可以激發同時
721000	722000	很多個waveguide mode
722000	724000	那它們之間會產生干涉
724000	725000	那這個干涉的圖形呢
725000	727000	是可以被準確的理論預測的
727000	729000	那比如說
729000	731000	這是很規則的干涉條文
731000	733000	那之後我們如果在這個
733000	734000	適當的長度把它截斷
734000	736000	這個比較粗光波的光波導的話
736000	740000	我們可以做成分佈器
740000	741000	分佈器
744000	747000	那像像像這個
747000	749000	這個例子呢
749000	752000	我們就是一乘三的分佈器
752000	755000	再把一個單模的一個waveguide呢
755000	757000	我們把它架設兩個鏡子
757000	758000	partially的鏡子
758000	759000	就是百分之百
759000	761000	它就可以形成一個cavity
761000	762000	就是共振槍
762000	764000	那如果在這個共振槍之內
764000	766000	我們再加上一些光學增益的材料
766000	768000	也就是說它會提供gain
768000	770000	然後可以去補償
770000	772000	這個整個共振槍的負荷的話
772000	773000	在適當條件下
773000	775000	它就會形成我們所謂的受激輻射
775000	776000	就是我們的laser
776000	778000	那這個
778000	779000	這個輻線呢
779000	780000	一個一個輻線
780000	781000	它其實反映的就是
781000	782000	能夠
782000	784000	所有能夠在這個共振槍
784000	787000	裡面形成整束的助波的波長
787000	789000	就我們所謂的雷射綜模
789000	791000	longitudinal mode
791000	792000	就這個雷射
792000	794000	它主要能發光的這些波長
794000	796000	那當然我們也可以把一個
796000	799000	單合模的這個single mode waveguide
799000	800000	我們進入比較複雜的繞線
800000	803000	來做成濾波器的形式
803000	804000	那第一個濾波器
804000	805000	就是我們所謂的
805000	806000	markzender的乾涉儀
806000	807000	那另外的話
807000	810000	你也可以把它做成一個環形的共振槍
810000	811000	所以把光打進去
811000	812000	這裡出來的光
812000	814000	也是可以達到濾波的效果
814000	816000	那markzender的乾涉儀呢
816000	817000	它的transformation
817000	819000	就是一個很經典的sine wave
819000	820000	它是一個正弦波
820000	821000	從0到8%
821000	823000	那這個環形的乾涉儀呢
823000	824000	它的transformation
824000	826000	就是一個比較精銳的東西
826000	828000	因為它中間是需要達到一個共振
828000	830000	所以它的frequency的selection
