start	end	text
0	3000	整理&字幕由 Amara.org 社群提供
4380	23180	我在這邊先開始介紹今天的講者,今天的講者是邱怡庭,怡庭是成功大學都市計劃學系畢業,同時輔修了政治學系。碩士是在台大國家發展研究所經濟組畢業,現在是George Mason Public Policy的PhD候選人。
23500	42560	怡庭從事的跨領域政策研究,主要興趣在於地方及國家發展。近年來重要的經歷包括,臺灣經濟研究院中美貿易戰、華府智庫的訪韓助理、銀髮族中生學習非營利組織EnCORE Learning的課程講師。
43140	48760	這是今天講者的介紹,我們廢話不多說,就請怡庭開始今天的演講吧,謝謝。
48760	73540	主持人瀟洛 非常謝謝主持人的介紹,請各位都聽得到吧,非常感謝今天大家來撥空來聆聽我的簡報,不好意思,大家都看得到畫面吧,這是我的博士論文的題目。
79760	81760	我再分享一下,抱歉。
92760	94760	請問各位現在看得到畫面嗎?
94760	96760	請問各位現在看得到畫面嗎?
124760	126760	請問各位現在看得到畫面嗎?
184760	186760	請問各位現在看得到畫面嗎?
214760	217760	請問各位現在看得到畫面嗎?
245760	247760	請問各位現在看得到畫面嗎?
249760	251760	請問各位現在看得到畫面嗎?
253760	255760	請問各位現在看得到畫面嗎?
255760	256740	請問各位現在看得到畫面嗎?
256760	258760	請問各位現在看得到畫面嗎?
258760	259740	請問各位現在看得到畫面嗎?
259760	261760	請問各位現在看得到畫面嗎?
263760	265760	請問各位現在看得到畫面嗎?
268760	270760	請問各位現在看得到畫面嗎?
271760	273760	請問各位現在看得到畫面嗎?
274760	276760	請問各位現在看得到畫面嗎?
276760	278760	請問各位現在看得到畫面嗎?
304760	306760	請問各位現在看得到畫面嗎?
306760	308760	請問各位現在看得到畫面嗎?
308760	310760	請問各位現在看得到畫面嗎?
310760	312760	請問各位現在看得到畫面嗎?
312760	314760	請問各位現在看得到畫面嗎?
314760	316760	請問各位現在看得到畫面嗎?
316760	318760	請問各位現在看得到畫面嗎?
318760	320760	請問各位現在看得到畫面嗎?
327760	329760	請問各位現在看的到畫面嗎?
329760	330740	請問各位現在看得到畫面嗎?
330760	331760	請問各位現在看得到畫面嗎?
331760	335760	請問各位現在看得到畫面嗎?
335760	337760	請問各位現在看得到畫面嗎?
337760	339760	請問各位現在看得到畫面嗎?
339760	341760	請問各位現在看得到畫面嗎?
341760	343760	請問各位現在看得到畫面嗎?
343760	345760	請問各位現在看得到畫面嗎?
345760	347760	請問各位現在看得到畫面嗎?
347760	349760	請問各位現在看得到畫面嗎?
349760	351760	請問各位現在看得到畫面嗎?
351760	353760	請問各位現在看得到畫面嗎?
353760	355760	請問各位現在看得到畫面嗎?
355760	357760	請問各位現在看得到畫面嗎?
357760	359760	請問各位現在看得到畫面嗎?
359760	361760	請問各位現在看得到畫面嗎?
361760	363760	請問各位現在看得到畫面嗎?
363760	365760	請問各位現在看得到畫面嗎?
365760	367760	請問各位現在看得到畫面嗎?
367760	369760	請問各位現在看得到畫面嗎?
369760	371760	請問各位現在看得到畫面嗎?
371760	373760	請問各位現在看得到畫面嗎?
373760	375760	請問各位現在看得到畫面嗎?
375760	377760	請問各位現在看得到畫面嗎?
377760	379760	請問各位現在看得到畫面嗎?
379760	381760	請問各位現在看得到畫面嗎?
381760	383760	請問各位現在看得到畫面嗎?
383760	385760	請問各位現在看得到畫面嗎?
385760	387760	請問各位現在看得到畫面嗎?
387760	389760	請問各位現在看得到畫面嗎?
389760	391760	請問各位現在看得到畫面嗎?
391760	393760	請問各位現在看得到畫面嗎?
393760	395760	請問各位現在看得到畫面嗎?
395760	397760	請問各位現在看得到畫面嗎?
397760	399760	請問各位現在看得到畫面嗎?
399760	401760	請問各位現在看得到畫面嗎?
401760	403760	請問各位現在看得到畫面嗎?
403760	405760	請問各位現在看得到畫面嗎?
405760	407760	請問各位現在看得到畫面嗎?
407760	409760	請問各位現在看得到畫面嗎?
409760	411760	請問各位現在看得到畫面嗎?
411760	413760	請問各位現在看得到畫面嗎?
413760	415760	請問各位現在看得到畫面嗎?
415760	417760	請問各位現在看得到畫面嗎?
417760	419760	請問各位現在看得到畫面嗎?
419760	421760	請問各位現在看得到畫面嗎?
421760	423760	請問各位現在看得到畫面嗎?
423760	425760	請問各位現在看得到畫面嗎?
425760	427760	請問各位現在看得到畫面嗎?
427760	429760	請問各位現在看得到畫面嗎?
429760	431760	請問各位現在看得到畫面嗎?
431760	433760	請問各位現在看得到畫面嗎?
433760	435760	請問各位現在看得到畫面嗎?
435760	437760	請問各位現在看得到畫面嗎?
437760	439760	請問各位現在看得到畫面嗎?
439760	441760	請問各位現在看得到畫面嗎?
441760	443760	請問各位現在看得到畫面嗎?
443760	445760	請問各位現在看得到畫面嗎?
445760	447760	請問各位現在看得到畫面嗎?
447760	449760	請問各位現在看得到畫面嗎?
449760	451760	請問各位現在看得到畫面嗎?
451760	453760	請問各位現在看得到畫面嗎?
453760	455760	請問各位現在看得到畫面嗎?
455760	457760	請問各位現在看得到畫面嗎?
457760	459760	請問各位現在看得到畫面嗎?
459760	461760	請問各位現在看得到畫面嗎?
461760	463760	請問各位現在看得到畫面嗎?
463760	465760	請問各位現在看得到畫面嗎?
465760	467760	請問各位現在看得到畫面嗎?
467760	469760	請問各位現在看得到畫面嗎?
469760	471760	請問各位現在看得到畫面嗎?
471760	473760	請問各位現在看得到畫面嗎?
473760	475760	請問各位現在看得到畫面嗎?
475760	477760	請問各位現在看得到畫面嗎?
477760	479760	請問各位現在看得到畫面嗎?
479760	481760	請問各位現在看得到畫面嗎?
481760	483760	請問各位現在看得到畫面嗎?
483760	485760	請問各位現在看得到畫面嗎?
485760	487760	請問各位現在看得到畫面嗎?
487760	489760	請問各位現在看得到畫面嗎?
489760	491760	請問各位現在看得到畫面嗎?
491760	493760	請問各位現在看得到畫面嗎?
493760	495760	請問各位現在看得到畫面嗎?
495760	497760	請問各位現在看得到畫面嗎?
497760	499760	請問各位現在看得到畫面嗎?
499760	501760	請問各位現在看得到畫面嗎?
501760	503760	請問各位現在看得到畫面嗎?
503760	505760	請問各位現在看得到畫面嗎?
505760	507760	請問各位現在看得到畫面嗎?
507760	509760	請問各位現在看得到畫面嗎?
509760	511760	請問各位現在看得到畫面嗎?
511760	513760	請問各位現在看得到畫面嗎?
513760	515760	請問各位現在看得到畫面嗎?
515760	517760	請問各位現在看得到畫面嗎?
517760	519760	請問各位現在看得到畫面嗎?
519760	521760	請問各位現在看得到畫面嗎?
521760	523760	請問各位現在看得到畫面嗎?
523760	525760	請問各位現在看得到畫面嗎?
525760	527760	請問各位現在看得到畫面嗎?
527760	529760	請問各位現在看得到畫面嗎?
529760	531760	請問各位現在看得到畫面嗎?
531760	533760	請問各位現在看得到畫面嗎?
533760	535760	請問各位現在看得到畫面嗎?
535760	537760	請問各位現在看得到畫面嗎?
537760	539760	請問各位現在看得到畫面嗎?
539760	541760	請問各位現在看得到畫面嗎?
541760	543760	請問各位現在看得到畫面嗎?
543760	545760	請問各位現在看得到畫面嗎?
545760	547760	請問各位現在看得到畫面嗎?
547760	549760	請問各位現在看得到畫面嗎?
549760	551760	請問各位現在看得到畫面嗎?
551760	553760	請問各位現在看得到畫面嗎?
553760	555760	請問各位現在看得到畫面嗎?
555760	557760	請問各位現在看得到畫面嗎?
557760	559760	請問各位現在看得到畫面嗎?
559760	561760	請問各位現在看得到畫面嗎?
561760	563760	請問各位現在看得到畫面嗎?
563760	565760	請問各位現在看得到畫面嗎?
565760	567760	請問各位現在看得到畫面嗎?
567760	569760	請問各位現在看得到畫面嗎?
569760	571760	請問各位現在看得到畫面嗎?
571760	573760	請問各位現在看得到畫面嗎?
573760	575760	請問各位現在看得到畫面嗎?
575760	577760	請問各位現在看得到畫面嗎?
577760	579760	請問各位現在看得到畫面嗎?
579760	581760	請問各位現在看得到畫面嗎?
581760	583760	請問各位現在看得到畫面嗎?
583760	585760	請問各位現在看得到畫面嗎?
585760	587760	請問各位現在看得到畫面嗎?
587760	589760	請問各位現在看得到畫面嗎?
589760	591760	請問各位現在看得到畫面嗎?
591760	593760	請問各位現在看得到畫面嗎?
593760	595760	請問各位現在看得到畫面嗎?
595760	597760	請問各位現在看得到畫面嗎?
597760	599760	請問各位現在看得到畫面嗎?
599760	601760	請問各位現在看得到畫面嗎?
601760	603760	請問各位現在看得到畫面嗎?
603760	605760	請問各位現在看得到畫面嗎?
605760	607760	請問各位現在看得到畫面嗎?
607760	609760	請問各位現在看得到畫面嗎?
609760	611760	請問各位現在看得到畫面嗎?
611760	613760	請問各位現在看得到畫面嗎?
613760	615760	請問各位現在看得到畫面嗎?
615760	617760	請問各位現在看得到畫面嗎?
617760	619760	請問各位現在看得到畫面嗎?
619760	621760	請問各位現在看得到畫面嗎?
621760	623760	請問各位現在看得到畫面嗎?
623760	625760	請問各位現在看得到畫面嗎?
625760	627760	請問各位現在看得到畫面嗎?
627760	629760	請問各位現在看得到畫面嗎?
629760	631760	請問各位現在看得到畫面嗎?
