start	end	text
0	5000	然後我現在開始介紹一下
30000	36000	她的研究興趣包括人類地理,勞動和夫妻移民,
36000	40000	城市計劃,南太平洋循環移民,
40000	44000	資源和生活,南亞洲研究,
44000	48000	農業經濟,澳洲助手,
48000	51000	使用者體驗的結局,
51000	54000	遺憾和廣泛發展。
54000	57000	Annie擅長英文和中文,
57000	62000	Tatooine和台灣語。
62000	65000	好,那我們請Annie開始妳的演講,謝謝。
65000	67000	好,謝謝大家,
67000	73000	所以我現在可能要跟大家稍微科普一下我今天的題目,
73000	77000	因為我的題目定格是Life After Migration,
77000	80000	Migration, Urbanization, and Mobility in D.L.E.
80000	83000	所以D.L.E.是這個國家叫做,
83000	85000	中文翻譯叫做東帝汶,
85000	88000	英文叫做Demolished State的首都,
88000	92000	然後它所在,我可以看到像我的PowerPoint上面,
92000	94000	有一個很可愛的小屋,
94000	96000	它其實是他們所謂的,
96000	100000	如果按照台灣的說法叫做祖靈的小屋,
100000	103000	它是一個Traditional Sacred House,
103000	108000	那我以前還在讀PhD的時候呢,
108000	112000	我在東帝汶住了大概七個月,
112000	117000	所以是2018年的年中到2019年的年初,
117000	119000	我在那邊做田野,
119000	122000	那我剛剛主持人介紹,
122000	125000	有說我本身會說那個德頓語,
125000	130000	對於我很多的訪問是用英文加上德頓語,
130000	133000	就是拿到的資料得來,
133000	135000	那我在回到澳洲之後呢,
135000	137000	我後來就是,
137000	141000	之後我在雪梨大學把我的PhD做完,
141000	143000	然後就去了UTS,
143000	146000	我們講的雪梨科技大學,
146000	149000	當就是Senior Research Officer,
149000	151000	如果是在美國制度的話,
151000	153000	我應該算是個助理研究員,
153000	155000	或者是助理教授,
155000	157000	可是因為在澳洲,
157000	159000	我們分的那個Stream分得很清楚,
159000	161000	所以我只做研究,
161000	164000	我今年這個學期沒有教書,
164000	167000	所以我就不稱我自己Professor了,
168000	172000	所以我們在澳洲的制度是講師,
172000	173000	資深講師,
173000	175000	然後副教授跟教授,
175000	176000	因為我們沒有,
176000	179000	我們事實上沒有助理教授這個東西,
179000	182000	所以就是Lecturer, Senior Lecturer,
182000	184000	Associate Professor跟Professor這樣子,
184000	188000	那在我的PowerPoint上面,
188000	190000	大家可以看到,
190000	192000	我今天要講的就是大概,
192000	195000	我們會科普一下東帝文,
195000	197000	還有澳洲跟澳洲關係,
197000	200000	因為我了解我們聽眾也許大部分在台灣,
200000	202000	或者是在美國,
202000	206000	那可能大家對南太平洋群島這塊,
206000	208000	沒有說很了解,
208000	210000	那我覺得說,
210000	213000	這個就是所謂的科普演講可貴的地方,
213000	217000	因為它讓我們看到了人生另一種不一樣的可能性,
217000	220000	那當然因為它還是一個研究的主題,
220000	221000	所以我還是講一下,
221000	223000	那我到底是研究什麼,
223000	225000	那我的方法呢,
225000	227000	我的方法到底是什麼,
227000	231000	就是地理學的角度來說,
231000	233000	那去那裡住了七個月,
233000	235000	那有什麼用呢,
