start	end	text
0	3000	整理&字幕 由 Amara.org 社群提供的字幕
30000	39000	整理&字幕 由 Amara.org 社群提供的字幕
60000	68000	整理&字幕 由 Amara.org 社群提供的字幕
90000	98000	整理&字幕 由 Amara.org 社群提供的字幕
120000	125000	推特實驗
125000	130000	推特實驗
130000	153000	推特實驗
153000	176000	推特實驗
176000	202000	推特實驗
202000	230000	推特實驗
230000	253000	推特實驗
253000	282000	推特實驗
283000	308000	推特實驗
308000	331000	推特實驗
331000	356000	推特實驗
356000	382000	推特實驗
382000	408000	推特實驗
408000	436000	推特實驗
436000	464000	推特實驗
464000	490000	推特實驗
490000	513000	推特實驗
513000	539000	推特實驗
539000	567000	推特實驗
567000	596000	推特實驗
596000	624000	推特實驗
624000	652000	推特實驗
652000	680000	推特實驗
680000	708000	推特實驗
708000	736000	推特實驗
736000	764000	推特實驗
764000	792000	推特實驗
792000	820000	推特實驗
820000	848000	推特實驗
848000	876000	推特實驗
876000	904000	推特實驗
904000	927000	推特實驗
927000	955000	推特實驗
955000	983000	推特實驗
983000	1011000	推特實驗
1011000	1039000	推特實驗
1039000	1067000	推特實驗
1067000	1095000	推特實驗
1095000	1123000	推特實驗
1123000	1151000	推特實驗
1151000	1179000	推特實驗
1179000	1205000	推特實驗
1205000	1234000	推特實驗
1235000	1264000	推特實驗
1265000	1294000	推特實驗
1294000	1323000	推特實驗
1323000	1347000	推特實驗
1348000	1373000	推特實驗
1373000	1401000	推特實驗
1401000	1429000	推特實驗
1429000	1457000	推特實驗
1457000	1486000	推特實驗
1487000	1516000	推特實驗
1517000	1545000	推特實驗
1545000	1574000	推特實驗
1574000	1586000	推特實驗
1586000	1615000	推特實驗
1616000	1644000	推特實驗
1644000	1672000	推特實驗
1672000	1700000	推特實驗
1700000	1728000	推特實驗
1729000	1755000	推特實驗
1755000	1779000	推特實驗
1779000	1808000	推特實驗
1809000	1837000	推特實驗
1837000	1865000	推特實驗
1865000	1891000	推特實驗
1891000	1920000	推特實驗
1921000	1949000	推特實驗
1949000	1978000	推特實驗
1979000	2007000	推特實驗
2007000	2035000	推特實驗
2035000	2064000	推特實驗
2065000	2094000	推特實驗
2095000	2123000	推特實驗
2123000	2151000	推特實驗
2151000	2179000	推特實驗
2179000	2207000	推特實驗
2207000	2236000	推特實驗
2237000	2265000	推特實驗
2265000	2293000	推特實驗
2293000	2322000	推特實驗
2323000	2351000	推特實驗
2351000	2379000	推特實驗
2379000	2407000	推特實驗
2407000	2435000	推特實驗
2435000	2463000	推特實驗
2463000	2491000	推特實驗
2491000	2520000	推特實驗
2521000	2550000	推特實驗
2550000	2579000	推特實驗
2579000	2594000	推特實驗
2594000	2622000	推特實驗
2622000	2651000	推特實驗
2652000	2681000	推特實驗
2681000	2710000	推特實驗
2710000	2736000	推特實驗
2736000	2764000	推特實驗
2764000	2790000	推特實驗
2790000	2818000	推特實驗
2818000	2847000	推特實驗
2847000	2876000	推特實驗
2876000	2905000	推特實驗
2907000	2925000	推特實驗
2925000	2953000	推特實驗
2953000	2977000	推特實驗
2977000	3006000	推特實驗
3007000	3035000	推特實驗
3035000	3064000	推特實驗
3064000	3092000	推特實驗
3092000	3121000	推特實驗
3121000	3149000	推特實驗
3149000	3177000	推特實驗
3177000	3206000	推特實驗
3207000	3235000	推特實驗
3235000	3261000	推特實驗
3262000	3263000	感謝俊嘉
3263000	3264000	我們先鼓掌一下吧
3270000	3272000	那現在大家有什麼問題
3272000	3274000	可以儘管發問
3278000	3279000	我有一個問題
3279000	3282000	就是假設你今天真的可以
3282000	3285000	把這個系統做小啊
3285000	3287000	你覺得有沒有什麼極限
3287000	3288000	是你覺得
3289000	3292000	你就是不能比那個size更小
3292000	3294000	比如說不可能就再怎麼小
3294000	3296000	也不可能小過某一些
3296000	3299000	就是一些絕對的一些length scale
3299000	3301000	所以它最小就是這麼小
3301000	3302000	還是可以
3302000	3304000	你覺得沒有什麼limit
3304000	3305000	可以很小
3307000	3309000	我覺得絕對
3312000	3313000	小的話
3315000	3317000	我會覺得iphone是極限
3317000	3319000	而且這是一個非常大的極限
3319000	3321000	就是說iphone的大小
3321000	3323000	那主要的原因是因為
3325000	3326000	一些物理上的限制
3326000	3328000	比如說我實驗上面
3328000	3329000	有多好的方法
3329000	3333000	可以讓我的oven
3333000	3335000	就是說我原子一定是
3336000	3337000	我一定要有一個oven
3337000	3339000	去產生我這些原子
3339000	3342000	然後我再去做進一步的雷射冷卻
3342000	3344000	這個oven原則上是取決於
3345000	3346000	原子蒸氣啊
3347000	3348000	所以說你其實是要
3348000	3349000	加熱你的原子的
3349000	3351000	那對私原子而言
3351000	3352000	其實它的加熱溫度
3352000	3353000	其實是蠻高的
3353000	3354000	到600K
3354000	3357000	所以說它有這樣的一個限制
3357000	3358000	但是
3358000	3359000	當然
3359000	3361000	我們今天在私原子上面
3361000	3362000	去實現這個事情
3362000	3365000	是因為私有提供它的一些優勢
3365000	3366000	我剛剛講了
3366000	3367000	兩階段的雷射冷卻
