start	end	text
0	16640	好,OK,現在大家應該看得到我的螢幕
16640	21760	那,sorry我看一下能不能播放
21760	23040	應該是可以
23040	34560	好吧,我一時一時,那可能先用這個模式
34560	40960	大家好,那我們今天是那個來自於Project Terra
40960	49920	今天就是請到兩位教授,一位是來自於休士頓大學的
50640	60640	化學系的陳泰仁教授,然後另外一位是來自George Mason University的
60640	65440	楊樹明教授,是犯罪學系的教授
65440	77440	那今天這場是7月17號是我們Project Terra在暑假舉辦一連串就是夏季特別活動的其中之一
77440	87440	那我們在今年的夏季特別活動呢,我們還有舉辦,預期要舉辦其他幾場不同主題的演講
87440	95440	那有關於PhD申請的mentor mentee媒合計畫呢,除了今天這場演講之外
95440	103440	在8月28號還有另外一場就是比較專注於留學申請文件撰寫的一個工作坊
103440	111440	那要提醒大家的是,如果你有興趣參與我們的mentor mentee媒合計畫的話
111440	117440	7月17號也就是今天跟8月28號的兩場演講都必須要出席
117440	125440	那我們這邊可能會做記錄,那這會作為我們之後mentor mentee媒合計畫報名的一個依據
125440	132440	所以再請大家記得出席8月28號的演講
132440	141440	那8月28號的演講呢,我們會再寄送連結給大家
141440	147440	那除了這兩場演講以外,Project Terra還有舉辦科學繪圖
147440	153440	包括使用illustrator或是latex去做科學繪圖的部分
153440	157440	然後還有新冠肺炎的主題跟科學寫作跟大眾傳播
157440	161440	那歡迎有興趣的人就是參加這樣子
161440	165440	那如果你對Project Terra的工作有興趣
165440	169440	你有興趣想要成為我們的工作人員
169440	175440	然後一起推動台灣年輕學者的一些每週演講
175440	181440	或者是其他各種學術活動也歡迎你在今年加入我們
181440	189440	那我們今年在下一週7月24號會舉辦年度會員大會跟工作人員招募說明會
189440	193440	如果你有興趣的話歡迎你來參加
193440	205440	那今天我現在就把主持棒交給另外兩個教授
205440	211440	請他們分享申請博士班綜合來說應該具備哪些心態
211440	213440	然後哪些條件
213440	222440	非常感謝今天兩位教授願意來到這邊提供他們的一些經驗
222440	226440	那這邊就交給他們,謝謝
235440	246440	所以我們現在是先請楊教授先開始嗎?
246440	248440	對對對
248440	253440	因為現在那個video有點lagging
253440	261440	那今天的那個報告主題會由我跟陳教授來討論
261440	268440	在你們要申請學校之前有什麼事情可以先想想或先了解
268440	276440	然後什麼樣的資訊可以幫助各位在選擇學校在申請學校甚至在考慮要不要念博士班之前
276440	278440	就是先想過這一招
278440	283440	那希望能夠在這個這些的那個資訊內容能夠幫助大家申請過程更順利
283440	286440	那由我來講第一個部分
286440	289440	然後之後第二個部分申請的程序
289440	291440	那我們就等下再交給陳教授
301440	304440	那這所有的聽眾都是有興趣申請博士班的
304440	307440	那如果要申請碩士班或申請其他的
307440	311440	比如說MBA或其他的專業的可能就比較不是不適合在
311440	314440	就是我們今天的主題可能就比較不適合在
314440	316440	那所以就是
316440	318440	跟大家報告一下
318440	321440	那第一點當然就是想到就是說
321440	326440	那很多人當然就是申請博士班帶有這個有一些期待
326440	328440	就是為什麼來念這個博士班呢
328440	330440	那當然就是說
330440	333440	那個來不一定是美國或者是在世界各國
333440	335440	然後能夠念一個學位就是
335440	337440	就是不是只有有名氣
337440	341440	而是說你可以就是學到最先進的技術學科
341440	344440	可以就是學到最先進的技術
344440	346440	學到一些最新的知識
346440	349440	然後甚至可以在這邊大展你的長才
349440	352440	那當然就是台灣一直常被詬病的就是說
352440	354440	那個薪資上來說
354440	357440	有一些那個就是薪資的天花板
357440	360440	例如說好像就是同樣的職位就同樣的薪水
360440	362440	但在國外通常很多個國家
362440	364440	但不是每個國家至少在美國的話
364440	366440	就是並沒有說salary cap這樣東西
366440	369440	那當然就是說我們以學術界來講的話
369440	372440	在以色列在加拿大可能也是比較像台灣這樣的制度
372440	374440	但至少在歐美很多國家來說
374440	376440	並沒有那種就是固定的薪水
376440	378440	那這當然是一個前提一個很重要的想法
378440	380440	那第二個就是說
380440	382440	來念博士班那我們也是希望就是說
382440	384440	我們在所學能夠創造新的知識
384440	386440	能夠跟大家分享
386440	389440	然後就是而且能夠做最原創的研究
389440	391440	能夠做最那個
391440	393440	在你有興趣的領域發展
393440	395440	就像最近大家常知道
395440	397440	例如說新冠病毒的疫苗啊
397440	399440	你專門的一個學科
399440	401440	說不定在某些時候能夠在世界上
401440	403440	發現很大的作用
403440	405440	這當然也是一個很重要的
405440	407440	然後也是希望說來這邊找到更好的訓練方式
407440	409440	能夠更精進你的教學
409440	411440	更精進你的研究方式
411440	413440	那甚至說你也能夠學會一些不同的技能
413440	415440	不是只是在學術工作上
415440	417440	而是在很多個不同的工作上
417440	419440	都能夠運用自如
419440	421440	那另外一個部分希望來這邊能夠學習
421440	423440	leadership這樣的一個概念
423440	425440	就是除了教學除了研究
425440	427440	然後能夠發展出你自己的一個
427440	429440	就是說生涯
429440	431440	怎麼樣是你希望能夠走的一個生涯
431440	433440	那另外還有一個
433440	435440	大家來國外念書一個很大的想法
435440	437440	就是說能夠有比較
437440	439440	擴展的視野跨文化的一些想法
439440	441440	跨文化的研究
441440	443440	你可以結交不同國家的朋友
443440	445440	可以了解
445440	447440	很多不同的文化
447440	449440	甚至可以有更多的一些
449440	451440	不好意思教授
451440	453440	你的螢幕好像沒有跟著動
453440	455440	可以嗎?
455440	457440	可以重新分享一下
457440	459440	TowerPoint的畫面嗎?
459440	461440	等一下
461440	463440	因為我發現我好像不是被
463440	465440	設定為講師
465440	467440	你可以幫我設定為講師嗎?
467440	469440	因為我不知道是不是有影響
469440	471440	因為剛剛好像沒有問題
471440	473440	就是
473440	475440	因為後來好像
475440	477440	可以幫我設定為講師
477440	479440	我不知道是不是因為這樣
479440	481440	你現在還是主持人
481440	483440	但是
483440	485440	可以幫我設定為講師嗎?
485440	487440	好像我這邊看不太到
487440	489440	還是藍組長你只要怎麼
489440	491440	設定嗎?
491440	493440	因為我這邊看不到
493440	495440	這邊沒辦法動
495440	497440	這樣嗎?
497440	499440	我這邊沒辦法改動
499440	501440	不曉得為什麼
501440	503440	我這邊是看得到螢幕的
503440	505440	如果有人看不到螢幕麻煩
505440	507440	在聊天室讓我們知道
507440	509440	我們現在看到
509440	511440	所有關於在國外的PhD的事情
511440	513440	這個嗎?
513440	515440	對對對
