start	end	text
0	2000	開始錄影了
30000	33840	然後甚至我們在討論說要去哪裡買酒精啊口罩等等的
33840	37680	那這些行為啊其實就受到了很多我的歐洲的朋友
37680	39680	我們其他同學們的各種嘲笑
39680	44160	那其實某種程度也顯現了我們亞洲人會更specific的講
44160	46160	就是我們台灣人對於疫情啊
46160	48960	可能跟西方人就有很不同的一個應對模式
48960	52400	所以在Project TIRA在籌劃今年的這個夏季活動的時候
52400	56480	我們就特別規劃了一場跟COVID-19疫情有關的這個演講
56480	58480	那我們就很榮幸邀請到李修文老師
58560	60560	來答應為我們做這個相關主題的演講
60560	66800	那李老師他其實在2016年從北卡大學的教堂三分校取的數學博士後
66800	71280	目前正在中研院的社會學研究所擔任助研究員
71280	74640	那老師的研究興趣其實橫跨了很多的不同的領域
74640	78480	那他的興趣也包含社會網絡分析
78480	81680	那演化賽局裡面的社會困境與合作
81680	84400	還有再來就是社會科學的量化方法
84640	88640	那可以看見老師其實有不同領域的一個交織
88640	96880	那我們也很期待老師會以不同的方法來去應對我們今天這個很重要的這個跟COVID-19有關的這個議題
96880	101200	那我們接下來就把時間交給李老師來進行正式的演講
101200	102000	謝謝老師
104000	106960	好謝謝高顯的介紹
106960	113200	然後很高興在TIRA這個平台上面就是跟大家分享我的研究
113200	119280	那我先把我的這個螢幕找出來就是投影片
119280	122000	不知道大家是不是能夠看到投影片
122000	122800	高顯可以嗎
124400	125920	有可以看到
125920	128400	好那我就差不多開始
128400	132160	那首先再次感謝就是高顯的邀請
132160	135120	就是高顯在邀請的時候呢有特別提到說
136000	139440	想要找新冠肺炎的題目
139440	140880	然後邀請我來做演講
140880	143920	就是我其實感到很慚愧
143920	147040	因為新冠肺炎這個題目呢雖然說我有做
147040	150960	然後也的確收集了兩個新冠肺炎相關的資料
150960	152400	等一下我會講另外一個
152400	153600	就是今天會講第一個
153600	156720	然後會講等一下會稍微提到第二個
156720	160560	但是呢就是我也不是一個疾病傳染學家
160560	165200	就是縱使剛剛高顯有說到說我做其他的領域
165200	168720	不過這個領域呢不是我熟悉的一個領域
168720	172400	然後它我們做的東西比較像是心理學
172400	176000	跟一些其他像是公共政策啦
176000	181520	或者是一些就是疾病傳染相關的公共衛生相關的議題
181520	182960	這不是我熟悉的議題
182960	185520	因為我本身是做方法學出身的
185520	188320	可是這個呢又是我第一次收集資料
188320	192320	就是從小到大我第一次為了研究收集這個資料
192320	195360	那它是全台灣的資料
195360	198400	那當然它用的方法是統計方法
198400	203840	那也不是我所受數學方法訓練
203840	205200	就是比較熟悉的方法
205200	210960	所以我其實它不算是一個我研究的主要比較拿手的領域
210960	213360	不過呢既然收集了資料
213360	215200	那就一定要有所產出
215200	217680	那我們就把收集到的資料
