start	end	text
0	8000	整理&字幕小組
30000	55000	整理&字幕小組
60000	80000	整理&字幕小組
90000	110000	整理&字幕小組
110000	130000	整理&字幕小組
130000	150000	整理&字幕小組
150000	179000	整理&字幕小組
180000	200000	整理&字幕小組
200000	220000	整理&字幕小組
220000	240000	整理&字幕小組
240000	260000	整理&字幕小組
260000	280000	整理&字幕小組
280000	300000	整理&字幕小組
300000	320000	整理&字幕小組
320000	340000	整理&字幕小組
340000	360000	整理&字幕小組
360000	380000	整理&字幕小組
380000	400000	整理&字幕小組
400000	420000	整理&字幕小組
420000	440000	整理&字幕小組
440000	460000	整理&字幕小組
460000	480000	整理&字幕小組
480000	500000	整理&字幕小組
500000	520000	整理&字幕小組
520000	540000	整理&字幕小組
540000	560000	整理&字幕小組
560000	580000	整理&字幕小組
580000	600000	整理&字幕小組
600000	620000	整理&字幕小組
620000	640000	整理&字幕小組
640000	660000	整理&字幕小組
660000	680000	整理&字幕小組
680000	700000	整理&字幕小組
700000	720000	整理&字幕小組
720000	740000	整理&字幕小組
740000	760000	整理&字幕小組
760000	780000	整理&字幕小組
780000	800000	整理&字幕小組
800000	820000	整理&字幕小組
820000	840000	整理&字幕小組
840000	860000	整理&字幕小組
860000	880000	整理&字幕小組
880000	900000	整理&字幕小組
900000	920000	整理&字幕小組
920000	940000	整理&字幕小組
940000	960000	整理&字幕小組
960000	980000	整理&字幕小組
980000	1000000	整理&字幕小組
1000000	1020000	整理&字幕小組
1020000	1040000	整理&字幕小組
1040000	1060000	整理&字幕小組
1060000	1080000	整理&字幕小組
1080000	1100000	整理&字幕小組
1100000	1120000	整理&字幕小組
1120000	1140000	整理&字幕小組
1140000	1160000	整理&字幕小組
1160000	1180000	整理&字幕小組
1180000	1200000	整理&字幕小組
1200000	1220000	整理&字幕小組
1220000	1240000	整理&字幕小組
1240000	1260000	整理&字幕小組
1260000	1280000	整理&字幕小組
1280000	1300000	整理&字幕小組
1300000	1320000	整理&字幕小組
1320000	1340000	整理&字幕小組
1340000	1360000	整理&字幕小組
1360000	1380000	整理&字幕小組
1380000	1400000	整理&字幕小組
1400000	1420000	整理&字幕小組
1420000	1440000	整理&字幕小組
1440000	1460000	整理&字幕小組
1460000	1480000	整理&字幕小組
1480000	1500000	整理&字幕小組
1500000	1520000	整理&字幕小組
1520000	1540000	整理&字幕小組
1540000	1560000	整理&字幕小組
1560000	1580000	整理&字幕小組
1580000	1600000	整理&字幕小組
1600000	1620000	整理&字幕小組
1620000	1640000	整理&字幕小組
1640000	1660000	整理&字幕小組
1660000	1680000	整理&字幕小組
1680000	1700000	整理&字幕小組
1700000	1720000	整理&字幕小組
1720000	1740000	整理&字幕小組
1740000	1760000	整理&字幕小組
1760000	1780000	整理&字幕小組
1780000	1800000	整理&字幕小組
1800000	1820000	整理&字幕小組
1820000	1840000	整理&字幕小組
1840000	1860000	整理&字幕小組
1860000	1880000	整理&字幕小組
1880000	1900000	整理&字幕小組
1900000	1920000	整理&字幕小組
1920000	1940000	整理&字幕小組
1940000	1960000	整理&字幕小組
1960000	1980000	整理&字幕小組
1980000	2000000	整理&字幕小組
2000000	2020000	整理&字幕小組
2020000	2040000	整理&字幕小組
2040000	2060000	整理&字幕小組
2060000	2080000	整理&字幕小組
2080000	2100000	整理&字幕小組
2100000	2120000	整理&字幕小組
2120000	2140000	整理&字幕小組
2140000	2160000	整理&字幕小組
2160000	2180000	整理&字幕小組
2180000	2200000	整理&字幕小組
2200000	2220000	整理&字幕小組
2220000	2240000	整理&字幕小組
2240000	2260000	整理&字幕小組
2260000	2280000	整理&字幕小組
2280000	2300000	整理&字幕小組
2300000	2320000	整理&字幕小組
2320000	2340000	整理&字幕小組
2340000	2360000	整理&字幕小組
2360000	2380000	整理&字幕小組
2380000	2400000	整理&字幕小組
2400000	2420000	整理&字幕小組
2420000	2440000	整理&字幕小組
2440000	2460000	整理&字幕小組
2460000	2480000	整理&字幕小組
2480000	2500000	整理&字幕小組
2500000	2520000	整理&字幕小組
2520000	2540000	整理&字幕小組
2540000	2560000	整理&字幕小組
2560000	2580000	整理&字幕小組
2580000	2600000	整理&字幕小組
2600000	2620000	整理&字幕小組
2620000	2640000	整理&字幕小組
2640000	2660000	整理&字幕小組
2660000	2680000	整理&字幕小組
2680000	2700000	整理&字幕小組
2700000	2720000	整理&字幕小組
2720000	2740000	整理&字幕小組
2740000	2760000	整理&字幕小組
2760000	2780000	整理&字幕小組
2780000	2800000	整理&字幕小組
2800000	2820000	整理&字幕小組
2820000	2840000	整理&字幕小組
2840000	2860000	整理&字幕小組
2860000	2880000	整理&字幕小組
2880000	2900000	整理&字幕小組
2900000	2920000	整理&字幕小組
2920000	2940000	整理&字幕小組
2940000	2960000	整理&字幕小組
2960000	2980000	整理&字幕小組
2980000	3000000	整理&字幕小組
3000000	3020000	整理&字幕小組
3020000	3040000	整理&字幕小組
3040000	3060000	整理&字幕小組
3060000	3080000	整理&字幕小組
3080000	3100000	整理&字幕小組
3100000	3120000	整理&字幕小組
3120000	3140000	整理&字幕小組
3140000	3160000	整理&字幕小組
3160000	3180000	整理&字幕小組
3180000	3200000	整理&字幕小組
3200000	3220000	整理&字幕小組
3220000	3240000	整理&字幕小組
3240000	3260000	整理&字幕小組
3260000	3280000	整理&字幕小組
3280000	3300000	整理&字幕小組
3300000	3320000	整理&字幕小組
3320000	3340000	整理&字幕小組
3340000	3360000	整理&字幕小組
3360000	3380000	整理&字幕小組
3380000	3400000	整理&字幕小組
3400000	3420000	整理&字幕小組
3420000	3440000	整理&字幕小組
3440000	3460000	整理&字幕小組
3460000	3480000	整理&字幕小組
3480000	3500000	整理&字幕小組
3500000	3520000	整理&字幕小組
3520000	3540000	整理&字幕小組
3540000	3560000	整理&字幕小組
3560000	3580000	整理&字幕小組
3580000	3600000	整理&字幕小組
3600000	3620000	整理&字幕小組
3620000	3640000	整理&字幕小組
3640000	3660000	整理&字幕小組
3660000	3680000	整理&字幕小組
3680000	3700000	整理&字幕小組
3700000	3720000	整理&字幕小組
3720000	3740000	整理&字幕小組
3740000	3760000	整理&字幕小組
3760000	3780000	整理&字幕小組
3780000	3800000	整理&字幕小組
3800000	3820000	整理&字幕小組
3820000	3840000	整理&字幕小組
3840000	3860000	整理&字幕小組
3860000	3880000	整理&字幕小組
3880000	3900000	整理&字幕小組
3900000	3920000	整理&字幕小組
3920000	3940000	整理&字幕小組
3940000	3960000	整理&字幕小組
3960000	3980000	整理&字幕小組
3981000	3983000	主持人洪思安
3983000	3986000	我自己有想要問兩個問題
3986000	3989000	第一個問題其實就是這一頁
3989000	3992000	你在使用分泌Golden Rule的時候
3992000	3996000	溫度的效應是從哪裡進來的?
3996000	4002000	你們有跟實驗上的溫度的dependence做比對嗎?
4003000	4005000	對
4005000	4008000	這個也是蠻好的問題
4008000	4010000	就是我們這邊
4010000	4012000	分泌Golden Rule
4012000	4014000	算這個electron phonon
4014000	4016000	這個matrix element
4016000	4018000	它其實會跑出來一個
4018000	4020000	就是phonon number
4020000	4023000	就是
4023000	4026000	會跟你的
4026000	4028000	這個phonon state有關係
4028000	4030000	就是說
4030000	4032000	當你是0up的時候
4032000	4035000	你可能是有n跟個phonon
4035000	4037000	然後當你到0down的時候
4037000	4039000	你就變成n加一個phonon
4039000	4041000	那這個東西是會跑出來
4041000	4043000	那它的溫度的dependency
4043000	4045000	就會在phonon number裡頭
4045000	4047000	因為我們知道說
4047000	4049000	溫度越高phonon是越多
4049000	4051000	溫度越低phonon是越低
4051000	4053000	那我們用的temperature
4053000	4057000	就是完全就是實驗上
4057000	4060000	做量測時候的temperature
4060000	4062000	然後
4062000	4065000	然後它會就是
4065000	4067000	反映在
4067000	4069000	realization rate上面
4069000	4071000	但是有趣的事情是
4071000	4074000	就是當你溫度低到某一定程度
4074000	4078000	那個n加1的1就會dominate
4078000	4080000	所以就是它其實
4080000	4082000	當你低到某一個程度
4082000	4086000	這個realization rate就跟溫度沒有關係了
4086000	4087000	所以它是
4087000	4089000	就是你沒有辦法畫一個
4089000	4091000	就是realization rate
4091000	4093000	versus溫度這種圖出來
4093000	4095000	因為它其實是一樣的
4095000	4096000	就是對
4096000	4098000	但是當你溫度很高就不一樣
4098000	4101000	一般那個實驗100mK
4101000	4103000	已經到這個程度了嗎
4103000	4104000	已經到這個程度
4104000	4107000	就是到差不多一兩K以下
4107000	4111000	都是這個程度
4111000	4113000	ok
4113000	4115000	然後我的理解是
4115000	4117000	基本上你的temperature
4117000	4120000	就是加在那個HEP裡面
4120000	4124000	就是你boron的amplitude的那裡
4124000	4125000	對
4125000	4127000	ok了解
4127000	4130000	然後我的第二個問題是
4130000	4131000	比較實驗的
4131000	4132000	我不確定你知不知道
4132000	4133000	就是
4133000	4134000	我比較想要了解一下
4134000	4136000	就是這個STM的tip
4136000	4137000	它是怎麼
4137000	4139000	怎麼把它那個
4139000	4140000	那個phosphor
4140000	4143000	doped進去的
4143000	4144000	好
4144000	4146000	我不太確定我能不能解釋很好
4146000	4148000	但我可以試試看
4148000	4150000	就是STM tip
4150000	4153000	就是這邊會有電流
4153000	4154000	頂端會有電流
4154000	4158000	然後所以它會跟表面的這個atom的電流
4158000	4160000	有交互作用
4160000	4161000	所以它就可以把這個
4161000	4162000	就是
4162000	4164000	你一開始好像是先
4164000	4166000	把hydrogen
4166000	4168000	一層hydrogendoped上去
4168000	4170000	然後你把其中一個打掉
4170000	4172000	然後接下來你就用pH3的doping
4172000	4175000	然後把這些洞填滿
4175000	4177000	然後
4177000	4179000	接下來
4179000	4180000	其實
4180000	4181000	好
4181000	4182000	我
4182000	4183000	不是很確定
4183000	4187000	但是好像是把pH3的氫原子拿掉
4187000	4192000	然後最後再長這個silicon上去
4192000	4193000	對
4193000	4195000	那這其中有就是溫度很高
4195000	4196000	溫度很低的regime
4196000	4198000	但是就是我沒有
4198000	4200000	不是
4200000	4201000	還記得
4201000	4202000	對
4202000	4203000	嗯
4203000	4205000	這個的部分是用
4205000	4206000	補充一下
4206000	4208000	稍微有點有點差異
4208000	4209000	好像是
4209000	4210000	據我所知
4210000	4211000	之前我看的時候
4211000	4212000	好像是
4212000	4215000	它一次會放
4215000	4217000	每放一個phosphate donor
4217000	4220000	必須要放三個的pH3
4220000	4222000	那pH3
4222000	4226000	它在最後它會有一個再加溫的動作
4226000	4228000	pH3裡面有兩個
4228000	4230000	這也是機率的
4230000	4233000	有其中有兩個會變成pH4的
4233000	4235000	它就會蒸發掉
4235000	4237000	然後就剩下一個donor
4237000	4239000	就剩下一個phosphorus
4239000	4240000	這是
4240000	4243000	對於單一個phosphorus donor
4243000	4244000	要怎麼放的
4244000	4245000	那個
4245000	4247000	我只是念paper
4247000	4249000	我這個實驗我也不知道
4249000	4251000	但是據我所知
4251000	4252000	ok
4252000	4254000	然後gate的部分就是
4255000	4258000	呃
4258000	4260000	也是STM
4260000	4262000	也是STM
4262000	4265000	那它的材質是什麼
4265000	4267000	也是phosphorus
4267000	4268000	哦
4268000	4269000	ok
4269000	4271000	就是通通是用phosphorus
4271000	4272000	對對對
4272000	4273000	就是它很密集的豆皮
4273000	4274000	很多phosphorus
4274000	4277000	然後它就會有點像金屬那樣子
4277000	4278000	就是
4278000	4281000	就是導電就是很像金屬那樣
4282000	4283000	對
4283000	4284000	謝謝
4292000	4294000	大家還有沒有什麼問題呢
4297000	4298000	你好
4298000	4299000	我有一個問題
4299000	4300000	我是jack
4300000	4302000	我在台灣念完master
4302000	4305000	然後現在在iMac做intern
4305000	4307000	那我有個問題就是說
4307000	4308000	因為
4308000	4313000	我這邊做的tobit是比較偏gate define的quantum dot
4313000	4316000	那跟所謂的imprint的quantum dot來比較的話
4316000	4317000	那imprint的quantum dot
4317000	4319000	它有什麼樣的優勢
4319000	4320000	或是說
4320000	4321000	因為我知道
4321000	4322000	呃
4322000	4323000	imprint的quantum dot
4323000	4325000	它的技術上比較要求就是
4325000	4326000	imprint的技術要好
4326000	4327000	就是要很準確
4327000	4328000	然後還有
4328000	4330000	它的量還有它的位置
4330000	4331000	對
4331000	4332000	呃
4332000	4333000	就我所知
4333000	4334000	imprint
4334000	4335000	呃
4335000	4337000	imprint的最好的
4337000	4339000	就是它的charge noise很小
4339000	4342000	因為它離表面是非常遠的
4343000	4344000	哦
4344000	4345000	ok
4345000	4346000	對
4346000	4347000	不好意思
4347000	4348000	你的表面的意思是什麼
4348000	4349000	呃
4349000	4350000	就是
4350000	4351000	呃
4351000	4352000	surface
4352000	4353000	physical的表面
4354000	4355000	啊
4355000	4357000	你的意思就是physical的表面
4357000	4358000	就是wafer表面的表面啊
4358000	4359000	對對對
4359000	4360000	哦
4360000	4361000	了解了解了解
4361000	4362000	對對對
4364000	4366000	就是你那個
4366000	4367000	ok
4367000	4368000	呃
4368000	4369000	我還有一個問題就是
4369000	4370000	呃
4370000	4371000	因為
4371000	4373000	我知道就是在操作quantum dot的時候
4373000	4374000	它會受到
4374000	4375000	比如說受到defect影響嚴重
4375000	4376000	還有noise
4376000	4377000	就是他們在交
4377000	4378000	介面交換電子的時候
4378000	4379000	那
4379000	4381000	你透過imprint技術這樣打過去
4381000	4382000	那
4382000	4383000	是可以透過
4383000	4385000	annuling來恢復它的金格
