start	end	text
0	24000	哈囉,大家好,歡迎大家來到2020年11月21日的Terra Talk,那我們今天很榮幸請到星科博士,昨天剛成為影超博士,這個影超博士來為我們演講,他今天演講的題目是Neutron Irradiation Effect on Tom Stanford Nuclear Fusion Reactor,
24000	52000	那這個演講會是關於這個ITER,如果大家不知道ITER的話可以去Google,他將會是基本上是全世界最大的Nuclear Fusion Experiment,或是Nuclear Fusion Reactor,那在開始之前讓我先來介紹一下影超博士,那影超博士主要的研究領域就是他今天會跟我們講的領域,就是材料科學,尤其是Nuclear Materials,然後還有跟Nuclear Fusion,然後Tungsten,然後Neutron Irradiation相關的研究,
52000	76000	那過去的經歷呢,影超博士是在台北科技大學的材料系拿到學士,然後在同樣的地方拿到了一個碩士之後呢,到了UC Berkeley的核工系拿了一個碩士,然後之後呢,就他現在所在的地方,他在比利時的核研究中心,然後同時呢,也是在這個魯汶大學的材料系,那剛拿到博士。
76000	96000	那研究經歷主要是,他的研究呢,主要是Focus在固態氧化物燃料電池,海上漂浮的核電站,還有當然今天的演講,核融合反應爐材料,那請大家把麥克風打開,這樣子我們的講者才能聽到我們的掌聲,那我們現在就來掌聲歡迎影超博士為我們帶來的演講。
96000	106000	影超博士是在台北科技大學的材料系拿到學士,然後在同樣的地方拿到了一個碩士,那請大家把麥克風打開,這樣子我們的講者才能聽到我們的掌聲,那我們現在就來掌聲歡迎影超博士為我們帶來的演講。
126000	146000	影超博士是在台北科技大學的材料系拿到學士,然後在同樣的地方拿到了一個碩士,那我們現在就來掌聲歡迎影超博士為我們帶來的演講。
156000	176000	影超博士是在台北科技大學的材料系拿到學士,然後在同樣的地方拿到了一個碩士,那我們現在就來掌聲歡迎影超博士為我們帶來的演講。
186000	206000	影超博士是在台北科技大學的材料系拿到學士,然後在同樣的地方拿到了一個碩士,那我們現在就來掌聲歡迎影超博士為我們帶來的演講。
216000	236000	影超博士是在台北科技大學的材料系拿到學士,然後在同樣的地方拿到了一個碩士,然後在同樣的地方拿到了一個碩士,那我們現在就來掌聲歡迎影超博士為我們帶來的演講。
246000	266000	影超博士是在台北科技大學的材料系拿到學士,然後在同樣的地方拿到了一個碩士,然後在同樣的地方拿到了一個碩士,那我們現在就來掌聲歡迎影超博士為我們帶來的演講。
276000	296000	影超博士是在台北科技大學的材料系拿到學士,然後在同樣的地方拿到了一個碩士,然後在同樣的地方拿到了一個碩士,那我們現在就來掌聲歡迎影超博士為我們帶來的演講。
306000	326000	影超博士是在台北科技大學的材料系拿到學士,然後在同樣的地方拿到了一個碩士,然後在同樣的地方拿到了一個碩士,那我們現在就來掌聲歡迎影超博士為我們帶來的演講。
337000	346000	如果我們沒有掌控化學能源,我們之後就沒有什麼工業革命,或者甚至沒有現在社會那麼發達的狀況。
346000	361000	到了二十世紀中葉,又有另一件非常重要的事情發生了,那就是我們發現了核能,然後我們也學會了如何運用核分裂的能量去發電,這我們已經應用了大半個世紀了。
