start	end	text
0	29960	好,那謝謝大家今天參加這場演講,那這場演講呢,呃,我是比利斯魯文大學的博士生,那我很開心能夠為Project TIRA主持今天的這場演講,從衛星看見人,都市變遷,搬家與心理健康,運用姚策數據與機器學習之跨領域研究,那TIRA呢是一個由臺灣不同領域,然後現在處在各大研究機構的博士生,
29960	58120	跟博士後研究員和助理教授所組成的一個組織,那主要是希望能夠連結不同領域的年輕學者進行,那我今天的講者慈欣其實在大一英文課的時候我們就已經認識了,那我們其實屬於不同的科系專業領域的我們,那最近又因為這場演講又在聯絡上,那我想這也就是我們Project TIRA的一個目的,然後去連結我們這不同領域的跨領域的學者,
58320	86320	那今天的講者就是慈欣,她其實去年底剛從丹麥的奧古斯大學的環境科學系取得博士學位,那目前在耶魯大學擔任博士後研究員,那她從前念碩士的時候進行的是臺灣跟菲律賓研究,菲律賓部落的風災研究,那博士班期間她也進行的是丹麥的研究,目前的博士後計劃,她研究區域主要是在喜馬拉雅山,
86320	107520	那未來兩年她獲得了耶魯的Gallaudet-Donnelly Fellowship獎度的計劃,那預計呢她想要從非洲做到全球,那今天的這場演講呢會由慈欣進行大約一個小時的演講,那其後就會有一個專門的Q&A的時間,那我就話不多說,慈欣,那我就把時間交給你了,謝謝。
116320	145560	主持人說明會談到如何把這場演講分成上下兩個部分,第一個部分是在談說我們要怎麼用會心理學跟機器學習的方法來偵測都市的形勢,那第二個部分的話則是會聚焦在我們用丹麥作為一個案例來看都市型態跟心理健康的關係,那在中間我想說就先有一個break讓大家可以把問,如果有不清楚或者是有想問問題的地方我們就可以先進行。
146320	174840	那中間如果有就是我的網路不太順啊什麼的話,大家可以提醒我一下,那一開頭我想要先從一張各位可能比較熟悉的景觀來談我的研究主題,在這張台北市的照片當中,那如果你們可以看到我的滑鼠的話,在這邊這一條馬路在建築一下嗎?
176320	205960	那在忠孝東路以北這個區塊,它的房子大概是那種你可以想像它比較有騎樓啊,然後公寓式的這種連棟的住宅,那它的街道的密度會比較高一些,然後街道的寬度會比較窄一些,那在不遠處就是這個忠孝東路以南的地方,就是心理學的相伴地區,這一塊我們就可以看到說它的建地率相對來講是低很多的,那建築跟建築之間有很大的空地。
207080	214760	對,但同時它也並不是一個低密度的型態,它從垂直的角度來考量的話,其實它有很多的高樓大廈。
216360	231960	那對於這個問題,其實過去吸引了很多不是會化學者以及環境科學家在想說,到底什麼樣的都市型態才是最好的或是最永續的呢?
232960	258320	關於永續這個這個課題,過去常常被討論的兩個面向,第一個是在氣候變遷底下,我們要怎麼樣能夠讓圖示規劃達到減碳的目的?比方說,如果今天我們的土地利用配置是可以讓工作地跟居住地夠接近,以至於說大家在通勤的時候就不需要跑很長的旅程,那這樣就可以達到減碳的效果。
258320	288280	那第二個研究的面向則是在把都市視為一個相對於其他土地利用的一個單獨的系統,在都市之外通常會鑲嵌著農地啊,或者是自然保育起因。那對於環境科學家跟生態學者來講,如果今天我們能夠讓都市的土地利用縮限在很有限的空間範圍,有效率的要擴張到其他地方的話,那麼就能夠保留更多的土地。
289320	297320	那第二個研究的面向則是在把都市視為一個相對於其他土地利用的一個單獨的系統,在都市之外通常會鑲嵌著農地啊,或者是自然保育起因。那對於環境科學家跟生態學家來講,如果今天我們能夠讓都市的土地利用縮限在很有限的空間範圍,有效率的要擴張到其他地方的話,那麼就能夠保留更多的土地。
297320	310320	那第三個研究的面向則是在把都市視為一個相對於其他土地利用的一個單獨的系統,在都市之外通常會鑲嵌著農地啊,或者是自然保育起因。那對於環境科學家來講,如果今天我們能夠讓都市的土地利用縮限在很有限的空間範圍,有效率的要鑲嵌著農地。那對於環境科學家來講,如果今天我們能夠讓都市的土地利用縮限在很有限的空間範圍,有效率的要鑲嵌著農地。
327320	345320	那對於環境科學家來講,如果今天我們能夠讓都市的土地利用縮限在很有限的空間範圍,有效率的要鑲嵌著農地。那對於環境科學家來講,如果今天我們能夠讓都市的土地利用縮限在很有限的空間範圍,有效率的要鑲嵌著農地。
345320	365320	那對於環境科學家來講,如果今天我們能夠讓都市的土地利用縮限在很有限的空間範圍,有效率的要鑲嵌著農地。那對於環境科學家來講,如果今天我們能夠讓都市的土地利用縮限在很有限的空間範圍,有效率的要鑲嵌著農地。
365320	383320	那對於環境科學家來講,如果今天我們能夠讓都市的土地利用縮限在很有限的空間範圍,有效率的要鑲嵌著農地。
383320	403320	那對於環境科學家來講,如果今天我們能夠讓都市的土地利用縮限在很有限的空間範圍,有效率的要鑲嵌著農地。
403320	423320	那對於環境科學家來講,如果今天我們能夠讓都市的土地利用縮限在很有限的空間範圍,有效率的要鑲嵌著農地。
