start	end	text
0	28000	大家好,非常感謝大家今天來到Project Tara的演講,我是主持人蘇怡安,我是主持人胡君偉,今天非常開心由傅群來為我們帶來一場演講,講題是從數據閱讀建築環境和能源,以臺灣能源數據為例。
28000	38000	等一下會由我這邊來稍微跟大家講解今天的進行流程,然後會由另外一位主持人胡君偉跟大家介紹今天的講者傅群。
38000	58000	首先,今天的演講是由Project Tara所舉辦的,我們等一下的演講過程將會全程錄影,換句話說,在演講完成之後,如果大家想要再重聽或分享給朋友,都可以在演講之後到Project Tara的網站上去看今天的錄影。
58000	87000	今天在講者介紹之後,以及在演講進行的過程當中,如果大家有什麼就是很即時的小問題,都歡迎隨時就是按raise hand的功能舉手,或者是在chat裡面就是提出您的問題,那主持人們都會隨時間就是monitor有沒有問題,然後會再跟講者說,那如果說你有比較比較大,然後比較複雜的問題,希望跟講者討論的話,那我們也會在演講的最後有開放的open的Q&A session,
87260	100000	也歡迎大家就是盡量踴躍不要客氣的提問。這大概是我們今天的演講流程,現在讓我們由另外一位主持人胡君偉來介紹今天的講者傅群。
100000	129760	大家好,傅群目前是新加坡國立大學NUS的PhD學生,目前於新加坡大學建築與都市數據科學實驗室中做研究,目前他所屬的研究是主要在處理建築相關的大數據應用,包含建築能源、室內環境舒適度跟建築IoT數據等等。
130160	146160	同時,他的實驗室也有在做一些社群的活動,例如在前年舉辦在知名數據平臺Kaggle的能源預測競賽,以及在開放式平臺課程EDS提供給大眾的數據科學課程。
146680	168560	有趣的是,在傅群在讀PhD之前,他在臺灣一家新創公司——探視空間Knowledge Analysis Based Exploration,擔任三年的數據科學家,致力於做建築相關大數據的研發,包含做一些異常的偵測、能源預測和數據視覺化等等的研究。
168840	176740	其中包含還有做臺積電的人工智慧服務開發跟臺北市政府的能源大數據分析。
177000	185500	所以今天傅群在研究方案上會致力於更多跟業界實務相關的題目。
185500	195220	所以今天的演講會提到能源預測的學術發展,最後也會分享怎麼樣配合開放數據實作做能源預測的服務。
195220	197220	讓我們歡迎傅群。
225220	231220	傅群議員
255220	258060	傅群議員
285220	287220	傅群議員
315220	317820	傅群議員
345220	347220	傅群議員
375220	377220	傅群議員
377220	379220	傅群議員
379220	381220	傅群議員
381220	383220	傅群議員
383220	385220	傅群議員
385220	387220	傅群議員
387220	389220	傅群議員
389220	391220	傅群議員
391220	395220	傅群議員
