start	end	text
0	7000	可以同時分享螢幕嗎?
7000	9000	可以,你可以同時分享螢幕,沒有問題。
9000	11000	好的,謝謝。
17000	23000	我們今天真的很開心,歡迎奕慈來當我們的講者。
23000	29000	奕慈目前是波士頓大學發展心理學的二年級博士班學生。
29000	34000	很巧合的是,我們大學都是台大心理系的,
34000	37000	她大學的時候就是在台灣大學念心理系,
37000	40000	她有在兩個不同的研究室工作過,
40000	44000	一個是雷根林老師的研究室,一個是吳恩次老師的研究室。
44000	49000	她這邊主要學習的是行為編碼和FMRI相關的研究方法。
49000	52000	奕慈很厲害,她是三年就提前畢業了,
52000	56000	畢業之後她先當了兩年的研究助理,
56000	61000	現在順利申請到波士頓大學參與研究。
61000	65000	她目前主要做的研究是針對在兒童時期
65000	68000	可以觀察到的與成年反社會行為相關的特質,
68000	72000	並透過劑量行為遺傳學的方法去研究這些特質
72000	76000	在早期兒童時期發展的變化跟個體差異。
76000	79000	今天我們會聽到一些跟雙胞胎研究、
79000	83000	行為遺傳學等等相關的研究。
83000	87000	由我來介紹應該是非常粗淺,
87000	90000	所以就讓我們把時間直接交給今天的講者奕慈。
90000	96000	奕慈,非常歡迎您今天給我們這樣精彩的演講,
96000	98000	那就麻煩你開始囉。
98000	100000	好,謝謝怡安的介紹,
100000	102000	這個行為遺傳學真的蠻拗口的,
102000	107000	不過我今天還不會講到跟反社會行為相關的那些研究。
108000	111000	好,那我就開始囉。
111000	113000	我是洪奕慈,
113000	115000	我目前在波士頓大學念發展心理學,
115000	117000	現在是二年級博班生。
117000	119000	我的研究主要是透過雙胞胎研究,
119000	121000	去看學齡前兒童各方面的發展。
121000	123000	透過雙胞胎研究,
123000	126000	我們可以去估算基因跟環境對於行為的影響,
126000	128000	也就是說在一個族群裡面,
128000	130000	我們看到個體行為上的差異,
130000	134000	有多少百分比可以被基因或是環境所解釋。
134000	136000	那今天的演講呢,
136000	138000	我會先介紹什麼是行為遺傳學,
138000	140000	然後行為遺傳學的方法有哪些,
140000	143000	然後主要會講雙胞胎研究的假設跟基本模型,
143000	147000	然後再來會介紹我們實驗室波士頓大學雙胞胎計畫的,
147000	151000	我們所蒐集的變相跟目前進行的一些分析。
151000	153000	那這邊想先提一點,
153000	155000	就是我們的研究都是觀察性的研究,
155000	159000	所以沒有在實驗過程中控制或是操弄任何變相,
159000	163000	也就是說我們沒有把雙胞胎偷偷摸摸的送到不同的家庭,
163000	165000	就大家不用太擔心。
165000	167000	那基本上呢,
167000	169000	行為遺傳學它想要回答的問題,
169000	172000	就是在心理學或是哲學界裡面滿大的一個議題,
172000	176000	關於人類的行為到底是先天還是後天決定的。
176000	178000	那就是早在古希臘時期,
178000	182000	柏拉圖跟亞里斯多德他們對這個問題就有提出非常不同的看法嘛,
182000	186000	那柏拉圖他就覺得人類的行為大部分是先天所決定的,
186000	189000	然後每個人生下來有各式各樣不同擅長的能力,
189000	192000	那也可以從他推崇的精英政治理念就是略知一二。
192000	196000	另一方面呢,亞里斯多德他就抱持著不同的看法,
196000	199000	他覺得人類的行為大部分是後天塑造的,
199000	201000	然後每個人生下來都是一張張的白紙,
201000	206000	所以說在社會的架構或是教育才是塑造我們行為最重要的因素。
206000	209000	那這兩個很相對的看法,
209000	211000	在啟蒙時期我們也有看到,
211000	213000	像是洛克跟盧梭,
213000	215000	然後按照時間軸來說的話,
215000	218000	經驗主義就是他們那時候強調很多經驗啊,
218000	222000	或是我們可以客觀感知到的一些經驗,
222000	225000	然後他們覺得這些才是形塑行為的必要條件,
225000	227000	那這樣的看法就跟亞里斯多德比較接近。
227000	229000	然後到後期,
229000	232000	浪漫主義他們就往內去塑造人類本質到底是什麼,
232000	234000	然後就覺得說人類應該是與生俱來,
234000	235000	有某些天賦,
235000	238000	那就像盧梭他就比較偏向柏拉圖的看法。
238000	242000	不過現在的心理學是怎麼看這個問題的呢?
242000	244000	就很不意外走一個中間路線,
244000	248000	我們覺得基因也就是說先天的條件跟後天的環境,
248000	250000	他們是共同塑造人類行為的。
250000	251000	那近期的話,
251000	254000	我們可以看到一些研究是在探討基因跟環境,
254000	256000	他們之間的相關或是交互作用。
258000	259000	所以說,
259000	264000	行為遺傳學他透過比較不同親緣關係間的個體跟他們的行為,
264000	270000	然後我們可以透過一些統計的方式去估算基因跟環境所可以解釋的行為變異。
270000	272000	那實驗設計上呢,
272000	274000	一開始我們可以看到像Family Study,
274000	277000	這就是大家國高中生物課本都有看過的族譜圖,
277000	283000	然後在109年的學測有一個明明白白的血親族譜系圖這樣。
283000	286000	這個概念就有點像是我們去比較說,
286000	290000	親子間會不會比祖孫間有更高的機率顯現某種遺傳疾病,
290000	293000	因為我們知道親子他們之間共享的基因比例比較高嘛,
293000	295000	所以如果說這個現象是存在的話,
295000	299000	這個遺傳疾病可能就是有某一部分可以被基因所解釋。
299000	302000	不過,透過這樣的實驗設計啊,
302000	305000	會有一個限制,尤其是在研究人類行為發展的時候,
305000	308000	像是我舉一個很誇張的例子,
308000	313000	就因為不同的時代脈絡或是所處的階段都會對我們所觀察到的行為有影響嘛,
313000	317000	比如說我今天想要看一個小朋友吸手指這個行為可不可以被基因解釋好了,
317000	322000	那我很難觀察到他的爸爸媽媽爺爺奶奶都有吸手指這個行為,
322000	330000	所以說每個世代他們的環境也會有很明顯的差異,
330000	333000	像上一代的時候他們可能網路沒有那麼密集,
333000	335000	但是現在的小朋友出生前就還聽Youtube,
335000	340000	那理想的狀態是可以找到在同一個世代的受試者,
340000	344000	不過這樣子的話呢,雙胞胎研究就會是一個很好的受試者來源,
344000	347000	因為他們會就是差不多的時候出生這樣,
347000	350000	那大家可以看到圖裡面,同樣的雙胞胎他們就是同一個受精卵,
350000	354000	然後在受精之後再分裂,所以他們的基因就是百分之百相同的。
354000	359000	那一卵雙胞胎呢,他們是媽媽有兩顆卵子,然後同時受精,
359000	365000	所以就是他們在親緣關係上會比較像是大家跟其他手足之間的關係這樣子。
365000	371000	好,所以在藉由他們共享百分之百跟平均來說百分之五十這樣子的假設呢,
371000	375000	我們可以透過統計的方法去估算基因跟環境的影響。
375000	380000	不過這個時候有人可能會想說,那如果雙胞胎都在同一個家庭裡面長大,
380000	385000	我要怎麼去看他們的相似的行為到底是因為基因還是環境呢?
385000	390000	的確這是雙胞胎研究的一個限制,就算他在基因方面有不錯的解析度,
390000	396000	可是環境上很難控制,那相對來說呢,領養的研究就會有比較好的環境解析度,
396000	401000	因為大家可以看這張圖,我們研究領養的小朋友跟領養他們的家長,
401000	406000	那他們之間的相似性就可以被他們共享的後天這個環境所解釋,
406000	410000	那被領養的小朋友跟他們的親生父母之間的關係呢,
410000	413000	就是因為他們基因上的相關這個樣子,
413000	418000	不過同樣的世代的影響在這樣的研究設計裡也是會被看到,
418000	423000	所以最完美的狀態應該是我們去研究被領養的雙胞胎,
423000	427000	如果這個研究的限制就是很難蒐集到這樣的資料,
427000	431000	目前世界上我知道的資料庫應該一個在瑞典,一個在 Minnesota,
431000	434000	所以它的限制就是很難蒐集資料,
434000	437000	那以上這些是屬於劑量的方法,
437000	442000	就是我們並沒有辦法直接去看到底是哪些DNA對於這個行為有影響這樣子,
442000	447000	不過隨著生物科技的發展嘛,就我們可以直接看DNA內的訊息,
447000	448000	不過這方面我不太熟,
448000	453000	所以我就大概簡單的分成Theoretical跟Atheoretical的方法來跟大家介紹,
453000	456000	那前者的話就是像Candidate genes這種我們有假設,
456000	459000	例如說今天我想要看成癮的行為,
459000	462000	那我就會去研究跟多巴胺相關的基因,
462000	465000	因為我們知道酬賞機制跟成癮有很大的關聯嘛,
465000	467000	所以我們就會先選定一些基因,
467000	469000	然後把注意力放在這些基因上面,
469000	474000	去看這些基因的variance跟行為上的variance有沒有相關,
474000	478000	不過現在這個方法有點被宣告不止,
478000	482000	因為人類行為目前看起來不太像是有少部分的基因,
482000	485000	然後有很巨大的效果量可以解釋那些行為,
485000	487000	而是比較像有很多很多的基因,
487000	490000	然後他們的效果都很少,然後堆砌起來的,
490000	493000	所以透過Candidate genes的方法,
493000	497000	我們目前可以解釋的行為變異大概就是1%到5%,
497000	502000	那這樣的變異跟我們用過去前面提到這些劑量的行為遺傳學,
502000	505000	所得到的那個估計值是有一個蠻大的落差,
505000	510000	所以說後來分子生物學家或是分子生物遺傳行為學家,
510000	512000	他們就用比較暴力一點的方法,
512000	516000	就是不做假設,然後去跑GWAS,直接解析所有DNA的序列,
516000	521000	那一次可以看很多Nucleotide,就是DNA裡面的ACTG這些序列,
521000	524000	然後我們就會去看這些Nucleotide,
524000	530000	我們會透過他們的variance,然後去統計一些數值,
530000	531000	然後把它疊加起來,
531000	535000	然後再去看這個數值跟我們有興趣的行為有沒有什麼相關,
535000	539000	那這是目前的分子生物遺傳行為學的努力的方向,
539000	542000	不過遇到的困難是受試者需要蠻多的,
542000	546000	就是大概要好幾百萬個受試者才可以去比較有效的估計一些結果,
546000	548000	那另外一個問題呢,
548000	552000	就是剛剛有講到他們是透過把Nucleotide的效果疊加起來的,
552000	558000	所以這一篇paper他們是看智力,就是intelligence這個特質,
558000	563000	那假設說智力在族群間的variance是百分之百,
563000	566000	然後過去透過雙胞胎研究估計出來的值大概是可以,
566000	569000	基因大概可以解釋百分之五十的變異,
569000	573000	不過透過疊加這個方法,我們算出來它可以解釋大概只有百分之二十五,
573000	575000	那中間這個差異代表什麼呢?
575000	578000	就代表這些基因可能並不是線性可以被疊加起來的效果,
578000	582000	而是他們之間還會有相關啊,或是interaction之類的,
582000	585000	所以後面就是如何去計算那些genome score,
585000	589000	就是未來努力的方向。
589000	592000	對,以上是簡短的介紹,
592000	595000	我想先停下來看看大家有沒有什麼問題,
595000	598000	然後如果有問題的話可以直接開麥克風問。
600000	603000	那歡迎大家直接開麥克風問問題,
603000	606000	或者是如果大家也可以使用chat,
606000	610000	那我可以幫你跟講者提問,
610000	613000	那另外如果大家有問題的話,
613000	616000	也歡迎大家稍微一句話可以簡單自我介紹一下,
616000	619000	大家可以互相認識,謝謝。
620000	623000	好,那如果沒有問題的話,
623000	626000	就是這邊想要強調的是每個方法都有一些限制,
626000	629000	不過本來就沒有完美的研究設計嘛,
629000	632000	所以行為遺傳學可以透過不同的方法整合,
632000	635000	然後去看一個比較穩定可以被發現的trend這樣子。
635000	638000	那再來我們看看計量行為遺傳學,
638000	641000	我這邊會以雙胞胎研究作為例子,
641000	644000	那它到底可以怎麼研究基因跟環境的影響呢?
644000	647000	那概念上來說一樣的,
647000	650000	我們會看個體間基因上的關聯跟行為上的關聯,
650000	653000	那如果這個關聯是顯著的話呢,
653000	656000	我們就會說基因對於我們有興趣的這個行為有一定程度的影響,
656000	659000	然後我們這邊計量一個生物學的名詞叫heritability,
659000	662000	它指的是在觀察到的行為變異裡面,
662000	665000	有多少程度可以被基因所解釋,
665000	668000	不過因為這是計量的方法,
668000	671000	所以具體到底是什麼基因我們並沒有辦法知道。
671000	674000	好,那環境的部分呢,
675000	678000	好,那先講共享的環境,
678000	681000	它指的就是環境中那些個體他們共同體驗到的因素,
681000	684000	而這些因素會使個體趨於相同,
684000	687000	例如說像是雙胞胎他們家庭中的社經地位啊、
687000	690000	居住的社區或是文化等等的。
690000	693000	那另一方面呢,非共享的環境顧名思義就是
693000	696000	環境中每個個體所擁有獨特的體驗,
696000	699000	而這些獨特的體驗在理論上會造成個體間的差異,
699000	702000	像是疾病、意外或者是測量誤差等等。
703000	706000	所以就像今天一對雙胞胎,如果有一個人被有COVID的人對著咳嗽,
706000	709000	另外一個人沒有,然後沒有睡在不同房間,
709000	712000	那一個人就會生病,一個人就不會嘛。
712000	715000	所以雖然他們是同卵雙胞胎,但他們的生命經驗並不會完全相同。
715000	718000	又或者是說他們在母體子宮內所著床的位置不同,
718000	721000	可能一個在比較上面,一個在比較下面,
721000	724000	那這樣子環境上的差異會不會對他們早期出生那段身體發展
724000	727000	有沒有什麼影響,
727000	730000	這也都是可能造成同卵雙胞胎不同的一些因素。
731000	734000	具體上我們是怎麼計算的呢?
734000	737000	我們是透過比較個體間行為上的相似度,
737000	740000	也就是去蒐集一些correlation,
740000	743000	所以我們會蒐集他們的行為資料,
743000	746000	然後在模型中我們會有雙胞胎一跟雙胞胎二,
746000	749000	這個順序我們會隨機分派,減少一些誤差。
749000	752000	好,然後在模型中我們會放三個factor,
752000	755000	就是基因、生命經驗的差異,
755000	758000	然後我們會放三個因素,
758000	761000	就是基因、共享的環境跟非共享的環境,
761000	764000	然後我們會試著用這三個因素去預測他們的行為變異這樣子。
764000	767000	好,那參數的部分就是我們的假設嘛,
767000	770000	那我們從基因開始,
770000	773000	對於同卵雙胞胎就是monozygotic twins,
773000	776000	所以他們就是MZ,
776000	779000	那因為他們共享了百分之百的基因,
779000	782000	所以我們就會在這邊放correlation是1,
782000	785000	假設這兩個基因的影響是完全相同的。
785000	788000	好,那對異卵雙胞胎呢,
788000	791000	就是dyzygotic twins,
791000	794000	他們在平均上共享了百分之五十的基因,
794000	797000	這邊的基因指的是人類獨有的百分之1.3的基因,
797000	800000	因為我們跟黑猩猩也是share了百分之98.7。
800000	803000	好,所以就是對於異卵雙胞胎這個因素,
803000	806000	我們就會放0.5作為我們模型中的參數。
806000	809000	好,那共享的環境,
809000	812000	因為他們都會在同一個家庭裡面長大,
812000	815000	所以對於同卵跟異卵雙胞胎,
815000	818000	我們就假設這個共享環境對他們的影響是一樣的,
818000	821000	所以我們就會在這邊放1作為他們的相關。
821000	824000	然後另外在非共享環境的部分,
824000	827000	是沒有任何假設的,
827000	830000	因為他對每個個體在邏輯上來說都是獨特的,
830000	833000	所以我們就會讓他是獨立事件。
833000	836000	然後這邊放上,如果有修過心理學相關課程的人,
836000	839000	可能會有一點點印象的公式,
839000	842000	因為我們是分析雙胞胎之間的相關嘛,
842000	845000	所以我們就會說那同卵雙胞胎他們之間的相關造成這個相關的原因,
845000	848000	就是因為他們百分之百相同的基因,
848000	851000	跟百分之百相同的環境。
851000	854000	那異卵雙胞胎之間的相關呢,
854000	857000	就會被他們之間一半一樣的基因,
857000	860000	再加上他們百分之百相同的環境所解釋。
860000	863000	然後應該蠻明顯,就是對於非共享環境的預測,
863000	866000	我們就是會透過1減掉同卵雙胞胎之間的相關。
867000	870000	那再來我想分享一下這篇文章。
870000	873000	這篇文章是Robin Pullman寫的,
873000	876000	然後他應該是最知名的行為遺傳學家,
876000	879000	至少在心理學界是這樣子。
879000	882000	所以大家如果有興趣可以找來看看,
882000	885000	他列了10點可以穩定被replicate的一些結果。
885000	888000	那我這邊會講兩個。
888000	891000	第一個的話,我想讓大家猜看看,
891000	894000	就是人類的智力有多少是可以被基因決定的?
894000	897000	在人類的智力中,基因可以解釋的部分
897000	900000	會隨著時間變多還是變少?
900000	903000	然後給大家10秒鐘就是自己在心裡猜看看這樣。
914000	917000	好,那這個結果是一個meta-analysis,
917000	920000	所以他們就是比較了在兒童時期、青少年時期
920000	923000	跟早期成年時期,然後行為遺傳學,
923000	926000	看到基因可以解釋多少比例的智力。
926000	929000	然後他們發現的是在兒童時期,
929000	932000	基因可以解釋大概40%的變異,
932000	935000	但是在成年時期,基因卻可以解釋到70%。
935000	940000	而我們看到減少的部分主要是因為共享環境的影響變少了。
940000	943000	對,我不知道這算不算一個驚訝的發現,
943000	947000	因為可能有人會覺得我們出生之後就不斷受到環境的干擾、荼毒,
947000	950000	然後環境可能會在我們身體中有一個疊加的效果。
950000	953000	可是至少在智力上我們看到的是一個相反的結果。
953000	957000	那行為遺傳學家是怎麼解釋這個現象的呢?
957000	960000	我們覺得是因為隨著一個人的發展,
960000	963000	他對自己環境的掌控力變得更好了。
963000	966000	那對,一個人是怎麼決定自己的環境?
966000	970000	就大部分的時候我們會選擇那些符合我們先天上某些條件的環境,
970000	972000	我們覺得舒服我們就待在那裡嘛,
972000	974000	所以就是應該是透過這樣的邏輯。
974000	978000	那大家也可以想像在小時候很多事情都是家長幫你決定的,
978000	982000	然後長大之後我們卻可以控制越來越多自己生活中的細節。
982000	985000	像是我們並不是長大之後越來越不挑食了,
985000	989000	是我們根本就不會讓自己不喜歡的食物出現在我們的餐桌上。
991000	998000	那第二個研究呢,他們看了是青少年的反社會行為跟母親的負面態度。
998000	1000000	那這邊他們研究的是青少年的雙胞胎,
1000000	1005000	所以概念上來說青少年的母親很像是環境中的一個因素。
1006000	1008000	那他們發現的是什麼?
1008000	1013000	他們發現的是母親的負面態度聽起來像是一個共享的環境因素,
1013000	1015000	但是當他們跑了那個model之後,
1015000	1022000	他們發現基因啊、共享的環境跟非共享的環境都是可以顯著的解釋這兩個構念之間的相關。
1022000	1026000	所以這裡有幾個有趣的結果我們可以探討。
1026000	1030000	像是第一個,我們發現個體在環境中並不是被動的被環境影響,
1030000	1035000	而是那些好像是環境的因素某種程度上反映了他們基因上的一些特質。
1035000	1038000	那大家可以想像在跟人互動的時候,
1038000	1041000	我們其實也不是一直用同一套方式在跟他們互動嘛。
1041000	1044000	像是如果你今天遇到一個比較常微笑的人,
1044000	1047000	你也會就是對應的比較常對對方露出微笑。
1047000	1049000	所以我覺得這個結果蠻有趣的,
1049000	1055000	就是家長的一些條件常被認為是共享的環境,
1055000	1057000	但可能他也是被小朋友的基因影響。
1057000	1061000	所以家長可能在跟小朋友互動的過程中也是身不由己,
1061000	1064000	有點呼應到高嫻之前分享過parental burnout的成因,
1064000	1066000	可能是就是家長對自己要求太高。
1066000	1069000	所以就覺得這個結果也可以寬慰一些家長,
1069000	1073000	就是你可能做一些事然後小朋友並不會有反應,
1073000	1079000	又或者是你做的一些事情是因為小朋友讓你有這樣的行為等等的。
1079000	1084000	那再來的話呢,家長的一些環境上的因素,
1084000	1086000	像是這個負面態度啊,
1086000	1088000	他也可以是造成個體差異的原因。
1088000	1091000	那大家如果有兄弟姐妹可能比較好想像,
1091000	1093000	就是都會覺得爸爸媽媽偏心的時候嘛,
1093000	1098000	雖然說這個媽媽他可能負面的態度是高於平均值的,
1098000	1100000	但他這個負面態度可能只針對某一個小朋友,
1100000	1104000	所以這樣子的關係就會造成個體間的差異。
1106000	1108000	對,那這邊稍微停一下,
1108000	1110000	大家有什麼想問的問題嗎?
1110000	1112000	你好,我想請教一下,
1112000	1117000	我叫石清華,就是石頭石清華大學清華。
1117000	1120000	我想請教一下就是你關於智力那一部,
1120000	1122000	這篇paper關於智力這部分,
1122000	1127000	他們的解釋是說成年之後對環境的掌握比較好,
1127000	1130000	那麼這樣子的component,
1130000	1136000	如果像我們這種international的學生會有什麼變化,
1136000	1137000	他們有討論嗎?
1137000	1140000	因為我們是到了一個我們完全不熟悉,
1140000	1142000	掌握不太好的環境下。
1142000	1144000	哦,了解。
1144000	1147000	但我覺得他們這邊指的智力可能比較像是
