start	end	text
0	21420	來到今天的Chart Talk,那我們今天非常榮幸請到這個琴科博士,魯文森博士來跟我們講他今天關於,他在博士班期間的這個關於Qubit,sorry我應該講說是Quantum Bit或是量子位元的研究,那在我們開始之前呢,先讓我來介紹一下我們今天的講者。
21620	33140	文森今年剛從美東的Rutgers University畢業,他在博班的工作主要是利用超導的人造原子來實現保護性的超導Qubit。
33140	41580	在博士班前,他在台積電的3D IC部門做了兩年半,做製程整合3D的IC封裝。
41660	54380	他剛完成他的博士班,拿到學位,他接下來就會移動到IBM Research,擔任Research Scientist,繼續進行他最專長的超導量子晶片的開發整合。
54380	69700	同時他也是IBMQ推廣計畫的Qiskit的Advocate的其中一員,在他的主要的Superconducting Qubit研究之餘,他也非常致力於用Qiskit開發量子教育還有遊戲。
70540	77200	請大家把麥克風打開,讓我們的講者聽到我們的掌聲。我們就以熱烈的掌聲,歡迎文森來給我們帶來今天的演講。
77200	82200	麥克風打開,讓我們的講者聽到我們的掌聲。我們就以熱烈的掌聲,歡迎文森來給我們帶來今天的演講。我們就以熱烈的掌聲,歡迎文森來給我們帶來今天的演講。
107200	127200	三個部分,一個是Low-EJ的Joseph Johnson和Superconductor,第三個部分是Prototype,一個電路的雛形,一個圓形,我們叫Bifluxon Qubit。
127200	145200	因為Johnson比較無聊一點,而且時間上有些限制,所以我就不會特別提Johnson,主要是focus在這個Bifluxon circuit跟他裡面比較重要的一個元件,Superconductor。
145200	159200	我看到今天林燕祥老師又來,這個電路其實很像Fluxonium,只是把Black Sheep Johnson改成一個Couper-Pair Box,然後用Gate去連。
160200	179200	因為我是做Fab跟不是做Design的,所以電路上的話我會盡量解釋,但是可能在理論背後,比較背後一些Hamiltonian的部分可能還是會,可能因為時間關係也不會提太多。
179200	184200	因為我也不是專門做那個,但是隨時有問題都可以討論。
184200	201200	然後因為在場的可能不是所有人都是做Qubit,所以我簡單提一下,在Superconductor,就是在Quantum Computation的Technology裡面,尤其是Qubit Hardware裡面,
202200	213200	主要是有五個criteria,那其中,這是DiVincenzo他在2000年提出來的,做Qubit的五個criteria。
213200	227200	那其中兩個比較重要的是,第一個是Circuit Depth,就是一個電路你可以跑多久,訊號才會消失,所以你可以放幾個Gate之後訊號才會消失。
227200	243200	那另外一個criteria當然就是Qubit的數量,所以我這邊的工作比較像是在Extend Superconductor Qubit,它的Circuit Depth,就是說盡量的去提升我們的Either Coherent Time或者是Defacing Time。
244200	261200	然後這邊有一個算是最近出來的一個妹妹,就是網路梗圖,就是Summarize Superconductor Qubit的Paper,現在主要看到的Paper總共大概就是這12種。
262200	274200	然後我的博士後來的工作呢,就是基本上落在這三篇Paper的位置,就是他寫說Judson & Johnson can do so many things,這是我第一個工作。
274200	288200	然後第二個就是Realize Superconductor,Impossible Inductors,然後第三個就是我們等一下會看到的我們的Prototype,We made a new Qubit and it is awful。
289200	297200	不過開玩笑歸開玩笑,就是這個確實是我在博士班,這個確實是cover我在博士班的工作。
297200	310200	所以我們今天會看到的就是,第一個是Superconductor,我們試著用Granular Aluminum去實現High Kinetic Inductance的Superconductor。
310200	316200	然後第二個是用Johnson-based Superconductor to realize Bifurcation Qubit。
316200	322200	然後用Granular Aluminum做Superconductor來Realize Bifurcation Qubit是一個ongoing的Project。
322200	326200	或也許有時間我們可以稍微提一下。
326200	329200	不過今天主要重點就是這兩個。
329200	334200	然後基本上這一頁是很快帶一下Judson & Johnson是什麼樣的東西。
334200	345200	Judson & Johnson基本上就是一個Capacitor,只是它的兩邊是Superconductor,然後中間有一個很薄的Aluminum的Oxide Layer。
345200	350200	然後在我們的Device裡面呢,我們用的是Aluminum-based的。
350200	363200	所以就是在一個方向上用Shadow Mask,在一個方向上長一層Aluminum,然後在真空腔裡面introduce一些Oxygen,然後在另外一個方向上再鍍另外一層Aluminum。
364200	367200	就是這樣可以做成一個Judson & Johnson。
367200	373200	那Judson & Johnson基本上可以用三個Element來表示,在Model上面。
373200	384200	其中一個是會影響整個Circuit Damping的Resistance,然後還有Capacitance,跟一個Nonlinear的Inductor。
384200	394200	然後其中Capacitor跟Inductor它的Characteristic Energy就是用Charging Energy,Q² over 2C,還有Joules Per Minute Energy。
394200	401200	這是因為Joules Per Minute Effect產生的Joules Per Minute Energy。
401200	412200	那Joules Per Minute Effect基本上是它的,基本上就是用,它在描述的就是,你可以用Junction兩邊的Supercurrent的Phase Difference,
412200	418200	作為Parameter,去Parameterize這個Circuit Element的IV Characteristics,
418200	422200	就是它的電流跟電壓可以用Phase去做,去Parameterize。
422200	426200	然後進一步你可以得到它的Characteristic Energy大概長這樣子。
426200	433200	那其中它的實驗上來說,我們今天就是我做了什麼Junction,再試問兩個電阻大概是多少,
433200	436200	那它就是Inverse Proportional to EJ。
436200	443200	然後這個EJ跟EC呢,基本上可以用古典物理裡面的,
443200	452200	就是可以把它想像成古典物理裡面的那個,就是Kinetic Energy跟Potential Energy。
452200	458200	EJ比較像是Potential Energy,在Phase Representation底下呢,EJ就像是一個Potential Energy,
458200	460200	然後EC就像是Kinetic Energy。
460200	469200	然後在有,在EJ跟EC的數量擠在一個正確的位置上的時候,
469200	474200	也就是說EJ跟EC是Comparable的時候,因為Confinement Effect,
474200	480200	就是Quantum Confinement Effect,我們可以觀察到有Energy Level的產生。
480200	489200	那這是在Quantum Computation裡面,我們取第0個跟第1個能階去做Operation。
489200	494200	也就是說,假設今天Energy Level是non-equally spaced的時候,
494200	501200	你就可以去用Microwave去比較準確的去Address Ground State跟First Excited State。
501200	507200	然後這是基本上用Superconducting Artificial Atom來做Quantum Computation的基本的概念。
510200	517200	然後,剛剛有提到說,就是EJ本身是兩個,
517200	523200	就是可以把它類比成動能跟位能。
523200	528200	然後在古典物理裡面,我們知道動能和位能,
528200	533200	就是因為動能和位能他們的就是數學結構的關係,
533200	538200	我們可以預期他們的Represent,就是他們代表各自的Basis。
538200	546200	比方說,動能的Basis是位置,位能的Basis,sorry,動能的Basis是動量,位置的Basis是位置。
546200	551200	所以P跟X,Delta P跟Delta X會Follow,就是Computation Relation,
551200	555200	然後你會預期到他們會有Certain Principle。
555200	560200	那在Junction,在Circuit,Superconducting Circuit裡面,也有類似的現象。
560200	570200	只是說我們的,變成我們是用Charging Energy的Basis,就是Number of Cooper Pairs,
570200	579200	跟Josephine Energy的Basis,也就是剛剛parameterized的Supercurrent Phase。
579200	586200	這兩個Operator,他們也會Follow,就是他的一個最低的一個,
586200	589200	也會有所謂的Accelerating Principle。
589200	594200	然後在一般的,在我們的,我們關心的超導電路裡面,
594200	600200	他的,就是一般來說我們比較擔心的是Charging Energy。
600200	606200	那如果今天想要,我們今天想要讓Charge Noise Minimize的時候,
606200	613200	我們會預期我們需要去Maximize我們的那個,就是Phase Fluctuation。
613200	618200	那Phase Fluctuation,在,去Maximize Phase Fluctuation,
618200	623200	代表的意思就是我們需要把這個Energy Spectrum,
623200	628200	他的那個,就是,因為這個是一個,就是靜止成一個Parabola,
628200	634200	然後所以我們需要一個很大的Inductance,去把這個Parabola壓平。
