start	end	text
0	28320	好,所以大家好,我是今天Taira Talk的主持人,我是施慧婷,很高兴今天可以在这边跟大家一起参与这场演讲,那我们今天的讲者是姚乃嘉,我跟乃嘉personally其实是认识的,而且认识蛮久的,因为乃嘉是我大学跟硕班的学妹,
28320	46440	乃嘉的大学硕士班和博士班都是在台大物理治疗系就读的,乃嘉也曾经担任世界物理治疗联盟World Physiotherapy亚太区的主任秘书,现在已经毕业了,她在好棒棒创意担任营运长的工作。
46720	60000	在今天的演讲内容里面,主要乃嘉会跟我们分享两个部分,第一个是关于她的博士论文《儿童发展的基因环境交互作用》,第二个是关于医学资讯设计。
60280	74960	第一个题目,儿童发展的基因环境交互作用,主要是针对早期疗愈的介入,还有多巴胺相关基因对儿童的发展,包括认知发展、动作发展,还有行为的发展,以及父母亲亲执压力的影响,
75000	85120	也会探讨基因和环境的交互作用,期待未来长远的发展,可以设计出更个人化的医疗方案给这一群小朋友。
85680	96720	第二个主题是关于医学资讯设计,因为乃嘉博士班毕业以后就到了业界,主要是致力于医学资讯的设计和科普教育,
96920	104680	因此,她将通过社群平台或活动推广一些医学资讯给一般大众,并且也将与我们分享一些她的经验。
104680	116160	在今天的讲座中,我希望能与大家分享一些常见的数位行销内容,并与今天与会者一起讨论更多可能的发展。
116840	125480	因此,我将把时间交给乃嘉博士,您可以分享屏幕,并分享您的PowerPoint。
126720	132640	让我们一起用掌声欢迎乃嘉博士。
186720	195640	主持人秦奥秦奥,您好,各位网友,大家好,我是乃嘉博士,我是一名医学资讯设计的研究员。
195640	208680	我认为Project TIRA应该属于研究性的部分,因此,在第二部分,我将用作品分享的方式与大家进行交流,并且讨论未来的知识。
208680	213160	专业人员和一般的大众,我认为这些人都值得与我们一起讨论。
213160	220060	另外,我首先要向大家道歉,因为现在台湾已经变成了第三级,所以我的家人都在家。
220060	229300	如果稍后影像或声音出现一些家人的声音,尤其是我的家庭有嫩音,所以如果有小朋友在哭,请大家多包涵。
229420	237140	我先用很快的速度来讲解我的博论,因为时间有限,所以我可能会讲得很快。
237140	247160	因为这是我博论的重点,所以等一下会看到字比较多,因为我还没有时间好好优化,但我讲的可能会比较精简。
247160	252660	如果大家有任何问题,都可以随时告诉我,或者是在最后会合的时候跟我讨论。
253060	265100	我的博论主要是专注于基因环境交互作用的部分,也就是我们想要了解对于儿童来说,先天和后天的因子可能都会影响他的发展。
265100	276660	先天的因子,我们在这边挑选的是多巴胺和血清素相关的基因,后天的因子是指医疗介入的部分,我们针对的族群是早产而为主。
277000	287800	先讲一个理论,让大家有一个简单的概念,就是在过去的研究里面告诉我们有在differential susceptibility theory告诉我们说,
287800	297300	你在越差的环境,你的表现可能就越差,就带有特定基因的人。在越好的环境里面,那你可能就会表现得越好。
297300	303280	反之,没有带有这种特定基因的人,他可能更不会受到环境的影响,这是其中一种理论。
303300	311140	另一种理论是diversityist theory,它是在指说,只有负面的环境会让我表现更差,而正面的环境根本没差。
311140	321900	另一种理论是diversityist theory,它是在指说,在好的环境里面,他可能表现得会比较好,而在坏的环境里面,他可能表现得会比较差。
321960	336540	因此,以我们的这个案子来说,它会比较希望看到敏感的部分,就是在好的环境作用下,也就是在医疗结构的作用下,它可能会让它发展得更好。
337540	350120	因此,这个架构主要会分成几大领域,第一个就是环境的部分,我们想要看环境会不会影响小朋友的发展,然后另外一个是父母亲的压力会不会有一个比较改善的部分,
350160	354960	另外一个是后天的部分,另外一个是先天的部分,也就是基因的部分。
