start	end	text
0	11000	謝謝大家早安晚安,謝謝大家今天來參加我來share我的screen。
11000	27000	我們今天人沒有很多,所以大家不用客氣,如果有問題隨時打斷我,或者是直接開,我覺得直接開麥克風應該也沒關係。
27000	35000	好,那今天我要講的這個題目其實是叫做Invisible Risk Data Sharing Activities of Data Brokers。
35000	44000	我的co-author是Aaron,是剛從Rutgers拿到PhD,他的PhD的peer好像也在這邊。
44000	51000	他之後要去California State University Fullerton,然後我另外一個老師是Rutgers的老師。
51000	63000	自我介紹一下,我的background其實是Accounting,然後我是CPA,然後我是Certified Internal Auditor,可是我的PhD是Management Information Systems。
63000	71000	我平常主要都是在教Data Analytics,Data Mining這種相關的課程,因為我的background的關係。
71000	88000	那我目前是在Fulbright Specialist的那個list上面,然後我是專門在做Curriculum Development,然後我之前也有在跟Computer Science那邊有合作,他們有個Task Force在講說Cyber Security的Curriculum要怎麼Design,所以我也在那個計畫裡面。
88000	109000	那我的research主要都是IT Management, Security Management,幾乎都是在這個方面的。那我經常在外面演講,那可能是大學啦,conference啦,然後或者是有一些professional organization的,然後之前有在Federal Reserve Bank當過panelist。
110000	124000	然後我上上禮拜,上上禮拜,三四個禮拜之前吧,有在McDonalds幫他們做Analytics的training,之前有幫California Department of Justice做一些training,然後也有在台灣的金管會幫他們演講過。
124000	141000	那我2018年的時候,我是KPMG就那很大的audit consulting firm,我在那邊當professor in residence,所以我其實跟他們一起在紐約工作了10個禮拜,然後我平常也有在跟公司做project,那目前已經做超過大概15個了吧。
141000	170000	好,那有關於這個paper,Data Broker其實已經出現很久了,只是他受到注意可能是過去這10年之內的事情,所以你看其實可以看到好多新聞都在講Data Broker,然後看到我這邊的這個最早期是2013年的,那最近其實是到今年。
171000	183000	呃,都還只有在看到,尤其是在那個Facebook的Cambridge Analytica的那個Scandal之後,新聞更多,那到底誰是Data Broker?呃,Data Broker其實。
184000	202000	不是我們平常一般會接觸到的那個那個organization,他其實是比如說我們去一個一個網站,我們在我們都知道說他會收集很多我們的資訊,我們也知道有些網站其實會把我們資訊拿去賣或拿去share,可Data Broker其實是躲在這些網站的後面的。
203000	218000	所以他在收集資料的時候,其實我們大概都不會知道,比如說,呃,我們手機有個免費的app,然後我們就去登入了,那其實這個app說是免費,他其實是背後其實是因為他這個有一個額外的information sharing的動作,所以他是免費的。
