start	end	text
0	30000	演讲主持人我是Annie,然后我们今天很荣幸的请到Ian来给我们做一个非常精彩的演讲,Ian现在是康乃尔大学的博士候选人,那今天的题目是叫做Killing the obvious, a scientific analysis of the incompetent to be executed,然后大概跟大家讲一下今天的演讲大概是40到大概是一个,差不多一个小时,然后大概40到45分钟的演讲,然后最后有10到15分钟的演讲,然后我们今天很荣幸的请到Annie来给我们做一个非常精彩的演讲,Ian现在是康乃尔大学的博士候选人,那今天的题目是Killing the obvious, a scientific analysis of the incompetent to be executed,然后大概跟大家讲一下今天的演讲大概是40到大概是一个,差不多一个小时,然后大概40到45分钟的演讲,
31000	36000	然后我们今天很荣幸的请到Annie来给我们做一个非常精彩的演讲,
36000	41000	然后我们今天很荣幸的请到Annie来给我们做一个非常精彩的演讲,
41000	46000	那这个录像会在一周内,大约一周内上传到Tyra的YouTube频道或者是Tyra的Blog,
46000	51000	那这个录像会在一周内,大约一周内上传到Tyra的YouTube频道或者是Tyra的Blog,
51000	56000	那我就请Ian,我就废话不多说,请Ian开始演讲吧。
56000	61000	然后就很开心,就是今天在场的各位,就是特别是有好几位是来自台湾的好朋友的支持,
61000	66000	然后就很开心,就是今天在场的各位,就是特别是有好几位是来自台湾的好朋友的支持,
66000	71000	那这么晚,那我会尽量用比较浅显,然后就是给不熟悉这个主题的人,
71000	76000	就是一个比较就是overview的介绍,那我就开始就是分享我的荧幕的投影片。
76000	81000	那我就开始就是分享我的荧幕的投影片。
81000	86000	- 嗯,那大家可以看到投影片吗?
86000	91000	- 嗯,可以,我可以。
91000	96000	- 好,那如果没办法看到投影片的话,再请Annie再把,就是跟我说一下。
96000	101000	- 好,那如果没办法看到投影片的话,再请Annie再把,就是跟我说一下。
101000	106000	那今天的讲题呢,是Kelvin Oblivious,
106000	111000	就是Kelvin Oblivious这个字是指无知的人,
111000	116000	或者是比较就是,对,就是没有意识,
116000	121000	没有就是知觉等等的都可能,
121000	126000	它是一个蛮难的字这样,所以大家如果不认识是蛮正常的。
126000	131000	那我是苏伊安,那目前是康乃尔,美国康乃尔大学,就是即将升三年级的博士生。
131000	136000	那我的系呢,目前是在那个人类发展学系,
136000	141000	那它即将就是和跟心理系合并为变成心理系。
141000	146000	那这个project呢,是我在我原本的系,就是Human Development,
146000	151000	那以及跟康乃尔的法学院Cornell Law School合作的一个project这样子。
151000	156000	那我今天的演讲主要会分成三个部分。
156000	161000	第一个部分呢,就是这个Kelvin Oblivious,
161000	166000	这个就是所谓杀死这个无知之人,
166000	171000	它比较像跟法律或者是比较相关的就是背景的介绍。
171000	176000	那第二个部分,我们就会就是直接来就是看这个project在做什么东西。
176000	181000	那第三个是,就是我会介绍一下,就是因为这个project它是结合了心理学跟法律,
181000	186000	所以它跟法律的操作是有关系的,所以我用很简单的方式介绍一下,
186000	191000	就是实务上是怎么去看待,我们怎么去嫁接研究跟实务的部分。
191000	196000	那我就先稍微讲一下第一个部分。
196000	201000	那第一个部分就是,我为什么会开始做这个研究是因为,
201000	206000	在两年前来到Cornell的人类发展学系,就是工读博士班之前,
206000	211000	那当时在台湾是一名律师,那在律师的职业期间,
211000	216000	我有接触一些跟涉及死刑的案件,那会接触这些案件并不是我特别去选择的,
216000	221000	只是因为我的背景,就是我的大学是念法律系的,
221000	226000	那我的硕士班是念心理学,所以就是等于在台湾的环境里面,
226000	231000	我算是就是很幸运,刚好是少数就同时有心理学跟法律跨领域背景的律师。
231000	236000	那当时我所就是工作的事务所,
236000	241000	他所承接的是刚好有蛮多所谓的重大刑事案件,
241000	246000	那很多的重大刑事案件里面的被告,他们就是可能患有比如说精神疾病等,
246000	251000	就是涉及心理学的议题,所以我刚好在工作期间就有接触到一些涉及死刑的案件。
251000	256000	那会来到Cornell的人类发展学系呢,
256000	261000	有一个原因就是因为他虽然我是纯粹攻读五年的心理学的PhD的program,
261000	266000	但是因为这边他有一个很强大的跨领域的一个discipline,
266000	271000	所以他们有提供所谓的dual degree,
271000	276000	就是说他们这边的老师就是非常非常强调,
276000	281000	也喜欢就是结合心理学跟法律的人才跟就相关的研究题目。
281000	286000	所以比如说像虽然我没有念这个,
286000	291000	荧幕上提到了这个六年的dual degree,
291000	296000	但是因为我的老师说我本来就已经有台湾的法律学位了,
296000	301000	所以我就不需要再来美国再多念一个法学院,
301000	306000	但是我实际上在做的事情就是想办法结合我过去所学的法律跟心理学,
306000	311000	然后透过研究的方式去研究一些法律实务上可能会面临的问题。
311000	316000	那我会开始今天这个Killing the Oblivious这个project,
316000	321000	是因为上面两位是我主要在人类发展学系合作的教授,
321000	326000	那他们就是知道我过去在台湾有死刑辩护的经验,
