start	end	text
0	23000	今天我們很榮幸能請到鄭亭雲博士來跟我們討論今天的演講,他今天要講的題目是Data Crisis in Astronomy,Machine Learning Techniques to Galaxy Studies,在我們開始演講之前呢,先讓我來介紹一下亭雲
23000	46000	亭雲現在是在Center for Extragalactic Astronomy,在Durham University,在UK,他本身是一個天文物理學家,他在台灣拿到他的大學和碩士學位,然後他就到了Nottingham,也是UK,拿到了博士學位,在去年的時候拿到博士學位。
46000	62000	他主要的研究興趣是銀河系的演化,就是Galaxy Evolution,還有銀河系的形成,Formation,他現在非常非常的focus在用Machine Learning的技術來做Galaxy Survey的研究。
62000	80000	在今天的演講中呢,他當然會講他最專長的部分,就是用Machine Learning來對Galaxy Study,然後他當然會講一下以前的work,然後呢,他也會講說Machine Learning對未來的Galaxy Studies有什麼樣的幫助。
80000	93000	那好,那就此時此刻,請大家把麥克風打開囉,讓我們用熱烈的掌聲歡迎亭雲來為我們帶來今天精彩的演講。
93000	94000	好,那就交給亭雲。
94000	122000	謝謝大家,謝謝,謝謝大家,謝謝就是非常熱情的介紹,那大家好,就是早安,午安,晚安,因為大家四散各地,那我是亭雲,我現在是就是Darwin University的博士研究員,那今天就是先跟大家抱歉一下,就是我應該會蠻多中英夾雜的部分,因為我的speaker notes沒有辦法顯示出來,然後我平常基本上都是講英文,
122000	126000	所以我中文有時候會卡的還蠻嚴重的。
126000	144000	好,那我今天呢,想跟大家分享的主要就是Machine Learning這個東西呢,現在在天文呢,就是開始就比較多有人在使用,那這主要是我博班的一個就是研究的主題,那我今天就會分享一下我博班做的一些paper。
145000	172000	那first of all,就是先跟大家介紹一下,就是什麼是天文學家呢?那基本上我每次跟大家就是介紹說我是個天文學家的時候,就是每個人就會對天文學家有很不一樣的想像,那多數的時候一般人聽到就問我說,哎,那你知道就是金牛座下週的運勢是什麼嗎?然後或者是大家就會指著天空的某星星啊,就問我說,哎,那你知道那個星星是什麼嗎?那我就必須要很誠實的說,我真的不知道。
172000	191000	然後像是如果去跟人家說,我是博壽研究員啊,然後我媽就會很誇張,就會跟大家說,哦,你知道我們女兒在做教授啊是什麼的,就是沒有那麼誇張,就媽媽請冷靜,那其實真的來講的話,不過你是觀測天文學家還是理論天文學家,其實我們每天最常做的事情就是打電腦。
191000	214000	所以我們平常不是在寫code,就是在debug,那尤其是我們最常做的東西應該就是data analysis,那你可能是就是分析,就是比如說特定的一些星系,那或者是像我的話呢,就是呃,我是分析,就是表示survey的data,就是大資料的data,那我可能一次分析可能會是幾十萬或甚至到上百萬的galaxy在做。
214000	243000	那我本身的研究興趣呢,有兩個方向,一部分是星系分類,就是galaxy morphological classification,那另外一部分是比較偏宇宙學方面的,那我做的是Lama Nama Forest或是IgMCGN,那不知道這個專有名詞的意思是什麼沒有關係,因為今天我主要的內容其實會focus在星系分類上,就它相對來講是比較straightforward的一些概念。
244600	273920	那我這邊呢,顯示這個圖呢,這邊這是一個最有名的,就是星系分類的一個系統,那它是用人眼去分類的,那我們叫做Hubble sequence,就是以非常有名的天文學家Hubble去命名的一個東西,那星系分類呢,其實可以分成很多種,就是你可以依照不同的亮度啊,或是不同的演化程度去分類,或甚至不同的星系結構,但其實人眼分類就是非常不幸的,
273920	283920	它是目前在天文裡面其實最常用的一個系統,那這個Hubble sequence我們已經沿用它大概就是差不多快100年了。
283920	302920	那再來呢,講到big data的部分啊,就是這裡我顯示的是就是近幾年就是我們各種survey的,各種survey的data,那你可以看到說從左圖這邊啊,就是不論是目前你可以看到的天文survey裡面,
302920	332840	我們的data scale大概就是terabyte scale,那甚至到未來呢,我們預計會有的已經可以突破大概petabyte scale,所以我們就會發現說就是data長得非常非常的快,因為電腦科技的關係,我們可以存取很多很多的data,但是問題是我們目前天文界裡面就是使用傳統的分析方式,並沒有辦法這麼有效率的去處理這麼大,
332840	362800	一匹的data,那就變成一個情況就是說我們空有data,但是我們卻沒有辦法處理它,那這些這些大數據的就是這些survey的data轉換成就是星系大有多少個星系呢?我今天大概show一個就是數字給大家看一下,那自2005年開始就是SDSS是一個非常有名的大型巡田計劃,那它大概有5000,它大概觀測了5000萬個星系左右,
362800	392000	但實際上我們真的能夠分析,呃,真的做了分析,真的做了呃,比較多精細的研究,大概就只有快100萬個星系而已,那你就知道說我們分析的速度其實是非常非常的緩慢的,是遠遠不及我們data可以呃,data generation的速度,那在呃,在信息分類上呢,有個最有名的計劃就是galaxy zoo,那galaxy zoo呢,他們是呃,就是
392500	421900	廣召各個就是呃,普羅大眾來一起做呃,星系分類,因為星系分類你可以想像,它其實是一個非常straight forward的一個東西,就是你看一個星系,就是它有沒有螺旋幣,那你大概就可以分析說,哦,它是不是橢圓星系還是螺旋星系的概念,那galaxy zoo就是衝著這一點,他覺得普羅大眾也可以做這樣的事情,所以他們就是讓普羅大眾來一起參與這樣星系分類計劃,但即使他們召集了就是全世界的人
421900	443200	一起去做這樣的分析,大概三年的時間,他們只就是分類了大概就是90萬個galaxy而已,所以你就知道說,如果呃,比如說像我現在自己本身做的data是data,就是data,那這個部分的data呢,它的起始initial data就有大概
443200	473100	30兆galaxy,那我本身自己就是我發過的paper裡面,我做的分析大概有兩兆galaxy,所以你就知道,如果說我們今天要讓要用傳統的方式去做,要用冷眼的方式去分析照get,even就是照galaxy zoo的方式去做,你都可能我這輩子都做不完,所以我們這時候就需要一些就是幫忙,那我這邊說,當我們說,呃,we are in trouble,其實我一直是說,I am in trouble
473200	503180	因為太多的data,那我自己本身做就是這種大型survey分析的人,我根本做不完,那我這時候呢,就需要很多人就會開始去傾向找像就是呃,機器學習的幫忙,大概就是我今天的主題,那這裡呢,你可以看到就是我稍微秀一下,就是呃,機器學習的應用在天文研究上,就是哎,機器學習在天文研究上,就是最近的paper,就近幾年的paper,那你可以看到說,就是
503200	531220	呃,近幾年就是非常exponential growth,就是你有越來越多的paper在做相關的事情,那我大概是2017年的時候開始就是念博班,那我念博班的時候,我印象很深刻,就是那時候基本上沒有什麼人在做,大家就只是在開始做而已,但是其實過後就大概每一天我都會有一篇新的paper,就哎,每一天都會看到一個新的paper在講,跟就是machinery有關的應用,這樣子
532220	559240	那我大概說一下,就是呃,在天文裡面呢,就是其實在現在computer science,我覺得大概是差不多的情況,就是呃,machinery就是在我們大致上的應用,如果你以他的,呃,以他的方法來分的話,我們大概有分supervised,unsupervised,或是self-supervised,那當然還有其他的就是比較detail的東西,我就先暫時不講,這是比較大概的分類
559600	588280	那這三類呢,我等一下就是都會稍微有提到,所以才說我的talk今天會比較technical,那你有什麼任何問題,就是你跟machinery不太熟的,就可以立刻提出來,沒有關係,那呃,在應用上面呢,就是你可以分,大致分為三種不同的問題,你可以在做classification,就是分類的問題,或是regression,就是你想要predict一個continuous的value,或者是你做data generation
588280	618240	那這些都是machinery就是可以幫助上的地方,那這三種我基本上都有涉獵,不過我今天會focus在classification problem上,那在呃,呃,在他的目的性來講的,多數家在天文上我們想要做的事情就是,呃,照剛剛講的嘛,因為我們有很多很多的data,但是我們的傳統分析的方式遠遠不及於就是處理這些data,那最最大的問題是我們想要處理,呃,
618280	629800	效率問題,efficiency,那有很大一部分還有幾,呃,關乎到就是我們如何去,呃,major一些就是,呃,quantity,那
630160	647520	machine learning,因為他本呃,machine learning基本上可以幫助我們去對一些測量上的精準度,就是可以,呃,可以改善一些測量的精準度,所以目前最大兩個,我們在使用machine learning的目的上,就是為了可以改善efficiency and accuracy
647960	661400	但我今天,呃,除了這兩個之外呢,我最主要的一個部分會想要跟大家聊聊,就是what else we can do,就是what else,except for the,呃,efficiency and accuracy,what else we can do using machine learning
662000	666240	就是you can be more creative when you,呃,when it comes to the machine learning
666240	693160	那,呃,綜合剛剛以前大家前面所講的,就是有點長的開頭,我今天大概就會分成兩個部分,一個部分呢,會講到就是非常短的一個部分,就是講,呃,using supervised machine learning,然後how to improve your efficiency,accuracy,那第一個部分呢,就會講到我剛剛提的,就是what else you can do,那這部分呢,我會比較focus在unsupervised machine learning跟self supervised machine learning
696720	711760	那我們回到剛剛就是最開始的hub sequence,那我們現在先簡化一下問題,基本上就是,呃,我不知道大家對星系的概念是怎樣,但我就是盡量以大家就是可能都不是我的領域去解釋,所以我解釋會比較淺白一點
712280	721680	那星系,呃,你一般可以分成兩大類,就是橢圓星系跟螺旋星系,那他們分類其實很簡單,就是有沒有螺旋幣的概念
722240	725720	那,呃,大家不知道可以看到我的滑鼠
727720	744440	哦,你們看得到我的滑鼠嗎?可以可以,那螺旋幣呢,就是非常明顯就是這個就是螺旋的這個形狀,那只要有這螺旋幣的呃出現呢,那基本上我們就是定義它為螺旋星系,那另外一種就是定義它為橢圓星系
744440	757520	所以目前為止應該可以只要說就是它其實是一個很直白可以,呃,很簡單可以分類的東西,所以這是之所以為什麼Galaxy Zoo可以就是讓普羅大眾一起來幫忙這件事情
757520	787440	那,呃,一開始呢,就是我,不好意思,我可以問個問題嗎?嗯,對,我我比較問一個難易服的問題,就是說那些星系為什麼他們都是這種二維的一個像圓盤的形狀,他們有沒有可能是一個,例如說三維的球,那個球殼的形狀,對,哦,他他其實是啊,就是因為你現在目前看到就是你覺得是二維,那因為是projection的關係,但其實每個星系都是都是有一個depth在
787520	817400	的,那以橢圓星系來講,他們基本上,呃,他們基本上就是像一個球,在三維空間中,他們就像一個球,那他們的light distribution也是比較,呃,比較就是球的分布的形狀,但是如果你今天看的是比如說螺旋星系spiral galaxy,它會比較像disc的形狀,所以它的你如果今天把它project到3D上的話,你的你的亮度的分布會比較像一個盤子,而不是像一個球
818400	829720	所以這也是在分析上,嗯,對,所以為什麼,為什麼他就我的問題是,為什麼有些他是一個盤子的形狀,而不是你覺得你就是一個三維的對稱形狀
831320	835760	嗯,這是蠻好的問題,所以這部分應該,呃,這部分主要是因為,呃
835760	854080	嗯,他在形成的時候呢,就是比如說像這部分其實有點蠻難回答的,但其實主要就跟他的演化跟形成有關,那目前我們最一最目前最有的理論是覺得說,呃,我們從spiral galaxy開始,那他是先,呃
854080	855080	呃,呃,氣體會先,呃,我講英文可以嗎?OK,可以啊,可以啊,對,就是,呃,所以spiral galaxy,they think that,呃,in the beginning,呃,you will have some gas that accretion into,呃,this structure,它不是球狀的這種,它是反而是,呃,捲進來,那是一個平面的捲進來的概念,成為一個我們所謂的,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃,呃
884080	886080	為叫做accretion disk的形狀
887200	893040	對,它反而不是一個整個球這樣子,全部一起聚成一起的一個形狀
893520	900400	對,那一開始我們,我們認知上它清晰的主要形成應該是會從那個開始
900960	905840	那我們就,呃,所以我們認知上是覺得spiral galaxy先形成
906160	913600	然後漸漸的藉由merge,就是兩個galaxy撞在一起的概念,我們才把那個momentum就是釋散之後
913680	920640	才會面面慢慢的形成就是球狀的形狀,因為球狀是比較是equilibrium的形狀,呃,的狀態
921200	923200	這樣可以解決到你的問題嗎?
923520	926080	嗯,但,沒關係,我們等一下再討論好了
926560	934160	好,對,因為這部分其實要講還蠻久的,跟我今天講的比較沒有什麼太大的關聯
936160	939680	對,然後那第一部分呢,就是supervised的部分呢
939920	942720	呃,先跟大家介紹一下什麼叫supervised
942720	947920	那supervised machine learning呢,就是很簡單的概念,就是我們餵圖片給machine
947920	949920	然後我們給予一個label
949920	953680	就是,比如說像上面我就說,噢,這告訴machine說這個是狗
953680	955680	那下面就跟它講說這是炸雞
955680	960800	然後餵了它很多很多的照片,就是不同狗的照片啊,不同炸雞的照片啊
960800	969120	然後machine學習之後呢,我再問它說,噢,那這些東西就給它一個它從來沒看過的照片,問它說這是狗還是炸雞
969600	976240	就是這樣的概念,那supervised是非常常用的一個東西
976240	986720	那在我2020年的paper裡面呢,就是我其實研究了10種不同的supervised machine learning algorithm
986720	989760	但我今天會focus在confluential neural network
989760	997760	那confluential neural network,呃,先快速的介紹給就是不太熟machine learning的人知道
998000	1003280	那它idea就是我們有confluential layers,就是做feature extraction
1003280	1010320	那confluential layers它其實在做的事情呢,就是,呃,有點像就是濾鏡的概念
1010320	1018880	它其實就是想要捕捉一個,一些features它可以,呃,the best represent,呃,你的image
1018880	1025840	就是在你要predict這些label的時候,呃,哪一些重點,哪一些重點是machine做判斷的重點
1025840	1031360	在這個影像上哪一個部分是,呃,它machine做判斷的重點
1031360	1035920	那你在confluential layers裡面呢,比如說第一層啊,這邊有6channel
