start	end	text
0	11000	我是嗯好那我現在看到實在我可以切換哦可以可以好嗨各位大家好啊感謝各位從全球各地啊不同的時區來參加這個演講
11000	21000	然後我現在像信達剛剛講的很感謝他剛剛給我一個很detail的介紹那我今天呢想要介紹就是我想要講我的研究我過去做什麼
21000	50960	然後還有用一兩張時代來稍微帶一下我未來打打算要怎麼樣做這個課題那我現在主要的啊overview的部分我會盡量用中文的slide跟中文的方式來做演講那等到比較像detail的啊研究的部分呢那呃我會用盡量用中文講但是我會用英文的時代因為有些東西我不是啊對中文的翻譯不是那麼有信心所以我想說就那就對但是我盡量會用中文的方式跟各位來來介紹那我也知道說各位的啊講者的啊各位的聽眾的那個
51460	79960	背景也不太一樣所以我盡量如果你有任何問題就歡迎你打斷我然後我們可以就是來回一兩次如果發現哎真的還是有一些問題沒辦法解決那我們可以在最後時間相信他講的我們最後的時間我們再做一些更深入的一些探討好那我今天想要探討的是力學呢對於染色體不穩定性的影響就是尤其是在以細胞分裂的角度來看這個問題那我們知道說啊從國中我們從國中跟高中的生物學我們就學很多有失分裂那有失分裂的通常代表
79960	109720	時細胞等到它產生子代的時候呢那兩邊兩個細胞都會有一樣的染色染色體的數目那讓我快速的就是帶過這個染色體有失分裂的過程在細胞準備分裂的過程之中呢那個染染色體會變成這個形狀有點像是香腸狀如果你把它啊如果你用啊染色你用你用染色的方法把它固定起來然後把它去看在啊點維性下去看的時候你會發現它有有點像兩根香腸
109960	139920	那這個過程之中呢它合膜呢會開始降解那在降解的過程中呢染色體就開始跟所謂的紡垂絲它是一個微管造的所組成的一個啊東西然後它這個紡垂絲呢會想辦法組成這個紡垂絲的形狀那這個過程之中呢啊這個染色體會跟紡垂絲所謂的所謂會會交互作用在一起然後紡垂呃呃染色體會被紡垂絲給帶到中間來我們就叫它中板集合
140680	152460	那這上面有一個很重要的component叫做啊叫著實點這個著實點意思是說它是染色體會就這個著實點去跟紡垂絲啊做反應
152460	161420	然後等到大家這個染色體能排在中間排的好好的啊那細胞就會進入所謂的安娜費他這個時候呢染色體就會分成兩邊
161920	170140	那這個過程呢其實是啊非常不容易的那背後有很多人其實在探討說這個過程為什麼可以表現的這麼完美
171220	178340	那其中有兩個事情我必須想特別啊highlight就是所謂的spindle assembly checkpoint這個checkpoint是檢查點的訊號
178940	188340	當發現說這個染色體呢跟紡垂絲如果沒有連連結起來的時候呢這checkpoint就會on那這個訊號如果on的時候呢細胞就沒辦法往下走
188580	196300	所以他當當初是一個檢查哨的概念如果當著檢查哨發現說這系統有點問題那他就盡量不要讓這個事情發生
196980	203340	那還有另外一個系統叫做所謂的error correction啊我們叫叫他姑且叫做啊叫他就是除錯機制好了
203740	213220	這除錯機制是說當他發現說染色體如果不是排成這樣子後呢我們細胞裡面有一套除錯機制想辦法把它變成這個樣子變成正確的樣子這樣的話
213740	218140	啊當他進入細胞分裂過程之中他就不會有就是有錯誤發生
218580	222580	但事實上呢也會有很多時候會有所謂的錯誤的發生我們就叫他
224180	226100	啊不正常分裂好了
226620	230620	那不正常分裂的過程之中呢染色體就會發生不穩定性
231100	237020	那舉個例子好了我這裡有兩個染色體是用兩種兩組染色體我是用顏色color coded起來的
237420	243300	其中一個染色型你看他的這兩對染色體呢都連接同一邊同一邊他另外一邊沒有連到
243700	246820	那所以呢這個過程你可以想像如果他經過啊
247540	253580	後期啊然後分裂成兩顆細胞之後兩顆細胞的染色體就會有不一樣的數目我們英文叫做any point
253860	258140	中文翻譯叫做我確可一下他叫做啊非整備體也是蠻奇怪的啊
258740	262900	好那這是一個問題那非整備體有些問題比如說哎你看到我
263900	271940	的染色體如果越多的話他可能就可以表達更多東西那染色體多了一個或少一個那是不是有些蛋白質就沒辦法或是有會
272500	279300	一個會變多或是變少那就會造成一些問題啊最近這幾年也是有人探討這個問題就是所謂的homeostasis的問題
280420	285420	好另外一個問題呢像我是紅色的label起來的那個染色體呢其實這個問題更嚴重
286060	289660	這個情況呢這個著實點呢會連結兩個不同的機啊
289740	295620	by the way 說這個著實點呢不是只有一對一的對應因為著實點上面有好多好幾百個蛋白質
295900	302900	那他也好幾好幾十個啊東西的那個蛋白質呢可以跟防水師進行交互作用所以有些
303340	306820	著實點蛋白質有些可能會連到另外一邊的防水師有些會連到左邊
307460	308620	左邊的防水師這樣子
309380	313260	好那這個防水師呢如果連結連成這個紅色的情況之後呢
313580	320980	那在分裂的過程中你可以想像因為防水是通常會有拉力去拉就是這個兩個染色體讓他分開
321500	326820	那如果這個紅色的沒有被消除的話換句話說如果air question沒有做得很好的話
327460	331100	那這個紅色的染色體就沒辦法正常的跑到
332100	336380	跑到這個極旁邊然後變成被incorporate到一個褐膜裡面去
336620	339820	所以這個時候我們就叫他是一個lagging chromosome因為他跑得比較慢
340700	343700	好這個lagging chromosome會有什麼特點呢啊其實很多人最近
343980	346180	這十年有非常多人在study這個問題
346500	353180	因為這個lagging chromosome呢他沒辦法進入主要的褐膜裡面所以細胞會自動產生一個小褐膜在
353420	355220	他身邊我們叫他micronucleic
356220	361300	這個micronucleic如果你真的去看他的一些生化性質啊或是細胞學的性質你會發現說他
361540	364180	概念上他其實非常的
364420	366900	他跟原本的褐膜不太一樣他有點
367140	368180	蠻多洞的這樣講好了
368460	369980	那他非常
370220	374020	他很多洞的意思就是說很多細胞內的很多酵素啊或這些訊息
374260	377580	因此呢會可以跑到這個褐膜裡面然後去降解這個蛋白質
377820	381140	這其實是一個非常典型的我們細胞內部自己的免疫反應
381420	384220	就是想辦法如果遇到這個問題呢我們想辦法把這個
386020	387780	你也知道嗎就是我們細胞可能會有一些
388020	391860	因為通常如果看到細胞膜裡面看到在細胞子裡面如果看到一些
392100	392860	雙股的
393380	396980	DNA的話那我們都會認為說他可能是一些病毒
397220	399780	那所以我們細胞會有一些反應會想辦法切到這些
400020	401300	不正常的雙股DNA
401560	403860	所以理論上這個細胞是會被清掉的
404620	409500	但是如果這細胞如果活下來的話那些被切掉的染色體有可能會進行重組
410020	412820	那就會有發生很多的突變
413460	419300	所以呢這個領域的裡面的人覺得說如果這個細胞活下來了那就會有嚴重的突變
419540	424100	那癌症細胞是不是就會藉由這個方式去增加他的遺傳多樣性
424620	427380	這是領域目前的一個很大的一個課題
428660	431740	好那這裡呢我先講一下細胞分裂的一些經典的問題
432500	433000	第一點
434780	437100	染色體的不穩定性怎麼影響癌症的發生
437620	443380	我上一章實話有說就是染色體不穩定性的可以讓一些染色體重組
443620	446540	那可以促進腫瘤細胞的一些遺傳多樣性
446780	449340	那聽起來好像染色體不穩定性來講是好的囉
449860	452420	但是我們又發現說其實不是我們就是
453180	458060	研究領域就又發現說如果你的染色體過度不穩定呢結果反而會引
458540	463660	就會導致一些細胞療養的訊號就癌症細胞反而沒辦法增加他遺傳多樣性因為他都死光了
464260	468700	好所以這個領域開始慢慢的出現一些想法就是說是不是有所謂的
469500	471460	就是阿基里斯的後腳跟一樣
471780	479900	就是癌症細胞可以藉由CIN去增加他遺傳多樣性但是如果你給他太多CIN反而癌症細胞就活得不是那麼的開心
480220	481900	那這樣是不是告訴我們一些
482660	484620	potential的一個strategy
484940	486660	如果我們可以把整個
488020	491940	就是讓細胞變得非常的那個染色體變得非常不穩定的話
492260	493460	那是不是有機會
494220	502660	可以想辦法去殺死這些癌症呢那舉個很典型的例子比如說子三醇好了我們現在比較知道這是一個化療的一個用藥
503180	508860	子三醇呢他細胞生物學家覺得說他可能會造成這些所謂的一堆
510740	513460	染色體的分裂的問題所以會產生一些染色體不穩定性
513980	516740	當然這是細胞學家目前的想法所以不過那
517300	522900	真實與否還有需要很多假說去驗證不過我先大概就是跟各位講一下想法大概是這樣
523860	527700	第二個問題是說那癌症細胞如何產生不穩定的染色體呢
528740	533340	如果你看一下那個ACS或是AAC啊的那些website啊你會發現說那些
533580	537420	致癌基因啊或是腫瘤抑制基因就是oncogene跟tumor suppressor gene啊
537940	541740	其實好像都主要都不是在就是細胞分裂的過程
542500	545620	那如果他不是在細胞分裂過程那他怎麼樣
545880	546660	產生
546920	549220	細胞分裂的問題呢這點就
549480	550500	非常
551020	552800	所謂的paradoxical
554580	555860	好所以呢
556120	562260	我們的想法是說會不會除了基因之外呢有沒有其他的方式會誘導就是
562520	567580	染色體的不穩定性呢那我的博士後呢跟我接下來正在做的東西呢
567840	571940	主要都是在探討說力學是不是會影響染色體的不穩定性
573220	574780	如果你有問題可以隨時打斷我
575540	582660	好那先給一個overview就是說腫瘤的發生過程中會有很多力學上的變化那我這裡列出了四個可能的變化點
584160	588980	好我沒辦法講太多因為這是我正在做的東西但是我會想辦法連繞我過去做的東西
589240	593600	那腫瘤在比如說表皮細胞在癌化的過程之中呢其實他跟
593860	596180	他跟鄰居啊就是跟他隔壁的
596440	597180	細胞
597440	598460	接觸的
598720	600260	力會開始減小
601020	608140	然後呢他在腫瘤在附近也會開始所謂的累積一些所謂細胞間子所以那個腫瘤開始變硬
608660	612740	然後呢在細胞分裂的過程之中呢這個細胞也開始變硬
614040	619900	好這有很明對所以表皮細胞其實基本上有這三個很明顯的力學變化在腫瘤發生的過程
620420	625240	那除此之外呢比如說像肝臟細胞好了我們稍微換一下系統
625500	628660	肝臟細胞除了在腫瘤在腫瘤發生的過程中除了
628920	630460	細胞外面會變硬之外
630980	635100	他有時候很多肝臟細胞裡面還會累積一些油滴
635620	641720	啊這些油滴其實很明顯的就是比如說像脂肪肝的過程我們細胞肝裡面就會累積一些油滴嘛
642080	647800	對那我們就想說欸這幾個比如說細胞內外啊一些所謂的性質上的變化
648060	654600	是不是會造成一些整個細胞的力學上的改變進而造成不穩定的染色體
656360	661900	好那我要怎樣思考這個問題呢我用這個紐約客的雜誌封面來當作一個
662160	666240	當作一個類比好了就是我們知道說欸細胞分裂嘛我剛講的
666500	669320	很多就是比較跟普生有關的一個過程
669980	672860	那我們怎麼思考這個問題因為我們是雜誌細胞分裂的
674120	676640	我們視野就會跟這個紐約客一樣紐約客
677160	681880	這是四十年前的紐約啦四十五年前的紐約那紐約客的想法是這樣是說欸你看我
682280	685440	我住在蛋黃區那蛋黃區附近的很多
685700	689800	這些building啊很多賣一些甜點啊什麼食物的欸我當然就很了解
690060	694160	欸過了時間之後可能就是有點不是很了解又有點很了解的地方
694400	698500	然後再往遠一點經過那哈森river就是其他美國地方好像我也不是很care
698700	703560	那尤其是超過的pacific就是太平洋之後呢還有很多奇怪的國家
703820	704860	跟我life沒有什麼關係
705360	708700	那我不是說就是紐約客怎麼樣我意思是說
708960	711500	我們細胞生物學家也是這樣子嗎就是
711760	716120	我現在在study細胞分裂過程啊那我當然是很care染色體喔
716380	719960	跟染色體有關的比如說濁濕點啊那些東西
720460	722520	可能就很重要我可能就對他比較了解一點
722980	729120	這個spindle pole啊好像有點重要有點不是那麼重要那我好吧那我們姑且來study一下那像
730920	735520	比較遠的地方說不定我根本就不用去看他至少過去這幾年內
735780	737580	大家沒有那麼認真在看這件事情
738340	740900	其中原因是因為太遠了另外一個點是因為這個系統在
741920	746800	這前面這下面這一區呢已經夠複雜了你要再加上這些東西可能這系統也沒辦法去
747820	749360	你也沒辦法去得到一個很
749620	750380	conclusive的
750640	751920	的一些結果
752680	757540	但是現在技術的演進呢我們開始漸漸的知道說其實細胞外面的間值啊或是
758060	761380	細胞膜上力學如果造成改變的話其實染色體會出現異常
761640	764200	那這過程是怎麼樣的我們就
764460	766500	就是我接下來準備要探討的課題
767020	768040	那為了讓這個
768560	774700	細胞外面的力學呢或是膜上力學跟染色體有關係呢我特別想要包括在這個所謂的紡錘師
774700	777800	因為紡錘師本身的上面有很多蛋白質會產生力
778320	779820	紡錘師自己也會產生力
779940	785920	所以我們想說如果這邊產生力那是不是力會是一個很有趣的很有效率的一個系統可以讓
786180	789500	細胞內跟細胞外做一些溝通進而影響染色體的分裂
790280	790780	好
791300	797180	那好現在開始我要開始講我比較真正在study的課題了那開始英文的title
797440	799740	所以我想先介紹一下就是說所謂的
801540	802560	著實點啊
802820	805880	兩個著實點之間其實它之間是有所謂的張力的
806200	809740	那這個張力的我們叫interconnection它是一個很重要的訊號
810240	811260	這個訊號呢
811780	817920	可以告訴細胞說這個染色體到底是不是正確的align還是它align是一個
818180	818680	就是
818940	820220	以一個區塊方式來
821000	821760	所以呢
823040	824320	細胞
824580	830720	所以你就可以把它想像說就是染色體是一個類似彈簧的有一個類似彈簧在兩個在兩個著實點之間
831700	836560	那因為的紡錘是不是拉它所以它就如果它排得很好的話它就會拉得比較開
837580	838880	那如果是它
839120	840920	如果它沒有排好的話那因為它
841180	844740	比如說像這個好的紡錘師都在往同一邊搭那它可能就兩邊就會
845000	845780	靠的比較近
846040	848340	那這個靠的比較遠跟靠的比較近呢
848600	854740	或是這個力比較大呢或力比較小呢就可以告訴我們細胞說這個染色體是正確的排列還是錯誤的排列
855760	857300	那這同細胞知道說這個是
857560	858580	對的這是錯的呢
859000	862320	那接下來他就用一個系統其實有很多系統但
