start	end	text
0	2000	呃,都可以
2000	4000	你要重新再介紹嗎?還是
4000	6000	沒關係,不用不用
6000	8000	那就直接開始吧
8000	10000	OK,那就交給你
10000	12000	我希望網路等一下情況OK啦
12000	14000	萬一又斷話,那再跟我講一下
14000	16000	好,那現在
16000	18000	全螢幕的畫面是OK的嗎?
18000	20000	OK的
20000	22000	好,OK
22000	24000	那我就直接開始啦
24000	26000	也謝謝剛剛主持人偉哲的介紹
26000	28000	那我是來自海大化工系
28000	30000	博士班的潘浩仁
30000	32000	那今天要報告的主題
32000	34000	就是和我的一個研究有關係
34000	36000	它是有關
36000	38000	P4結晶製程最佳化的一個
38000	40000	高效能的演算法
40000	42000	好,那首先
42000	44000	在開始講今天的題目之前
44000	46000	我要先釐清一件事情
46000	48000	因為聽到結晶這兩個字
48000	50000	如果您是材料背景
50000	52000	或是您可能是化學背景的
52000	54000	同學
54000	56000	或者是學者的話
56000	58000	你可能會想說
58000	60000	那我可能要探討的是
60000	62000	比方金格排列的問題
62000	64000	比方一些morphology
64000	66000	比方說可能我會去想說要打SRD
66000	68000	之類的狀況
68000	70000	但是在我們
70000	72000	程序系統工程領域
72000	74000	也就是這個PSE的領域裡面
74000	76000	我們是泛指任何
76000	78000	從溶液裡面
78000	80000	得到固體的process
80000	82000	所以今天哪怕只是一個沉澱反應
82000	84000	我們也會把它廣義的稱為
84000	86000	crystallization
86000	88000	那在這樣的定義之下的話
88000	90000	這個crystallization
90000	92000	它會是一個分離和
92000	94000	純化的一個process
94000	96000	那它可以用這個連續的方式
96000	98000	也可以用batch的方式
98000	100000	來進行
100000	102000	那SRD是所謂的過飽和度
102000	104000	super saturation
104000	106000	那它可以用以下四種方式
106000	108000	來得到這個過飽和度
108000	110000	那今天的研究我們討論的是
110000	112000	batch的這個結晶製程
112000	114000	那batch的結晶製程
114000	116000	它大部分是拿來製造一些
116000	118000	高附加價值的這個化合物
118000	120000	比方說特用化學品
120000	122000	比方食品添加劑
122000	124000	比方這個
124000	126000	一些藥物之類的化合物
126000	128000	那
128000	130000	它相對於這個連續式來講
130000	132000	它的這個操作彈性比較大一些
132000	134000	它也可以處理一些
134000	136000	比較不好處理的系統
136000	138000	比方說可能今天有這個
138000	140000	毒化物
140000	142000	可能這個漿液
142000	144000	能度比較高
144000	146000	它都有機會可以來做處理
146000	148000	那結晶的話
148000	150000	它大致上會有兩個
150000	152000	最基本的這個mechanism
152000	154000	那就稱為nucleation
154000	156000	成合和crystal growth
156000	158000	長晶
158000	160000	那nucleation的意思就是這個
160000	162000	新的晶體生成
162000	164000	那它生成的時候
164000	166000	它的體積基本上是趨近於零的
166000	168000	那crystal growth
168000	170000	就是一個晶體已經存在在batch裡面
170000	172000	那它就因為會
172000	174000	消耗過飽和度它長得越來越大
174000	176000	這我們就稱為crystal growth
176000	178000	那這個
178000	180000	nucleation又可以被分為以下
180000	182000	幾種不同的mechanism
182000	184000	那第一種是homogeneous
184000	186000	primary nucleation
186000	188000	那它是一個熱力學的自發反應
188000	190000	它只有在這個過飽和度
190000	192000	比較高的時候它才可能會發生
192000	194000	那第二種是
194000	196000	所謂的heterogeneous primary nucleation
196000	198000	它是透過一些
198000	200000	就是不同的
200000	202000	particle
202000	204000	來誘導的
204000	206000	比方說它可能會透過一些粉層particle來做誘導
206000	208000	那第三種叫secondary nucleation
208000	210000	它的意思是指說
210000	212000	這個
212000	214000	nucleation的生成是在
214000	216000	現有晶體的這個表面
216000	218000	那比方說在batch裡面這晶體可能會互相碰撞
218000	220000	它就有一些這個磨損
220000	222000	那磨損下來的這些洩洩
222000	224000	它的體積基本上就趨近於零
224000	226000	那我們就把它
226000	228000	定義為一種nucleation
230000	232000	所以今天舉個例子
232000	234000	如果今天有一個這個batch
234000	236000	它一開始是沒有任何的晶體在裡面的話
236000	238000	那在這個batch的早期
238000	240000	因為要從
240000	242000	把晶體從無中生有
242000	244000	所以它會主要是primary nucleation
