start	end	text
0	5000	我先跟大家共享一下我的螢幕
5000	8000	這個是我今天要跟大家報告的一個題目
8000	12000	就是早期的西方傳教士他們的華語學習
12000	17000	對於近代中國語言及文化方面發展的一個影響
17000	20000	首先這個題目是一個很新的題目
20000	22000	這個題目的主題是
22000	29000	「西方傳教士的華語學習對近代中國文化發展的影響」
29000	36000	其實它是我過去幾年研究華語教學史的一個心得
36000	38000	因為它是第一次的發表
38000	42000	所以大概其中還有一些證據不足
42000	45000	或者是有些論點發揮得還不夠成熟的地方
45000	49000	所以我就要請大家等一下多多給我一些回饋
49000	55000	或者是也歡迎會後跟我聯絡討論
55000	57000	所以謝謝大家
57000	60000	另外我要先謝謝我的指導教授
60000	64000	因為這個題目的發想大概跟他的帶領有關
64000	66000	就是信世昌教授
66000	71000	還有就是我華語教學史課程的指導老師顧白禮老師
71000	74000	這個整個題目還有一些內容
74000	77000	也是這個老師跟老師切磋的結果
77000	83000	我們現在就先進入我的整個結構
84000	88000	我今天報告的主題大概分為三個部分
88000	90000	第一個是前言
90000	92000	第二個就是主要的部分
92000	94000	討論傳教士在華語學習上面
94000	99000	他怎麼樣反向地去影響到本國語言文化的影響
99000	101000	我大概分六點來討論
101000	103000	第三個部分就是結論
103000	106000	在開題這個部分我想先跟大家解釋的
106000	108000	就是關於傳教士
108000	110000	就是近代中國這幾百年來
110000	114000	傳教士對中國的影響的討論其實是很多的
114000	117000	但是我們這個題目是我們集中在
117000	120000	傳教士來華他學習華語
120000	124000	所發展出來的一些想法
124000	126000	或者是他的學習的歷程
126000	128000	或者是他發展的一些教材
128000	132000	這些東西是怎麼樣去影響到近代中國的
132000	134000	所以我們不會去討論到
134000	136000	怎麼在科學上面的影響
136000	140000	也不會討論到他們在什麼繪畫建築上的影響
140000	144000	我們大概會集中在語言學習上的影響
144000	147000	那我們現在首先來先認識一下
147000	150000	就是傳教士是怎麼樣進入中國的
150000	156000	實際上在許多世界的各個民族的交融之中
156000	160000	其實宗教的傳播是非常持久的
160000	162000	非常久遠的而且影響很大的
162000	166000	中國在對外的宗教的交流上
166000	168000	最早的當然就是佛教的文化
168000	171000	其實佛教文化對中國產生什麼影響
171000	174000	就是當時在魏晉南北朝
174000	179000	大量的佛教與梵語的交流
179000	183000	其實就刺激了中國語音學的發展
183000	187000	所以我們中國的語音學的四聲之說
187000	189000	就發現中國語音的一個特色
189000	190000	就是我們具有聲調
190000	194000	其實是受到梵語學習者的影響
194000	196000	發現中國語音的一個特色
196000	199000	所以才有了南北朝時期
