start	end	text
0	5000	歡迎大家來到今天的Terra Talk
5000	10000	那我們今天很高興歡迎到王冠中博士
10000	16000	那他是2010年從台大電機系畢業
16000	22000	然後在光電所2021年從光電所畢業拿到了Master Degree
22000	24000	然後他在Master Degree的時候呢
24000	27000	做的工作是比較屬於Coding
27000	32000	然後是發展這個Indian Ghanaian Asimov
32000	37000	量子點礦能道德的Non-Equilibrium Screening Function
37000	39000	就是NEGF這個也是在他的Title裡面
39000	43000	那如果大家不知道NEGF是什麼的話呢
43000	45000	待會他會跟大家解釋
45000	48000	然後他在2014年到2020年的時候
48000	56000	他到了普渡大學就是在Indiana的電機系工讀博士學位
56000	62000	然後他在那邊主要的工作是做Quantum Transport Method
62000	65000	就是量子傳輸系統的方法
65000	70000	然後主要的Focus是在這個奈米結構
70000	73000	還有他量子傳輸方法的應用
73000	78000	那目前呢他是在Intel的TCAP Team工作
78000	81000	那我們就歡迎王冠中博士
85000	87000	可以開始Share
87000	89000	讓我那個Share我的Screen
89000	90000	大家有看到我的Screen嗎
95000	97000	有可是沒有看到Slide
97000	98000	OK
98000	99000	現在有看到Slide了嗎
99000	100000	有有有
100000	103000	那我們這個Tyra的傳統還是來做一下
103000	105000	就是請大家打開麥克風
105000	109000	然後我們用鼓掌的方式歡迎一下王冠中博士
114000	115000	大家好
115000	118000	然後我可能就是之後會
118000	120000	接下來幾個Slide會用英文講
120000	122000	就是因為之前都是
122000	125000	就是那個Technical Term可能會切換來切換去的
125000	127000	然後我在這次大概的Target Audience
127000	130000	可能就是如果大家可能對這個領域
130000	132000	然後想要轉進來
132000	134000	不管是你是想要申請博班
134000	138000	或是你想要就是對於這邊有些了解
138000	140000	或是想要用這方面的Tool的話
140000	143000	就是可以就是感覺我的Target Audience是那樣
143000	145000	所以就是對
145000	148000	然後如果有任何問題的話都可以就是寄Email給我
148000	150000	然後這些Work的話
150000	153000	最主要的話就是我在Purdue念博班的時候做的
153000	155000	然後裡面的Funding的Source
155000	157000	可能是什麼NSF啊
157000	158000	然後NCSA
158000	164000	然後另外我領取那個教育部的尖端獎學金的支持
164000	166000	所以說也是這邊Acknowledge一下
166000	168000	然後另外還有跟Celvaco合作啊
168000	174000	然後這個Work也是Purdue的那個Supercomputer的
174000	177000	就是我們叫RCAC
177000	181000	然後在上面所運算出來的結果
182000	185000	我的題目今天是Optoelectronic Simulation
185000	189000	然後我會從Semi-classical到Quantum Transport
189000	192000	不同的角度
192000	194000	然後這裡是我的Outline
194000	196000	然後我會先說一下Motivation
196000	198000	然後是用什麼方法
198000	200000	然後我會給大家看一些結果
200000	205000	然後我會先說一下Semi-classical的方法
205000	207000	這裡有個錯誤的標籤
207000	209000	然後我會說一下NEGF
209000	211000	還有什麼是Biodegradable Probe
211000	214000	還有包括不同的過程的困難
214000	216000	還有製造過程的組合和發展
216000	217000	在NEGF裡面
217000	218000	我們怎麼做
218000	220000	然後我會給大家看一些結果
220000	222000	首先我會說一下
222000	225000	包括這些過程的重要性
225000	227000	然後我會做一個比較
227000	231000	如果我們用Semi-classical的方式去做Simulation
231000	234000	或者是用Quantum Transport的方式去做
234000	236000	那有什麼差別
236000	238000	然後做一個總結
238000	243000	所以我們為什麼要做這個項目
243000	246000	是因為我們目前所達到的
246000	247000	是人類
247000	249000	因為我們有太陽能
249000	251000	也能從太陽中獲得能量
251000	252000	同時我們也能夠
252000	254000	透過燈光燃燒
254000	255000	透過燈光燃燒的食物
255000	258000	這是一個非常有效的方法
258000	264000	從電力轉移到燈光
264000	266000	為了推動更多的界限
266000	269000	我們需要研究
269000	271000	還有什麼新的材料
271000	274000	還有什麼新的結構
274000	275000	我們能夠改善
275000	277000	我們目前的效率
277000	278000	例如
278000	281000	為了改善LED的效率
281000	284000	我們有這些Quantum Well
284000	285000	你可以看到
285000	287000	當我們有Quantum Well
287000	289000	運輸器會想要
289000	290000	留在那裡更久
290000	292000	因此增加了
292000	295000	在中光下重組的機會
295000	297000	我們也在研究
297000	300000	新的材料
300000	301000	例如
301000	304000	不同的印度結構
304000	306000	或是一些2D材料
306000	308000	我們在研究這些
308000	312000	當我們在使用
312000	313000	這些新的材料
313000	314000	新的結構
314000	317000	當中有很多的Quantum效果
317000	319000	因此
319000	322000	我們知道
322000	324000	不平衡的Green's Function
324000	325000	這個方法
325000	327000	用Green's Function來解決
327000	329000	Schrodinger的方法
329000	330000	是一個很受歡迎的方法
330000	332000	所以我要說說
332000	334000	為什麼我們需要NEGF
336000	337000	所以
337000	339000	什麼是Optoelectronics
339000	342000	我認為最好的方法
342000	344000	去理解Optoelectronics
344000	346000	它只是我們在學校
346000	348000	學習的簡單的Pn-Diode
348000	350000	它通常是一個
350000	351000	雙方的機器
351000	352000	雙方的意思是
352000	353000	有鋰電池
353000	355000	有孔
355000	356000	還有
356000	358000	它們的運輸器
358000	360000	它們有不同的平衡
360000	362000	例如鋰電池
362000	364000	它們通常是分開來的
364000	366000	因此我們使用半導體
366000	368000	所以當我們有鋰電池
368000	370000	我們會分開運輸器
370000	371000	分成兩種
371000	373000	鋰電池是由
373000	375000	源頭
375000	377000	一個接觸
377000	378000	我們在這裡輸入鋰電池
378000	380000	另一個是孔
380000	381000	當它們看到彼此
381000	383000	有些有趣的事情
383000	385000	可以發生
385000	387000	它們有不同的過程
387000	389000	例如有鋰電池和孔
389000	390000	鋰電池和孔
390000	391000	它們可以複合
391000	392000	當它們複合
392000	394000	它們可以輸入鋰電池
394000	395000	也就是熱
395000	397000	這是一個浪費的能量
397000	399000	當它們複合
399000	401000	通過漏洞
401000	403000	熱能被輸入
403000	404000	沒有任何收穫
404000	405000	雖然熱能被輸入
405000	407000	但不太好
407000	408000	還有一個
408000	410000	雷電的複合
410000	411000	當雷電和孔
411000	412000	看到彼此
412000	413000	它們可以複合
413000	415000	因此它們可以輸入
415000	416000	像是一顆飛燈
416000	417000	我們可以看到燈光
417000	418000	然後
418000	420000	然後
420000	422000	通常發生的速度
422000	424000	因為
424000	426000	例如第一個
426000	428000	它們需要通過
428000	430000	一個漏洞
430000	432000	它們的比例
432000	434000	相等於
434000	435000	N型或P型
435000	436000	因為它們可以
436000	437000	一顆飛燈
437000	439000	可以通過這個漏洞
439000	440000	等待另一個人
440000	442000	來複合
442000	443000	因此它們的比例
443000	445000	相等於
445000	447000	一顆飛燈
447000	448000	一顆雷電
448000	450000	或整個集中在這裡
450000	452000	但雷電複合
452000	455000	它們需要
455000	457000	比例相等於
457000	459000	它們的比例
459000	460000	因此
460000	461000	它們需要
