start	end	text
0	13320	整理&字幕小組 歡迎來到9月18日的台話TALK,我是今天的主持人,洪世安。
13320	25600	我們今天非常開心地邀請到Sky in the World喜劇系科學團體,來跟大家分享一下科學傳播的精神。
26560	41600	喜劇系科學跟泰瑞亞一樣,是由一群博士生或博士後組成的,他們一樣希望推廣科學的概念。
41680	52420	他們跟泰瑞亞比較不同的地方是,他們是面向大眾,會分享一些科學角度之中的生活,
53380	62160	他們會分享一些研究生的點點滴滴。我個人其實有聽過幾次他們的podcast,
62660	70980	我覺得他們講的都非常貼近研究生的生活,會讓你心中有所感觸的一些事情。
71600	77600	我非常推薦大家去聽他們的podcast,他們另外也有經營Clubhouse。
80100	87100	話不多說,我們就趕快進入今天的主題,就是科學傳播的精神。
90260	93260	Wallace,我們現在就交給你了嗎?
93260	94260	好的,可以。
100260	109260	所以,我現在要分享螢幕給大家,我們每個人都有準備一些投影片,讓我知道你們是不是可以看見。
110260	121260	好的,謝謝施安的介紹,我是喜劇系科學的編輯之一,我是牆編。
122260	133260	今天很高興有這個機會和大家談一談科學傳播,看到今天這個標題,庶民復興科學傳播精神,
133260	141260	大家可能會有一個疑問,科學傳播和科普有什麼不一樣,那為什麼需要庶民來復興呢?
142260	149260	讓我們在接下來的一個小時和大家分享一些想法,歡迎大家一起交流意見。
150260	156260	首先,我先自我介紹一下,嗯,好,他不能下一頁,好,來了。
156260	185260	OK,我是劉雨如,是Sky的Sky in the world的創始編輯,呃,我的綽號叫牆,所以也可以叫我牆邊,那我的英文名字叫Wallace,很長很多名字,我知道,好,那Sky in the world這個project呢,從2006年的podcast和blog開始,有點像是我個人的一個東西,所以最初只有我一個人,那我到英國去念書念博班,然後開始忙著寫論文之後,這個東西就是荒廢了有點久。
186260	214260	然後一直到了2019年的時候,我回臺灣,然後參加科技部的海外人才橋接計劃的這個叫做lift,那認識了很多超級酷的海外臺人,包括小雞斗斗C邊等等,呃,阿當也是,那最重要的是呢,我找到了這一群朋友,那他們就是我們願意來發揮影響力,為臺灣做一點事情,那一起重新開張Sky in the world這個podcast。
