start	end	text
0	24000	大家來到今天的Terra Talk,今天我們非常榮幸可以請到廖瑩博士來跟我們講她的研究,今天的演講題目是Mission ACE,ACE是一個acronym,Apophis Close Encounter,那在開始之前呢,先讓我來簡短介紹一下廖瑩博士。
24000	37000	廖瑩博士畢業於瑞士博恩大學,專長是太空與行星科學,目前仍在清大教授通識課程-太空探索,理論與實作。
38000	49000	我們的傳統是把大家mute,讓演講的聲音進行比較順利,但是在開始之前請大家unmute自己,這樣講者才能聽到我們的掌聲。
49000	53000	讓我們用熱烈的掌聲來歡迎今天的講者。
79000	101000	廖瑩博士畢業於瑞士大學,專長是太空與行星科學,理論與實作。
102000	112000	我後來在澳門科技大學做了兩年PostDoc,後來就COVID-19。
113000	120000	我從去年開始在清大當兼任教授通識課程。
122000	134000	通識是可以自己設計的課程,我自己創立了一門課程叫做Base Exploration Theory and Practice,是用英文授課的。
134000	142000	因為清大沒有太空與行星科學有關的課程,所以我想說這是一個不錯的切入點。
143000	159000	我的研究興趣主要在太陽系小天體,就是彗星,Comet,Asteroid,小行星,和最近的興趣就是Space Mission Design,就是太空任務設計。
160000	172000	我2019年參加太空中心每兩年會辦一次比賽叫做Cubesat Mission Design Contest,就是立方衛星任務設計。
174000	185000	我本來就對太空任務設計蠻有興趣的,反正我2019年初看到太空中心辦這個比賽,我想說來參加看看。
186000	196000	我後來找到兩個隊友被我拖下水,然後我們就一起設計了一個任務。
197000	203000	是蠻幸運的,可能我們題目比較特殊,反正我們那一年就得了第一名。
204000	215000	我從那時候開始就繼續做跟Space Mission Design有關的研究,但是也不能說是很嚴謹的研究。
216000	229000	像今天我講的這個主要還是一個提案,就是今天的題目。我取名叫Ace的Apophis Close Encounter,它其實還是一個很初步的提案。
230000	250000	如果大家知道太空任務設計,如果大家有一點點了解的話,太空任務都是很複雜、很龐大,需要很多人力、很多時間去做各種不同的事情。
251000	269000	我等一下會稍微解釋一下。總之,這是我們團隊提出的一個提案,這是針對一個比較國際性的太空任務設計比賽,叫Mission Idea Contest。
270000	278000	我們是針對這個比賽提出的提案,但是我們沒有得名。我們已經進入決賽了,但是沒有得名。
279000	294000	我想先簡介一下這個Mission Idea Contest,簡稱MIC,它就是一個國際性的太空任務設計比賽。
300000	324000	它主辦的是一個叫Unisec的機構,University Space Engineering Consortium,它是一個非營利組織,基本上就是全世界各地只要有跟太空工程或科學相關的大學系所合作創立的。
325000	336000	每個國家都會設立一個叫Local Chapter,台灣的Local Chapter在成大,成大的莊智欽教授在負責。
337000	346000	這個比賽基本上是每年一次,除了2020年,大家都知道當年發生了什麼事情,所以他們就延期了。
347000	360000	這個比賽有三個階段,第一階段就是評審審完摘要之後,覺得還OK,然後進入下一個階段。
360000	385000	下一個階段就是評審審完摘要之後,覺得還OK,然後進入下一個階段。
385000	404000	評審基本上都是教授,都是那些學校的教授。有時候他們會請一、兩個公司的負責人,就是太空產業的公司負責人。
405000	416000	我們那一年主辦的是東大,所以很多評審教授都是東大的老師。他們的評審非常嚴謹,這個比賽我還蠻推薦的。
416000	436000	2019年的題目就是在國際太空站設計實驗。2020年和2021年本來要延期一年。
436000	453000	這是我們去年參加的,就是深空任務設計。其實深空的定義就是,你只要是跨越球之外的地方都是深空。
453000	474000	不過他們那一年也把月球的任務算成深空,所以你設計一個去月球的太空船其實也可以。今年和明年就是又回到地球,以地球軌道為主的任務設計,然後是6U的立方位型設計。
475000	491000	這項任務的定義叫做Constellation,就是你一次發射很多顆星上去,然後它們會有不同的位置,有點像GPS衛星的概念。
492000	504000	如果您對太空任務設計有興趣的話,可以到他們的網站。他們的網站做得非常完整。
505000	516000	因為深空任務設計是一項非常困難的項目,所以他們還找了許多東大教授來討論。
516000	529000	每個人針對深空任務設計的其中一個項目討論,然後他們就錄影放上去,然後也會放一些PDF之類的,然後你就可以自己去參考。
530000	538000	我想先簡介一下跟太空任務設計有關的背景知識。
538000	548000	第一個當然就是先了解一下太空船,因為太空船基本上就是太空任務的靈魂。
549000	559000	不好意思,因為我不太習慣用中文講這個,我通常都是用英文來講,所以我可能會講比較慢或是有一些停頓。
560000	570000	這是一個最簡潔有力的太空船或是衛星的圖。
571000	577000	太空船基本上就是一個衛星或是一個太空船必須擁有的功能。
580000	597000	像是態度控制,就是它的姿態,我們說這是姿態的控制,然後能量就是能源或是電力,然後內部要有一個電腦去控制和收發命令,
597000	602000	然後還有下指令給其他的刺系統。
602000	612000	再來是通訊,就是通訊,然後身體,就是說它當然要有一個身體的架構去支撐其他部位,其他的刺系統。
612000	618000	然後再來就是它有一個軌道,對,太空船或衛星它們會有一個特定的軌道。
619000	636000	然後可以把這個衛星或太空船跟人做一個連接比喻的話,像是電腦的話,就像我們的大腦,對,我們大腦就是接收處理,然後還有發佈各種指令。
636000	665000	然後我們也有一個身體,就是我們身體就是,呃,像身體就是承載的頭,然後還有我們的四肢跟然後身體裡面有器官這樣,對,然後通訊就像是我們的,就是我現在講話或者是我們一些手勢或是眼神,這個就是通訊一部分,對,然後跑完,對,我們就我們要吃東西嗎?所以就跟衛星也是一樣,就是他們需要能源需要電力才可以運作。
667000	687000	OK,然後呃,當然用人還是比較粗略的比喻啊,就是其實比較呃,真的比較正確的比喻應該是用一個,就是我從一個教科書抓下來,對,它叫understanding space,然後它它是用一個bus來做比喻,對,然後那就是這樣會比較清楚。
687000	716960	然後我現在就是會一呃,一二三四五有六個主要的功能,或者說我們次或是說叫次系統,然後我現在會稍微解釋一下,對,像第一個就是呃,就是叫就是那個body的部分,就是身體的部分,其實就是叫bus,對,啊,在英文在英文的話,就是我們我們都會叫bus,然後這個就是呃,太空船或是衛星的身體,就是在這邊八點。
717780	731320	一個呃,它就是一個支持支撐的系統,對不對?然後如果像以那個立方衛星來講,立方衛星其實就是地方是長相一個盒子一樣。
731320	761300	就是因為它是說cube嘛,cube就是一個呃,就是一個立方體,然後它的基本單位就是呃,10公分乘10公分乘10公分,這個我們叫一個unit,對,那這個就是這樣子是10乘10乘10公分的一個cube,它就是,然後它其實就是如果你去google的話,你會看到它的那個structure,就是它的bus基本上就是一個鐵架,對,就是一個鐵架的那個cube。
761320	791300	然後你再去用這個,就有點像積木,然後你可以去用這個呃,根據這個structure去expand,對,然後你可以有不同的組合,然後不同的那個尺寸,對,然後下一個是這個叫,嗯,我這邊是給簡寫啊,對,就是cndh,就是command and data handling,呃,中文就是指令吧,指指令。
791320	821300	呃,處理跟接受,對,然後com就是communication,就是通訊,對,那就是像這邊,像像school bus的話,它會有呃,喇叭呀,然後radio,然後還有司機嘛,司機就是讓司機負責開車,就是它就是呃,處理跟接受指定的地方,就是它就是command and data handling,對,然後像其他的喇叭,那些就是communication,然後再來是,嗯,
821560	850060	剛剛有提到一個叫attitude control的,就是姿態控制,那就是像車子的話,你有方向盤,方向盤在控制方向,那太空船的話,就是還有其他的一些儀器可以幫助太空船控制方向,對,然後這個我們合稱就是aocs,attitude and orbit control system,對,然後再來就是,當然就是電力跟能源,就是battery and electric power,對,那這個這個簡稱eps,electric power system。
850060	880040	然後再來是這個比較大的叫,這個有兩個通常兩個名稱啦,這個這邊,日本這邊是用這個eclss,它就是environmental control life support,它就是指太空船的環境跟就是你要維持太空船的運作的這個system,那其實就是基本上就是,呃,溫度,就講直白一點,就是溫度,
880060	910040	跟熱的控制,對,因為我們知道就是因為像衛星或太空船,他們都他們都是就有一堆電子零件嘛,就儀器啊,電子零件,那這些儀器需要在一個特定適當的溫度才可以運作啊,像譬如說,你可能太冷或是太熱,他可能就掛了,那這個就是這個溫度控制對太空船來說就是很重要,對太空船的正常運作來說就是很重要,對,那所以這有另外的名字,就我們比較常用這個叫tcs,就是thermal control,
910060	911040	然後再來就是讓還有一個很重要,就是推進,我們說呃,推進系統propulsion,propulsion就是,呃,如果是用公車比喻school bus比喻的話,就是像他的引擎的車子引擎跟那個drive train,對,那這個,然後以如果是以太空船或衛星的話,就是基本上就是一個也是一個引擎,但是是一個噴,他可能是個噴氣的系統,對,他是個燃燒燃料,然後噴氣的系統,對,那這個,然後以如果是以太空船或衛星的話,就是基本上就是一個也是一個引擎,但是是一個噴,他可能是個噴氣的系統,對,他是個燃燒燃料,然後噴氣的系統,對,那這個,然後以如果是以太空船或衛星的話
941060	964060	就是propulsion,然後最後一個其實是最重要的,他就是payload,就是仇在,對,那仇在仇在他就是基本上就是儀器啊,對,然後是,呃,通常通常是科學儀器,就例如說最簡單,最常見的就是相機,就是呃,例如說很多位,很多
964060	993060	球,軌道上面搖側衛星,他們就是有機嘛,然後就是每天定時間在拍照,對,嗯,那是一個payload,然後或者是如果你想問度的話,你可以裝那個ir spectrometer,就是紅外光譜儀,對,或者是,呃,呃,或是或是或是其他波段光譜儀,就是根據你的科學目標去
994060	1023060	決定你要哪些儀器,這樣才可以得到你要的目標,對,然後payload就是其實payload是spacecraft的,就是spacecraft是space mission的靈魂,然後payload又是spacecraft的靈魂,對,就是因為你的呃,payload就是根據你的目標決定嘛,就是,所以就是你要做什麼科學,你先決定好,你才能去決定你的payload,對,然後payload又會去,你選好payload之後,你才會去根據payload去決定剩下這些東西,例如說
1024060	1053060	你的電力,對,因為因為payload當然就是需要他需要一定的電壓,電流,才能工作,然後還有還有工旅,對,你就要根據這個去決定你,譬如說你的電力要怎麼分配,然後還有就是,然後還有就是你的那個嗯,command data handling,對,然後還有錯,呃,然後你的目、然後因為你的payload又是你的目,就是它是觀測你的目標,所以你的目標又會決定你的軌道,然後軌道決定你的就是
1053060	1082060	就是那個姿態與軌道控制,對,然後還有通訊,例如說如果你要去呃,去去到比月球,就是我們說的deep space,就是超過月球以外的地方的話,那你的通訊可能是一個很重要的關鍵,對,因為就是你太,我們說太太太deep space的話,這個就是你的那個天線,你你可能需要一個很大的天線,你才可以把你要的把你觀測到的data傳回地球,或是從地球接收指令
1082060	1100060	對,諸如此類,OK,所以這個是,呃,最簡單的,就是我就是先給大家一個概念,就是最,就是最簡單的一個spacecraft design,對,那如果你們呃,有對太空歷史有點了解的話,這個是
