start	end	text
0	7800	那歡迎大家來到這個 Taira Talk
7800	10200	那這個 Taira 全銜呢是
10200	13300	Taiwanese Young Researchers Association
13300	18400	那這是一個屬於台灣年輕研究者的場域
18400	23100	那我們每週呢幾乎每週都會固定舉辦這個 Taira Talk
23100	26300	那這個演講的形式呢內容非常的自由
26300	30200	然後也包含的領域非常的多元
30200	33600	那我們希望就是台灣的學術研究者呢
33600	35500	可以根據自己的職涯階段
35500	37700	然後根據不同的需求
37700	40900	來在這個線上分享自己的演講
40900	44700	或是練習任何你想要練習的東西
44700	48200	那今天的演講
48200	53800	OK sorry 讓我來暫停這個輪播
53800	61300	先讓它不要 autoplay 謝謝
61300	66000	OK
66000	71800	好 那我們下兩週的主題呢會是
71800	75400	就是7月2號跟7月9號呢
75400	79400	都是比較偏向就是天文方面的主題
79400	85400	那7月2號呢是由中央大學的一位博後叫廖瑩
85400	90600	他會分享比較像是planetary science的題目
90600	95200	然後7月9號呢是由Colorado Boulder
95200	99300	University of Colorado Boulder的一位博士生叫練川平
99300	103000	他會分享關於這個高層大氣風場的估計
103000	111200	那這個是比較就是Aerospace and Mechanical Engineering方面的東西
111200	118400	那今天呢我們很高興邀請到就是香港大學
118400	119300	目前在香港大學
119300	124100	然後2022年將會回到台大任教的汪舒華教授
124100	130800	那汪老師呢他的研究興趣呢是Private Immigration
130900	133300	Children and Family Well-Being
133300	139000	這些呢他都會應該都會在今天的演講裡面cover到
139000	145500	那他今天會演講的題目呢會是
145500	151900	Social Safety Net Feature in East Asia
151900	154600	那Giulia你可以分享你的螢幕了
154600	160800	讓我來先關掉我的sharing
160800	161200	Sorry
166700	168200	好現在看得清楚嗎
170900	171300	可以
172300	174100	聽得到我的孩子在哭嗎
176300	177600	目前聽得到
177600	179300	那就好那就好
179300	180400	好
180400	181800	那我就開始了嗎
182800	187800	好那就大家請以掌聲就是Taira的一個小小的傳統
187800	189100	就是大家請打開麥克風
189100	191400	然後以掌聲歡迎我們的演講者Giulia
194400	194900	謝謝
197700	202200	謝謝Beta邀請我來這裡跟大家分享研究
202200	205300	對然後也謝謝他很仔細的那個介紹
205300	207500	很用心的介紹
207500	211300	所以我今天主要是在講這個就是社會福利的一個網絡
211900	217100	它在這東亞的幾個地方的一些特徵
217100	221700	然後我們會cover在在COVID這個pandemic之前
221700	224700	和之後的一些狀況
224700	225200	OK
226800	229100	那我在想今天在座的各位
229100	231900	可能對於那個就是社會福利這一塊
231900	234800	可能不太有過去的一些知識
234800	239300	那我大概簡單介紹一下就是社會福利而言呢
239300	242100	就是可以算是分個三個大領域
242100	244400	就是包括社會保險
244400	246900	社會救助還有福利服務
246900	250500	那社會保險就像是在我們的人生之中
250500	252300	可能會有很多的風險
252300	254400	那所以說是用保險的方式來處理
254400	257800	就是有很多的國家是用保險的方式在處理
257800	261000	但也有很多國家沒有做類似的保險措施
261000	261900	那在臺灣的話
261900	263500	我們知道的像勞保啊
263500	264500	國民年金啊
264500	266500	或公務人員保險這些pensions
266500	269100	就是一個社會保險的系統
269100	272500	那就業保險裡面也包含了這些失業的保障
272500	273000	這樣子
273000	276900	好像我們的全民健保也是一個社會保險的一種特質
276900	279600	就是我們需要我們需要contribute
279600	282300	然後未來才能夠受惠
282300	284800	那另外一部分有叫社會救助
284800	285800	那社會救助的話
285800	290100	就是像有些時候就是每個人可能都會有風險
290100	292500	會譬如說變得很窮啊
292500	293300	失業之後
293300	295800	那如果說你的工作沒有讓你有投保
295800	297000	就會保險的話
297000	300900	那如果說你就是家裡遭逢一些變故
300900	302300	那可能會需要社會救助
302300	303200	包括低收入戶
303200	304300	中低收入戶啊
304300	306200	然後在美國也有food stamp
306200	308500	就是其實他們現在叫snap
308500	311700	就是有這個就是食物相關的救助措施
311700	313800	那像housing assistance在美國
313800	317100	像section 8是用housing voucher的方式來幫助人
317100	318300	也有public housing
318300	320200	那在臺灣有社會住宅
320200	323000	或者是一些租金補貼
323000	326600	然後另外也有一些就是關於你送小孩
326600	328300	去托嬰啊
328300	329900	或者是就學
329900	332800	如果說一些家庭他沒有辦法負擔的話
332800	335800	也會有一些教育的救助措施
335800	337800	那在這個社會救助之外呢
337800	340300	就還有這個福利服務
340300	341300	那福利服務的話
341300	345300	就是例如說像是兒童虐待發生
345300	348000	或者是老年照顧等等
348000	349800	會需要一些
349800	352800	不管是公家或是私立這邊
352800	356400	他們的一些福利機構提供的一些服務
356400	360700	所以說社會福利的範疇大多是
360700	362000	韓國這一塊
362000	364600	那我今天可能會比較著重的是在這個
364600	368500	社會救助的這一塊的系統來做分享
368500	371200	那但是在這個文獻的介紹裡面
371200	373500	我們在看東亞的福利系統的時候
373500	375200	其實常常我們所做的比較
375200	376900	可能是包括社會保險
376900	379200	和社會救助這一塊都會
379200	381300	這個是比較是像是名詞解釋
381300	384600	我在一開始先跟大家分享
384600	386800	我今天要分享的這個研究呢
386800	388000	其實你可以說它的濫章
388000	390200	它的起始是在
390200	392400	那個2019年的時候
392400	394600	我就是受這個殷厚酷老師
394600	396200	他在社會福利大學
396200	399000	他邀請我們一些做類似領域的學者
399000	402300	去他們的學校做演講、交流
402300	403900	然後他就希望說接下來
403900	406700	我們可以有更多的一些國際合作
406700	407700	那我覺得說
407700	409800	其實像我們在做研究
409800	410800	組織研究團隊
410800	413900	其實就有點像在拍電影一樣
413900	416200	其實我腦中就是有想說
416200	417800	也許未來我可以做
417800	419800	現在我要報告的這個研究
419800	421800	但是你要讓各地的
421800	424800	的這個大卡司的檔期都能夠湊齊
424800	426600	一起願意來拍這個片
426600	429100	有些時候就需要點機緣啦
429100	429900	所以在這個
429900	431700	我們這個meeting之後呢
431700	432900	就是殷厚、阿亞
432900	436700	他是日本在東京都立大學的老師
436700	437800	然後還有基揚
437800	439900	他現在還在中南
439900	442100	National University也在Korea
442100	444100	所以就他們都有興趣
444100	446100	所以我們後來就組了這個team
446100	448100	我再去邀請在新加坡國立大學的
448100	449100	Irene老師
449100	450800	然後還有當時
450800	453400	就跟我一起工作的陳鴻和趙希
453400	454900	那我們就組了一個
454900	457400	就是可以橫刮東亞六地的
457400	458900	一個研究團隊
458900	462500	那包括台灣、中國大陸、香港
462500	464300	還有日本、韓國、新加坡
464300	466100	這六個地方
466100	468200	來做福利的這個比較
468200	470000	那這六個地方
470000	471800	在過去的這個
471800	474300	東亞的福利文獻是常常會
474300	478000	一起相做比較的地方
478000	480500	那中國大陸算是後來才比較
480500	482100	被納入這個範疇
482100	482900	因為在過去
482900	484000	可能在2000年的時候
484000	487300	很多東亞的這個文獻出來的時候
487300	490500	中國的那個系統其實還蠻
490500	492500	還蠻怎麼說初階的
492500	493700	所以說在一開始
493700	496500	其實並沒有把它看作在一個
