start	end	text
0	3000	整理&字幕由 Amara.org 社群提供
30000	33000	整理&字幕由 Amara.org 社群提供
60000	63000	整理&字幕由 Amara.org 社群提供
63000	66000	整理&字幕由 Amara.org 社群提供
90000	93000	高層大氣風場估計
93000	96000	進行這個研究的原因
96000	99000	進行這個研究的原因
99000	102000	這是我的背景
102000	105000	我的專業主要是在
105000	108000	太空天氣預報
108000	111000	我所使用的方法是Data Simulation
111000	114000	資料同化
114000	117000	我們針對的太空天氣是
117000	120000	地球電力層電動力的每日變化
120000	123000	我們可以理解成
123000	126000	它是一種其中的太空天氣
126000	129000	等一下會再詳細的介紹
129000	132000	這是一個怎樣的太空天氣
132000	135000	這是我們今天的大綱
135000	138000	首先我們介紹什麼是太空天氣
138000	141000	以及它的定義
141000	144000	還有我們想要預報怎麼樣的太空天氣
144000	147000	最後會帶出我們所遇到的困難
147000	150000	以及挑戰
150000	153000	這些都是促使我們進行
153000	156000	高層大氣風場估計的
156000	159000	這個研究的一個原因
159000	162000	首先是什麼是太空天氣
162000	165000	首先是什麼是太空天氣
165000	168000	所謂的太空天氣指的是
168000	171000	太空中的物質與地球的
171000	174000	大氣產生交互作用
174000	177000	所產生的每日變化
177000	180000	基本上我們可以理解成
180000	183000	所謂的天氣
183000	186000	在這個研究中我們所
186000	189000	要Focus的是
189000	192000	地球的中低緯度電力層的部分
192000	195000	它的高度大約是在
195000	198000	地球的高層大氣與太空的邊界的部分
198000	201000	高層大氣與太空的邊界的部分
201000	204000	所以為了要預報這個系統
204000	207000	我們會首先必須了解
207000	210000	這個高層大氣的大氣組成
210000	213000	是怎麼樣子
213000	216000	這張圖秀的是一個高度
216000	219000	縱軸是高度
219000	222000	橫軸是氣體粒子的密度
222000	225000	藍黑色線的部分
225000	228000	藍黑色線的部分所要說明的是
228000	231000	電子這個粒子
231000	234000	它的高度的變化
234000	237000	那橘線的部分主要是
237000	240000	中性大氣的部分
240000	243000	舉例來說有可能是
243000	246000	氮分子或氧原子的部分
246000	249000	那我們可以很明顯的看到
249000	252000	在這張圖中中性大氣的密度
252000	255000	是遠遠高過電漿密度的部分
255000	258000	而且它高度的數量是
258000	261000	我們可以看到橫軸是
261000	264000	大於數十倍數千倍的差距
264000	267000	大於數十倍數千倍的差距
267000	270000	那在這樣的一個
270000	273000	高度剖面中呢
273000	276000	這樣一個電離層其實並不是
276000	279000	所謂的一個很均勻的狀態
279000	282000	我們可以透過觀測
282000	285000	觀測到所謂電漿不規則體
285000	288000	或者是稱為電漿泡
288000	291000	Equatorial Plasma Bubble的一個現象
291000	294000	那這就是我們所想要預報的
294000	297000	其中一種太空天氣
297000	300000	左邊這張圖是一個示意圖
300000	303000	那紅色的部分是
303000	306000	代表電漿密度越多的部分
306000	309000	相對比較少的一個區域
309000	312000	那可以看到
312000	315000	在這個高度剖面中呢
315000	318000	它對應到右邊我們剛剛
318000	321000	所秀的一個高度剖面
321000	324000	它基本上就是在200到400公里左右的一個區域
324000	327000	那我們會想要知道
327000	330000	這是一個高度的剖面
330000	333000	那至於它的三維結構呢
333000	336000	它是一個電漿泡的模擬
336000	339000	那最左邊的這張圖它的
339000	342000	三個軸分別是高度對精度對緯度
342000	345000	那我們可以看到這個黃色的區域代表是
345000	348000	黃色的區域代表是電漿相對
348000	351000	電漿密度相對比較多的區域
351000	354000	那藍色的區域就是電漿密度相對比較少的區域
354000	357000	所以這個所謂的電漿泡它會沿著
357000	360000	一個很像拱橋形狀的區域去發展
361000	364000	那這個拱橋的區域是所謂
364000	367000	指示的地球的磁場
367000	370000	的磁力線
370000	373000	那如果我們看到中間這張圖呢
373000	376000	如果我們從這個地球的磁場中間切下去的話
376000	379000	我們可以看到這個所謂的電漿泡其實
379000	382000	就是我們剛剛所看到的一個
382000	385000	很像泡沫的一個高度剖面
385000	388000	那如果我們從太空中由
388000	391000	往下看的話我們會發現這個電漿
391000	394000	藍色的區域電漿密度比較少的區域
394000	397000	會是像一個暗帶狀的一個形狀
397000	400000	那接下來我們就
400000	403000	這是一個
403000	406000	實際的觀測
406000	409000	時間是在2019年11月以及12月的部分
409000	412000	那我們可以看到
412000	415000	紅色的區域代表是電漿
415000	418000	那紫色的是暗示的是電漿密度
418000	421000	比較多的區域
421000	424000	那我們可以看到這所謂的暗帶的部分
424000	427000	就是我們剛剛提到的電漿泡所發生的範圍
427000	430000	那很有趣的是它有的時候會發生
430000	433000	有的時候不會發生
433000	436000	那右邊的影片呢
436000	439000	就是顯示了所謂的
439000	442000	電漿泡每天的逐日變化
442000	445000	我們可以理解成所謂的太空天氣
445000	448000	那可以看到這個暗帶有的時候不會發生
448000	451000	有的時候會發生這樣子
451000	454000	那我們為什麼要預報它呢
454000	457000	主要原因是因為
457000	460000	美國的政府提出了一個
460000	463000	對於太空天氣準備的相關的政策
463000	466000	那是在2015年所發布的
466000	469000	那在2019年的時候也有進行了更新
469000	472000	那因為這個政策呢
472000	475000	美國的軍方他們開始重視了
475000	478000	太空天氣預報以及太空天氣相關的一些研究
478000	481000	那其中一個原因呢
481000	484000	就是因為軍方所仰賴的
484000	487000	無線電通訊系統在經過
487000	490000	我們剛剛提到電離層不規則裡
490000	493000	或者是電漿泡的時候會產生
493000	496000	訊號的衰減或者閃爍的現象
496000	499000	那我們可以知道為什麼我們想要進行
499000	502000	太空天氣預報的原因
502000	505000	那除了剛剛我們提到的觀測之外
505000	508000	我們還可以利用
508000	511000	台灣與美國合作的
511000	514000	福爾摩沙衛星七號星系進行
514000	517000	電漿泡的觀測
517000	520000	那這個星系呢
