start	end	text
0	6000	可能我可以先講一下
6000	7000	我可能slide不會提供
7000	9000	因為我知道蠻多參與者都會要slide
9000	11000	但我就不會提供slide
11000	12000	反正都有錄影單
12000	14000	所以我想應該是沒差這樣子
30000	58000	大家好
58000	60000	歡迎來到Taira Talk
60000	64000	Taira是一個屬於台灣年輕研究者的友善場域
64000	69000	我們每週週末都會舉辦Taira Talk
69000	72000	這個演講的形式跟內容非常自由多元
72000	75000	學術研究者可以依據自己的職業階段
75000	77000	來這邊分享研究成果
77000	79000	也練習現場演說
79000	81000	或是認識未來可能的合作者
81000	85000	那我們今天是Taira 2022年度
85000	89000	海外研究者申請指導計畫的第一場講座
89000	93000	主題是歐洲博士班申請流程與技巧
93000	98000	下一週會是北美博士班申請流程與技巧
98000	100000	在下下週8月28日
100000	103000	則是兩大類申請文件
103000	106000	CV跟SOP的撰寫技巧
106000	111000	那我們在宣傳文案和報名單上有提到
111000	113000	如果有意願在參加之後的
113000	116000	一對一PhD申請的Mentoring
116000	120000	如果報名並出席第一場或第二場
120000	124000	再加上第三場CVSOP的撰寫講座
124000	127000	將享有優先配對Mentor的機會
127000	129000	那我這邊再稍微簡介一下
129000	132000	這個一對一指導的進行方式
132000	134000	我們今年已經邀請許多
134000	137000	具有海外留學經驗的年輕學者
137000	139000	擔任導師Mentor
139000	141000	來幫助台灣學子們準備
141000	143000	各類相關申請事宜
143000	147000	比如說選校諮詢或是面試準備等等
147000	148000	獲獲取的導生
148000	151000	可依研究領域目標學校等條件
151000	156000	自己訂想要找哪些導師的前三志願
156000	158000	再由導師們依據個人意願
158000	162000	選擇所適合幫助的申請導生
162000	166000	那我們今年預計招生導生數量大概100人
166000	169000	因為過去的報名狀況都蠻熱烈的
169000	171000	所以如果報名人數超過的話
171000	176000	如果有參加這個八月一系列演講
176000	179000	就會有優先配對導師的機會
179000	181000	所以非常鼓勵大家
181000	184000	再參加第三場CVSOP的演講
186000	188000	同時我們也很希望大家
188000	191000	以後可以再來我們聽我們其他的Taiwan Talk
191000	194000	我們官網上有持續更新的演講列表
194000	197000	也歡迎追蹤我們的Facebook跟IG
197000	200000	也可以免費加入Taiwan Talk會員
200000	202000	享有更多會員專屬權利
202000	205000	可以跟其他演奏者有更多的互動
205000	209000	我等一下會在chat裡面貼上
209000	212000	加入會員的報名表單
212000	216000	那我們今天活動會發發Taiwan Talk badge
216000	218000	作為參加證明
218000	220000	這是一款NFT
220000	223000	是一個完全公開且不可篡改的紀錄
223000	226000	相關資訊請見chat連結
226000	230000	您去參加證明區先安裝PoAP APP
230000	233000	大家可以先掃描chat連結的QR Code
233000	235000	安裝PoAP APP
235000	237000	演講結束後我們才會公布
237000	239000	您去徽章的密碼
239000	241000	如果手機無法安裝APP
241000	244000	請在演講結束後留下來
244000	246000	我們會再幫您解決
246000	250000	那我們等一下會請兩位講者先分享
250000	252000	結束之後我們會有一個
252000	255000	統一的Q&A問答環節
255000	257000	最後再發放NFT
257000	261000	那今天我們非常歡迎第一位講者
261000	264000	目前就讀德雷斯登工業大學的
264000	266000	張兆元博士生
266000	269000	研究領域為生意工程
269000	271000	依據Taiwan的傳統
271000	275000	我們會打開麥克風
276000	280000	我先結束我的slideshare
290000	292000	我再請大家打開一下麥克風
292000	298000	我們掌聲歡迎張博士生來跟我們分享
306000	307000	OK
307000	310000	謝謝Project Tara的邀請
310000	312000	讓我有機會可以分享
312000	316000	我之前在申請歐洲學校的一些經驗
316000	319000	我是張兆元
319000	320000	像主持人講的
320000	322000	我目前在東德德雷斯登這邊
322000	324000	念我的PhD最後一年
324000	325000	在來到德國之前
325000	329000	我其實是在美國Cornell University
329000	332000	念一個Biomedical Engineering一年制的碩士
332000	335000	所以我今天的mentor可能不會提到
335000	336000	就是美國部分
336000	338000	但我不知道今天在場參加了
338000	339000	有沒有還在猶豫
339000	342000	是否要申請美國還是歐洲的學校
342000	345000	我可以把這部分留到QA的時候
345000	346000	我有幾張slide可以分享
