start	end	text
0	7520	歡迎大家今天來到我們8月6號的Terra Talk
7520	11280	今天我們很榮幸邀請到陳泰妍老師
11280	17200	陳泰妍老師目前在秋生大學的化學系任教
17200	21000	她畢業於清華大學化學系,然後清華大學化學所
21000	29000	她的PhD是在Texas A&M,德州農工做PhD
29000	33600	然後後來PhD畢業之後她就搬到了Cornell
33600	40000	然後她的研究領域大部分是,我講對吧
40000	44000	我看到泰妍老師在笑,OK好
44000	49000	她的研究領域大部分是單分子的超微顯微鏡
49000	52000	就是Super Resolution的Microscopic
52000	58000	她的研究的系統大部分都是生物理,就是Biophysics的系統
58000	60000	泰妍是一個非常好的老師
60000	67000	她也在Terra給過不同領域跟不同主題的演講
67000	75000	她今天會跟大家講的主題是關於
75000	81000	作為一個Senior的PhD學生
81000	84000	就是當你的PhD已經到了第二年第三年
84000	86000	你已經going through a lot
86000	88000	其實要思考你下一個階段的時候
88000	91000	你要如何去準備你自己
91000	93000	然後如何去問自己一些好的問題
93000	100000	讓你能夠更順暢或是更
100000	104000	怎麼說,其實我不太會講這個
104000	106000	如何更順暢的銜接到下一個階段
106000	109000	那現在就把,大家請打開麥克風
109000	112000	然後我們用掌聲歡迎陳泰妍老師
113000	115000	OK,謝謝信達
115000	121000	我很高興能夠今天來參加Project Terra的talk
121000	125000	First of all, thanks for the kind invitation
125000	128000	那這個talk比較informal一點
128000	130000	所以大家就是如果有問題
130000	133000	想要在我講的時候中間提出問題的話
133000	134000	都沒有問題
134000	136000	就是希望大家能夠在今天的talk
136000	141000	能夠獲得一些收穫
141000	145000	OK,那這個是我們當初
145000	146000	Project Terra content
146000	148000	我們說希望我們講的一個主題
148000	150000	How to have a successful Ph.D. career
150000	153000	for senior Ph.D. students
153000	156000	那我相信就是
156000	160000	這個title其實非常的
160000	161000	我當初看到這個title的時候
161000	162000	我有嚇一跳
162000	166000	就是因為他用了一個非常特別的字
166000	169000	Successful Ph.D. career這個事情
170000	172000	就定義Successful這個東西
172000	173000	其實是非常困難的
173000	176000	那我個人的感覺就是
176000	178000	每一個學生因為背景的不同
178000	182000	所以對一個Successful的Ph.D. career
182000	183000	大家都不一樣
183000	186000	所以沒有一個特定的formula
186000	187000	可以提供給大家
187000	189000	OK,那我今天做的事情呢
189000	192000	基本上就是從我個人的觀點
192000	193000	個人的經驗
193000	194000	跟大家分享一下
194000	196000	哪些事情可能可以做
196000	199000	會讓你的未來的發展
199000	201000	可能有一些比較正面的影響
201000	203000	對,那當然
203000	206000	Again,大家經驗背景都不同
206000	208000	所以大家覺得適用你的話
208000	209000	就可以試試看
209000	212000	那希望這些小技巧呢
212000	214000	能夠幫助大家在Ph.D.的過程中
214000	216000	能夠走得比較順遂一點
216000	218000	OK,好
218000	219000	先介紹一下
219000	221000	簡單講一下我的個人經歷好了
221000	224000	因為我的經歷比較不一般
224000	226000	我是一個
226000	228000	我覺得我在每一個過程當中
228000	231000	都算是一個進程比較慢的人
231000	233000	我覺得跟我的個性可能比較有關
233000	237000	我是一個比較溫和的人
237000	238000	然後大家可以看到
238000	242000	我從18年開始我的Bachelor degree
242000	244000	然後念完我的碩班
244000	246000	04年畢業之後
246000	247000	當了一年研究助理
247000	249000	05年出國
249000	253000	那在那之前我一直都是一個
253000	254000	chemistry
254000	257000	specifically material scientist
257000	258000	我以前最主要做的事情
258000	261000	其實是合成一些material
261000	263000	做一些發光材料
263000	265000	對,偏重在合成這個事情上
265000	267000	就比較chemistry一點
267000	268000	對,那當我就是
268000	270000	念完我的碩士的時候
270000	272000	以前老闆就問我說
272000	274000	太太你要不要念個博士
274000	275000	然後就回頭看看
275000	279000	我的博士班的學長姐們
279000	280000	我覺得大家其實做的東西
280000	281000	都差不了太多
281000	285000	就覺得好像有點興趣缺缺
285000	286000	對,然後我們老闆就跟我講說
286000	289000	那要不然就出去念念書好了
289000	291000	要不然就去業界工作
291000	293000	對,所以我那時候就是
293000	294000	死馬當活馬醫
294000	296000	我其實沒有什麼prior knowledge
296000	299000	我是一個鄉下小孩
299000	301000	我是花蓮人
301000	303000	所以即使我在清大念書
303000	305000	念了幾年之後
305000	307000	我覺得我對於這種出國這件事情
307000	308000	是從來沒有想過的
308000	309000	一直到我們老闆
309000	310000	跟我提這件事情之後
310000	311000	我才認真仔細的思考
311000	314000	OK,出國是一個選項
314000	316000	對,然後後來就是
316000	317000	幸運的申請到了AMM
317000	318000	然後我就來了
318000	320000	然後就開始我
320000	321000	05年到現在
321000	322000	也就是17年
322000	324000	17年在美國的生活
324000	327000	對,那當初念PhD的時候
327000	329000	我決定轉換領域了
329000	331000	因為我覺得
331000	332000	合成雖然很好玩
332000	334000	可是一直做合成
334000	337000	好像也不是
337000	338000	應該說我覺得有點
338000	340000	遇到一個瓶頸
340000	342000	好像做合成怎麼做
342000	344000	大概了解了
344000	346000	可是怎麼知道我做得好不好
346000	348000	怎麼鑑定這個事情
348000	351000	合成的東西的效率怎麼樣
351000	352000	我就開始覺得
352000	354000	好像之前大家不是
354000	355000	很仔細的討論
355000	357000	合成的時候就是
357000	358000	大家猜一下怎樣合
358000	360000	會讓它的效率更好一點
360000	361000	沒有一個比較
361000	364000	fundamental的understanding
364000	365000	所以在我念PhD的時候
365000	366000	就決定OK
366000	368000	我要轉換一下我的跑道
368000	370000	我想更了解
370000	372000	這些材料的物理性質
372000	374000	對,然後那時候
374000	376000	Neo Particle非常的紅
376000	378000	所以我就加入了一個實驗室
378000	379000	專門做Neo Particle
379000	381000	同時做很多
381000	383000	它的電性、光性、磁性
383000	385000	分析的一個實驗室
385000	387000	對,那
387000	389000	所以我就花了五年半的時間
389000	390000	在做這件事情
390000	392000	那在那個過程中
392000	393000	學到的事情就是
393000	395000	我知道怎麼架儀器
395000	397000	然後我知道怎麼做分析
397000	399000	知道怎麼了解
399000	401000	一個材料的好壞
401000	404000	從very fundamental perspective
404000	406000	對,那在那之後呢
408000	409000	我就開始想說
409000	410000	OK
410000	411000	應該說我在念PhD的時候
411000	412000	其實有一點
412000	414000	就已經有一個intention
414000	416000	就是我以後想要當老師
416000	417000	那我開始念PhD的時候
417000	418000	the first goal就是
418000	420000	OK我要回去台灣當教授
420000	422000	對,那只是後來
422000	424000	就是發生陸陸續續
424000	425000	遇到很多不一樣的人
425000	426000	所以in the end
426000	428000	我end up在美國當老師
428000	429000	就是了
429000	430000	對,那
432000	434000	後來大家可以看到
435000	436000	從Maths 得到PhD
436000	438000	有點像是轉了一個彎嘛
438000	439000	你從非常材料
439000	441000	開始做非常物化的東西
441000	442000	對,那
442000	443000	可是我覺得就是
443000	444000	我人生中最大的轉捩點
444000	447000	應該是我念Postdoc的時候
447000	449000	就是我從
449000	451000	在那之前我完全沒有生物的
451000	453000	生物相關的背景
453000	455000	可是我在念我的Postdoc的時候
455000	456000	做了一個
456000	457000	幾乎是90度的轉彎
457000	459000	然後我花了五年半的時間
459000	460000	從
460000	462000	就是去做Postdoc的事情
462000	463000	對,然後那個時候
463000	464000	就開始學習
464000	466000	單分子生物物理這件事情
466000	468000	那主要原因就是因為
469000	470000	就
470000	471000	在我念PhD的時候
471000	472000	我遇到我的老婆
472000	474000	我老婆她是一個Neon Biologist
474000	476000	對,然後我想說OK
476000	478000	以後可以一起做個research好了
478000	479000	那我來去
479000	481000	學一下新的東西
481000	482000	對
482000	483000	可是我沒有想到
483000	484000	就是學這個新的東西
484000	485000	要花我五年半的時間
485000	486000	所以我在五年半的時候
486000	487000	我花了五年半的時間
487000	488000	在Cornell
488000	490000	我那時候被hire到Cornell去
490000	492000	主要是因為我會架儀器
492000	493000	OK,所以我到那邊的時候
493000	495000	其實主要的工作就是
495000	496000	build up
496000	498000	super-rotation microscope
498000	499000	然後create
499000	500000	software
500000	502000	可以analyze image
502000	504000	OK,所以那其實是我的本行
504000	505000	就是建儀器
505000	506000	然後分析東西
506000	507000	那是我的本行
507000	508000	可是後來因為加入了
508000	509000	一個新的element
509000	511000	所以就讓我的
511000	513000	就整個大轉彎
513000	514000	對,那接下來
514000	515000	大家可以看到
515000	516000	我現在的research program
516000	518000	其實就開始跟
518000	520000	神經細胞做一些連結了
520000	522000	對,那這個過程呢
522000	524000	其實是非常的
524000	526000	嗯
526000	527000	非常的有趣
527000	529000	OK,如果說你有
529000	530000	你有好的support的話
530000	532000	這是一個非常enjoyable process
532000	534000	對,可是不是一個
534000	536000	很typical的process
536000	538000	那
538000	539000	我也不會建議大家
539000	540000	就嘗試這種模式啦
540000	542000	就這個模式有它的好處
542000	544000	可是中間的困難度
544000	545000	我覺得是蠻高的
545000	546000	對,如果大家有興趣
546000	548000	我們之後可以談一下這個
548000	550000	那之所以mention這件事情呢
550000	552000	主要原因是因為
552000	553000	大家可以看到
553000	554000	在我的職涯裡面
554000	556000	我做了很多
556000	558000	職涯方向的改變
558000	560000	那這些改變的過程中呢
560000	561000	我覺得有一件事情
561000	562000	我經常做的就是
562000	566000	我很喜歡跟我的朋友聊天
566000	568000	或是我很喜歡跟實驗室的
568000	570000	學弟妹聊天
570000	571000	那在聊天的過程中呢
571000	572000	我覺得最常問的問題就是
572000	574000	OK
574000	575000	我最常問的問題就是
575000	578000	OK,你們為什麼要念PhD
578000	579000	那在念PhD的時候
579000	582000	你們遇到最大的挑戰是什麼
582000	583000	那
583000	584000	我覺得這樣子問
584000	586000	到目前為止我就問了17年了
586000	587000	所以我就覺得
587000	588000	OK,在這些過程中
588000	590000	就可以比較知道說
590000	592000	OK,大家對於PhD這件事情的想法
592000	593000	是怎麼樣
593000	595000	那聽了很多人的意見之後
595000	596000	我就開始自己有一些
596000	598000	自己對OK,PhD這件事情
