start	end	text
0	2000	我先把影片放在網路上。
2000	4000	這是我的影片,
4000	6000	在PowerPoint上。
6000	8000	這是凱瑞拉的宣傳。
8000	10000	下個星期,
10000	12000	我們將有關於高級PhD學生的演講。
12000	14000	請大家聽聽。
14000	16000	我會把影片放在網路上。
16000	18000	我會把影片放在網路上。
18000	20000	請大家聽聽。
20000	22000	我會把影片放在網路上。
22000	24000	我會把影片放在網路上。
24000	26000	請大家聽聽。
26000	28000	我會把影片放在網路上。
28000	30000	我會把影片放在網路上。
30000	32000	請大家聽聽。
32000	34000	我會把影片放在網路上。
34000	36000	請大家聽聽。
36000	38000	我會把
38000	40000	我會把影片放在網路上。
40000	42000	請大家聽聽。
42000	44000	我會把影片放在網路上。
44000	46000	請大家聽聽。
52000	54000	關於Tie Rogers,
54000	56000	我將繼續部署項目等。
56000	58000	我會把影片放在網路上。
58000	60000	請大家聽聽。
60000	62000	我會把影片放在網路上。
62000	64000	請大家聽聽。
72000	74000	接下來的一個部分,
74000	76000	我在網路上
76000	78000	會給大家特定的密碼,
78000	80000	請注意。
80000	82000	這只是兩小時的時間。
82000	84000	如果你錯過了,
84000	86000	我會把影片放在網路上。
86000	88000	接下來,
88000	90000	請把時間交給老師。
114000	116000	我會把影片放在網路上。
144000	146000	接下來的一個部分,
146000	148000	我會把影片放在網路上。
148000	150000	請注意。
150000	152000	接下來的一個部分,
152000	154000	我會把影片放在網路上。
154000	156000	請注意。
174000	200000	我會把影片放在網路上。
204000	206000	接下來的一個部分,
206000	208000	我會把影片放在網路上。
208000	210000	請注意。
210000	212000	接下來的一個部分,
212000	214000	我會把影片放在網路上。
242000	244000	請注意。
272000	287000	好,那首先,因為這樣,所以我希望我做一個slide,希望可以讓大家比較知道說我是在怎麼樣的一個經歷之後,然後會有這麼樣的一個想法。
288000	294000	我剛剛提到說我在19年開始,先在杜克大學,然後現在在加格大學。
294000	305000	在這之前,我是2010年到2016年在Stanford讀PhD材料系,然後在16、18年做PostDoc。
305000	312000	然後清華大學也是,學士在清華大學讀的,然後也是材料。
312000	324000	所以我是一個非常美術的訓練,所以說有很多,如果你是社會科學家或者你是生物科學家的話,你可能不是那麼適用。
324000	334000	幸好Tara有很多人才,所以我相信在後面的這個討論,你們可以得到更多的支持。
334000	347000	那我也稍微講了一下,就是說這個怎麼用Information可能會對Junior PhD Student比較有用。
347000	366000	當時安利給我這三個,就是234,就是安利給我說有第一年要做的事情,然後怎麼找advisor,跟怎麼衡量自己的fit。
366000	379000	那當我加了第一個跟第五個,就是說到底這一切是為什麼?當你有這麼多其他選擇的時候,為什麼要念PhD?到底這個意義何在?
379000	391000	還有第五個是一個比較general,比較亂的,但是我覺得我summarize的七個advice是我覺得蠻重要的。
391000	407000	可能不是針對Junior,可能也不是針對某一個特定的事情,但是我覺得in general,我在一個老師的立場,我會蠻希望學生都可以知道這個事情。
408000	426000	所以為什麼要讀PhD?因為我現在看不到大家,但是我個人很喜歡SKCD這個漫畫,有空的時候會蠻常看的。
426000	446000	我對這個印象非常深刻。這邊有一個人,他去拉一個拉桿,一拉他就被電了,被電得迷迷茫茫。那時候一般人就會想說,我大概就不要再去拉他了。
446000	462000	但是一個塞恩帖杜特,一個充滿好奇心的人,就會說,我想知道為什麼我一拉他就會被電,然後開始去想這個事情的為什麼。這是一個joke,但是我認為他描述的事情非常真實。
462000	480000	對我們來講,這個事情的consequence可能不是太重要,只是他運作的原理,我們對於事情的好奇心。這是我認為一個PhD跟其他的career choice最大的不同點。
481000	506000	但是如果你把這個好奇心再廣義一點說,它不見得是說,我一定要了解事情的運作原理,它也可以是,我想要去push所有的boundary。一個作為scientist的話,他想知道事情怎麼運作的,一個作為engineer來講的話,他想要知道事情怎麼樣可以更efficient,或者technology要怎麼去improve。
506000	531000	Overall就是我要怎麼樣才能夠突破現在的狀態。一言一臂之的話,我覺得這是一個非常重要的mindset。當然這不是一開始就這麼清楚了,一開始也是學長姐考我就考,然後學長姐申請我就申請,然後就進了。
531000	547000	但是是經過這麼長的時間,然後有一些不一樣的體會,之後我慢慢濃縮出來的這麼一個心得,然後再回去去看,這什麼樣的原因支持我走這麼久。
562000	584000	更具體一點的話,對我來講我的所謂的mission statement,剛我講的是一個PhD,我認為它就是curiosity-driven,boundary-pushing的一個作用。對我自己來講的話,其實我的life goal,我其實就希望可以做positive impact。
584000	606000	它也是一個非常廣義的意思,就是你做出了一個新的東西,你教出了一個好的學生,你發表了一個新的論文,你研究出了什麼東西,然後讓你這個人在整個世界變得獨特,而且缺你不可。
606500	614500	我認為這是一個非常inspiring的事情,我們活在這個世界上都希望找到所在的價值。
615500	641500	我認為在一個PhD的training底下,當我們看到我們的public journal,public paper,它可以在conference,在不同的情況之下影響到整個學術界,整個業界,因為我們的一些實驗讓這個understanding往前push了一點。
642500	649500	或者說,其他的這種positive impact都是支持我們走下去的一個原因。
650500	660500	對我個人來講的話,這跟Junior沒有什麼關係,但是我想要早一點講這個事情。
660500	673000	對我自己來講的話,為什麼後來會走到學術界,也是因為希望可以有更多的可能性。
673500	690000	我認為PhD和academia,至少我在當初選PhD的時候,我想的其實也是說,我去選PhD,我不僅可能可以走學術界,我也可能可以走業界。
690000	708000	如果說是直接選擇業界的話,通常也沒有辦法再做其他的選擇。所以有一點拖延選擇的心情,但是對我來說是很個人的傾向。
708000	725000	所以我就想說,我就去選一個我可以在後面延遲做選擇的事情。當然也是因為我本身也很喜歡做research,所以這個變成了我當時走的條路的原因。
725640	736220	接下來有幾件事情是,我希望我在第一年就知道了,或者說我在第一年的時候發生了一個culture shock。
736940	757520	我覺得PhD其實是一個非常特殊的人生狀態,因為你好像是學生,你又不是學生,你領薪水。你好像是工人,但是你又有學位,又有教育,又要修課,是一個非常複雜的東西。
757520	767520	你好像有你自主的作業社區的決定權,但是你又沒有,因為你身邊有PI。
768040	786800	所以,你剛脫離一個寫作業、交作業、準備考試的這種生活型態,進到一個沒有date line、沒有時間表的生活。
787640	796800	我會蠻希望我第一年就很早就知道這個事情,它其實是一個生活的方式,而不是一個career,一個job。
797520	815360	所以像我回去想一下,在我第一年的時候,我其實很拿意思的想說,我還是希望有這種課內課外的觀念,課內我就做實驗,課外我就做課外的事情。
815680	837100	那當然也是有很多flexibility,我也是花了一些時間去做一些以前在臺灣或者說還沒有做PTT的事情,也玩了一些,也有一些蠻有趣的經驗。
837700	854300	但是其實我後來就慢慢了解到說,這些所謂的空閒時間其實是一個迷思,因為這些空閒時間其實都是你自己去決定的,你可以有很多空閒時間,你也可以沒有很多空閒時間。
854420	862680	你有空閒時間,你就是消耗你工作的時間,最後這一切的一切其實都是你自己去決定的。
862680	869540	今天說你花很多時間工作,你就一定會有比較多成果,你花很多時間去玩,你就一定比較不會有成果。
869780	880780	然後等到你需要那些knowledge,你需要那些GPA,你需要那些interview question的時候,你會去想說,我為什麼要這個spare time?
881500	900160	所以我認為第一年的學生要很清楚地知道consequence,就是說你已經不再是我今天就要交作業的這種心態,你是一個可以把所有事情的時間都掌握在手上的一個career。
900900	912340	我非常喜歡有學生跟我講一個笑話,他說讀PhD的好處就是你每天都像周末一樣,很free。
912580	933600	壞處就是說你周末要工作,其實你已經沒有那種work跟life的這種boundary,因為確實是這樣的,以前我在讀PhD的時候,每個禮拜周末至少會有一天好像weekday一樣。
934000	957320	但你要說我們weekday可不可以去做別的事情?也可以,但其實就是我講的,當你看到比方說你的peer在工作努力的時候,你很自然就會往那邊去靠,你會怕你落後,像這樣子。
958160	983440	所以我是覺得,不管選擇是什麼,我還是蠻鼓勵大家善用自己的時間,不是說一定要進lab,一定要做實驗工作什麼的,只是說如果今天你選擇要做一個什麼樣的事情,你就把它有計劃性的做好。
983640	1006600	如果今天我想要去業界,那你就認真地去參與,比方說你去研究什麼樣的工程,你去interview,你去networking,你怎麼去打入公司內部,每個事情做到極致都是需要努力的,也不會有人教你這個事情。
1006600	1027700	到你到這個階段的時候,你要自己去找你的resource,你要自己去找你的門道,這個是我認為PhD跟Undergrad,或說Master可能已經有這樣的training了,至少我在從Undergrad到PhD的時候還是有蠻大的這個,花了蠻多時間才了解這個事情。
1028700	1053460	所以一切都是自己的選擇,要為自己的選擇負責,要調整自己的學生心態,你們已經不再是普通的學生了,你們已經是半個社會人了,社會的競爭是非常激烈的,所以這個事情我覺得蠻重要的,第一年學生要習慣這個事情。
1054460	1073740	我還想分享這個,在我PhD六年的期間,我一直都非常尊崇的一句話,是以前馮明慧老師的一本書,她就說這是一個累積的過程。
1074260	1090900	我自己的interpretation就是,不管你做什麼事情,你今天比別人多做一點事情才會累積,你比別人少做一點事情才會累積,所以千萬不要小看這種習慣的力量。
1091580	1103660	這個我覺得也是在PhD第一年的時候,越早開始其實越好了,越早開始養成習慣,你到五、六年畢業的時候,你就會發現你跟大家不一樣了。
1103660	1127020	理工的角度來講的話,你要看大家時間拉長之後,大家起點的節句其實一點都不重要,你那個過程的斜率是什麼,重點放在你的斜率,放在你每一天的斜率是多少,這樣才能夠影響你的長期來講的發展。
1133660	1156180	我希望對一年級的我自己講的話,當然不是說要promote一個工作狂,只是你很難免在過了這麼多年的過程中,你不會去想說,當時我要是學了這個的話該有多好。
1156780	1169300	就比方說Machine Learning好了吧,非常非常popular,我也有真的有朋友他PhD畢業之後,他就放掉自己PhD的東西,然後去學Machine Learning,最後當了一家Scientist。
1169300	1191620	那當然大家都很有天賦,只是說,我認為在時間拉長之後,你就會發現當你還有這個精力,你還有這個可塑性去學東西的時候,其實就應該把握這個時間。
1192100	1220320	然後我說,you have to learn to relax,不要想說要怎麼樣才能夠最輕鬆怎麼樣,因為你很難說一定可以如你所願,重點還是說你能有多少option,你要達到很多option可以選擇的過程,那一定是比較辛苦的。
1220380	1233100	到那個時候你就可以去選你要做什麼,讓你自己覺得最適合你的。過程就像爬山一樣,你爬上去這個過程是最辛苦的,爬上去之後你就可以去看你要去哪個地方。
1233100	1260940	既然提到說一切都是你自己的選擇,其實就等同於說你把你自己的career,你把你的PhD,你把你所有的所學,沒有人會比你更care這個事情,你的PI不會,你的部門也不會,因為你是唯一的受益人或受害人。
1264100	1290100	教育平台跟我學生講,這些project其實雖然是我去寫proposal,然後我去把錢弄進來,但eventually其實是,如果這事情不是你想做的話,它不會做得好,因為你如果當它是一個工作,你每天朝九晚五去做的話,那你不可能會把這事情當作是你自己的career來做,來得那麼高興,那麼熱情,那麼productive。
1290700	1303720	這不是一個很align的project。在這種情況下,我寧可去稍微換一下這個project,也不要說強壓在學生身上。
1304360	1327080	我講到take ownership這個東西,我舉我另外一個學生的例子。他是一個master student,有一天因為一些原因就找到我,問我說能不能做,應該是說我跟他討論,聊到最後就說我們做一個remote的project。
1327720	1346280	他是machine learning的專長,我會電池的東西。我就有了這個project,他就開始remote去做這事情,最後也變成一個paper,這個東西往裡面浮出很多。
1347000	1355200	其實對他來講,這種remote的project其實是一個為什麼他要找到這個事情,這個是一個additional的東西。
1356200	1380480	當然我先講結果好了,結果就是說他有這個paper,他對於machine learning有一個拿得出手的結果,就說我publish這個paper,我完成了這個project。至少他跟我說,他跟我說在他跟Googleinterview的過程中很有用,最後也確實拿到Google的offer,現在就在Google,可能賺的比我還多。
1380480	1405020	所以其實像他,我去觀察他的例子的話,對他來講這就是一個很典型的take ownership的例子,他自己給自己project,他自己去找project來做,他自己去invest自己的時間,最後自己去收穫這個東西。
1405780	1421860	對他來講,我去催他做什麼事情,其實沒有意義,因為最後能不能夠把這個東西變成一個paper,變成一個Google的offer,其實都是看他自己,我是有這個東西可以,有這個東西很好,沒有其實也沒關係。
1421860	1440240	這我覺得就是一個project要成功,一個人要發展到他想要發展的地方的一個非常重要的區別,到底是你去drive這事情,還是別人去drive你,所以非常希望第一年學生可以知道。
1440480	1469060	一些比較具體的建議,我剛剛講的是比較空泛的,大家可以開始養成習慣去把你自己放到一個圈子裡面,所謂放到一個圈子裡面,你就要去知道這個圈子在幹嘛,比如說你要去讀一些新聞,所謂useful news就是說今天如果你是做,比方說你自己做某些東西好了,你就開始看某些東西在幹嘛,你就開始把自己放到這個圈子裡面。
1469380	1489140	久而久之你就會有更多的積累。這東西其實也是一個lifestyle,就是說你怎麼樣學比別人更多,不是說你今天有一本教科書,你把它念完就好了,教科書都是二三十年前的東西,你要怎麼樣知道最新的東西,一定要養成這個習慣。
1489860	1509460	然後我也會建議大家找到一個適合的role model,就是說看到這些人,他的trajectory是你很嚮往的,你就學一下他們為什麼會這樣,他這個人的人格特質是什麼,導致他有一個好的trajectory。
1509540	1529200	但是同時也要小心,他的成功或者他的軌跡跟你一定不會一樣,所以也不要去比得太累了,大概知道這個核心的精神就好。
1529200	1557040	第三點,我是特別針對臺灣的學生,我的觀察是,臺灣的學生一般是非常有禮貌,今天如果老師給了一個東西可以做得很好,但是對於老師沒有給的東西或者老師沒有提到的東西可能就不太會去想。
1559280	1571260	就像我講的,當你take ownership的時候,其實你會do whatever you can to get it done,你會找各種各樣的resources,然後你會去用這些resources。
1571780	1582980	我這邊特別提到說somewhat aggressively,就是說你要比你想的,我這樣會不會太aggressive,再aggressive一點點。
1582980	1612740	本來良性競爭就是會這樣子,有時候你會擔心說你這樣是不是太露鋒芒了,但是其實並不會,在我看起來,有很多事情並沒有conflict,我覺得這是特別對臺灣的民族性比較包容一點,我覺得在這方面有時候會比較吃虧。
1613060	1615560	也是大家可以慢慢去體會的。
1617460	1637620	然後到第三點,如果找advisor,蠻多program都會有rotation,就是你第一年的時候你還不用commit到一個group,你就可以先在這個quarter,現在這個lab待一下,下一quarter再到別的lab。
1637620	1667600	rotation,因為這個PhD是一個很長時間的commitment,所以長時間可能是一輩子,所以有一個好rotation還是蠻重要的,但同時就跟買股票一樣,你一定要看準時間,因為也有很多是說,他rotate,rotate,然後這個人定下來了,就先來先到先得嘛,因為有時候funding的缺口就這麼幾個,有時候就是時間晚了,因為你rotate太久。
1668120	1682860	最後都滿了,大風吹那樣子。這個也沒有什麼tip,有的人就是case by case,只是要提醒你,會有這個事情發生,也確實蠻常發生的。
1683860	1711440	然後跟實驗室的學生去問他們,通常你問老師問不到什麼東西,老師會跟你講一個比較visionary的東西,他project是什麼,但是一個生活的模式、生活的狀態,你還是要去問學生,學生高不高興啊,他們將來都去哪裡啊,是不是你想要去的地方啊,像這樣。
1711440	1740460	我個人的經驗是說,你大概有一半的career跟你學到的東西大概是從你的同儕來的。老師給你一個大方向,但是你會跟你的同儕,不管是直接學到的還是被影響的,良性競爭一起往上提升了,其實跟這個實驗室的style沒有關係,就是peer pressure跟support。
1741440	1770500	第三點是說,這也是我當時比較不知道的,一個funding其實在一個research group的運作還是蠻重要的,所以你們還是要看一下怎麼找advisor,如果這個advisor,如果這個group看起來好像沒辦法survive的話,那你就有可能會因為錢的關係被迫離開這個組。
1771440	1780680	如果你很喜歡老師,你很喜歡學生,但是沒有錢,但是沒有辦法養你,沒有辦法養你的話,這是最壞的情況。
1781200	1800980	Second worst就是,他還是可以keep你,但是說你可能要去做TA,TA很花時間,你也不喜歡這樣。所以這個funding的話,還是可以問,我覺得大家學術的興趣之外,不要了。
1801980	1819880	現在我是助理教授,所以我就想從我的觀點來給你們一些不一樣的看法,也許可以幫助你們去選advisor。
1820880	1842080	Advisor其實也是一個很複雜、多重身份的工作。首先我們是老師,同時我們也是mentor,所謂mentor就是說今天老師,當然以中華文化的話,這個東西沒什麼區分。
1842080	1871620	Lifetime就是說,假設今天是我的學生,推薦信我大概率也是會寫的,我會幫你寫推薦信,然後你就是會在這個academic tree底下的,然後我就往上追溯到崔毅老師、Charles Lieber、Paul Apsatos這樣子,你會變成這個派系,也不是派系,而是這個family tree。
1873080	1886080	所以說像我到現在還是跟崔毅老師還有PHD的advisor,你要保持很好,你會有很好的關係,就是因為你很自然就是一個這麼一個lifetime mentor的關係。
1886080	1915820	最後就是說我們advisor同時也在run一個,就像run a startup一樣,我們錢要進來,然後我們要養學生。對我們來講的話,這是我們的cycle,比方說我們幫學生,我們指導學生做research,publish,然後這邊有一個paper,拿著paper我們去寫proposal,然後拿著proposal拿去賣。
1916080	1944420	拿去兜售,networking,賣給比方說DOE、NSF,就是像我會會這樣的機構,然後希望可以拿到錢,拿到錢之後我就可以想,應該說這個差不多時間了,就是我可以想一個project,然後再發行給學生,學生再做實驗,publish,然後再做這個cycle。
1944420	1965460	對我來講其實就是這個cycle要run起來,你會發現其實學生的education的部分就只有這裡而已,所以在當我變成advisor的時候,oh by the way我們還有teaching跟service在這邊,不是很詳細。
1965460	1995320	所以其實從advisor的角度來講,它是很難去避免的矛盾,我們一方面希望學生很好,一方面希望整個group可以存活下來,藉由拿到很多錢的這個,所以當學生有自己的interest,然後我們有我們自己的想法,到底要怎麼去align彼此。
1995460	2017040	這個我覺得是我在當advisor之後,我認為蠻重要的一個課題,所以我想也許從我這邊跟你們講一下我的想法,也許可以讓你們更知道advisor在想什麼。
2018040	2039820	對我個人而言的話,當然我說confession,就是說你們在辦公室外面,你們在想advisor在想什麼的時候,這其實是我在想的東西,當然我們很忙,然後我們有時候email回得很慢,然後我們有時候會做一些很蠢的adjustment,
2039820	2068580	然後我們有時候會很固執,然後會有一些很不一樣的opinion,我們有時候很push,很demanding,但是其實在所有的advisor的心裡,或者說核心,其實都還是學生,就是說沒有學生就沒有advisor,這些advisor這些東西都是學生做的,所以當你在找advisor的時候,其實advisor也在找你。
2069840	2097680	所以說你們其實是一個很有趣的一個關係,不要把自己想得太害羞什麼的,因為advisor沒有學生不行,你就這麼想就好了,所以緊接著就是給你一些managing你的advisor的一個建議,首先還是self-motivation,所有的advisor一定會喜歡self-motivated的學生。
2097680	2127340	這是一個最重要的事情,你要是沒有這個東西的話,好像會事倍功半,然後大家都非常痛苦,所謂every meeting counts,就是我講的advisor有很多雜事,所以確保你每次的meeting都有不錯的成效,或者你有action item,討論到該討論的東西。
2127680	2154300	認真準備你的meeting,認真準備你的slides,認真準備你的thinking process,這也是台灣學生比較容易說,我這樣會不會太打擾老師,會,但是這是我們的工作嘛,當然晚上收到email,晚上收到message。
2154300	2183960	但是作為advisor來講的話,我不回其實是耽誤我自己,因為學生在等我,我回他,他就可以開始做他的事情,所以所謂push advisor其實這是一個好的事情,這是一個self-motivation的事情,那同時所謂self-motivation就是說,你自己要先figure out一些比較basic的東西,要不然還是會有反效果,只是說不要太擔心你會不會太push。
2184540	2191320	你有什麼想法就去approach,然後良好的溝通我覺得非常重要。
2192320	2214320	常常有時候會有一些advisor跟advice的意見衝突,我覺得從學生角度來講很難去理解,但是在advisor其實我們最常看的是一個founding的大方向,跟一個實驗室的強項跟弱項,
2214320	2235320	就是說今天這個東西有很多founding的source,你就很自然會去往那裡做,因為你唯一有往那裡去做,你才能夠有更多的資源跟錢去做你想做的research,然後把group run得很好,所以一般我們考慮的點是這樣子。
2235320	2249860	還有就是說,你今天選這個project之後,你選這個founding之後,我能不能給你相對應的support,這個實驗室能不能給你相對應的support,這個學校能不能給你相對應的support,如果太印象性開的話,我們也會覺得可能不是那麼make sense。
2250860	2273860	我們不一定是對的,有些學生就很厲害,他就可以做出來。至少我愛,也不會說死要面子就不承認,但是如果我認為一切你要是覺得我錯,你就證明,就對了。
2274860	2290860	你就做實驗,證明我是錯的,你有什麼學校好的想法,你就去做。我有我的assignment是我要跟founding agency交差的,那個你要做,但你想證明的事情你就偷偷做,沒有關係。
2291860	2303860	我覺得所謂的advisor跟學生其實是一個很有趣的關係,advisor有自己的事情要顧,但學生要保持自己的獨特性。
2304860	2318860	這個就是我覺得最重要的,我在每個這樣的talk都會放這個slide,因為這個方法我覺得太好用,太重要了。這個書中文叫做A到A加,非常推薦大家看。
2318860	2328860	它我覺得是一個ultimate的choice making的strategy,你在所有的事情你要去做抉擇的時候,你就看這個band diagram就好。
2328860	2348860	第一個就是你對什麼東西感到熱情,第二個是什麼東西你可以做得很好,你be the best,第三個比較世俗但是很重要,就是什麼東西可以讓你有profitable,讓你有self-sustaining,你要有錢才能夠往前走。
2349860	2371860	你把這三個圈圈講清楚以後,交集就是你要去做的事情,相對應到你要去選哪個advisor,你要去選哪個方向。當然這三個圈圈這樣子比較空泛,但是具體的話你要幹嘛呢?首先你要找到這三個圈圈,然後找overlap。
2372860	2381860	同時你也可以去想辦法把你的圈圈變得很大,你圈圈變得很大之後,你就有很多的overlap可以找了。
2381860	2400860	這就回到我一開始講說為什麼在我的觀點來看PAD很好,因為至少我經過這個train的過程之後,我可以有很多很多的選擇,我可以有很多很多很大的circle,所以我有more options。
2401860	2419860	這也是我自己個人的成長經歷,所謂的隨遇而安這種事情其實是給那種已經不行的中年男子,他們在找他們開脫的理由。
2419860	2433860	你們都太年輕了,你們都不應該被這種觀念給限制住,你們要把自己努力提升到一個很高的高度,然後在這個過程中要非常努力才可以。
2434860	2441860	最後是我的七個general advice,這些東西我也都跟我學生提過不止一次。
2441860	2458860	第一個就是要活著,非常重要,也是做理工的,一定要保持安全。有太多這種比較不幸的例子,其實就是你沒有健康什麼都沒有了,你沒有安全什麼都沒有了。
2458860	2478860	所以安全第一,一定要非常小心這個事情。實驗的突發事件是一個,但是長期的健康也是很重要的,這東西一般不太會聽到,但是我覺得蠻重要的。
2479860	2490860	那二跟三我放在一起講,因為我覺得這也是一個給自己motivation的一個方法,一個advice,就是說你要嘛就當第一,要嘛就當最好。
2491860	2505860	這個原因也是因為這樣嘛,就是說你只有在當第一或當最好這兩個,你可以把你的價值最大化,在一個我要make impact的前提之下,這個是我的goal。
2506860	2524860	所以你要知道為什麼要去了解這個領域,為什麼要去看過去的人做了什麼,現在在做什麼,就是你要知道自己怎麼樣才能夠當第一或最好。那過程當然是很辛苦的,所以要努力工作。
2525860	2548860	最後呢,所謂balance between quality and speed,就是你們在publish的時候總還是要定一下這個scope,那這個我覺得很depend on advisor的口味,就是說算是一個小小的事情要注意的吧。
2548860	2574860	Be the best 有一些學生比較心急,他會想要趕快把這事情給結束了,其實是蠻可惜的,因為你有這麼一個機會可以讓大家知道你,而且是用一個非常出人意味的方法去知道你,我覺得這個感覺對大家來講都蠻嚮往的。
2579860	2593860	簡單說就是勇敢地去做所謂的老師沒有講到的事情,花點沒有提到的事情,在你的comfort zone之外的事情,所有的novelty、所有的innovation都是從這裡出來的。
2594860	2605860	這當然有一個學生問我,為什麼我可以想到這些東西,為什麼我可以想到這些idea。
2606860	2623860	最簡單的回答就是因為我比你老嘛,我坐在這好像比你久。這其實是根本的原因,因為我的knowledge比較多一點,所以我知道怎麼樣去把這些事情連起來,變成一個新的東西。
2624860	2632860	你要是不知道有這些東西存在,你根本想不出來,所以這個也是要蠻長時間累積的。
2633860	2639860	第三點我特別提一下,就是your time,你們不妨也可以算一下。
2640860	2651860	Practically speaking要去做一個cut off,在publish是publish,你不要說等了六年都等不到一個文章。
2652860	2656860	這個我剛剛提過了,我就不再對數了。
2656860	2662860	第三點我特別提一下,就是your time,你們不妨也可以算一下。
2662860	2681860	一個Ph.Ed的學生,你照你的salary,你把你實領的薪水去弄,把你的稅錢弄出來,就算一下你一天工作多少時間的話,你一天大概要花你老闆多少錢,大概是在這個量,一天要花一百。
2682860	2690860	所以你去做一個實驗,你明知道不會成功的,你今天廢掉,你廢了老闆三百塊。
2691860	2696860	你的時間其實非常重要,你要做事情先把它做好。
2696860	2713860	很多實驗你不希望說你去貪快,去貪cut corner,就是你去做一個不到位的東西,就是浪費時間浪費錢。
2714860	2718860	第四點還蠻重要的,就是你要怎麼樣去做明知道。
2718860	2727860	我們講的就是說,你在Ph.Ed這個過程中打滾了很久,對junior可能不是很適用,對senior可能比較適用。
2727860	2738860	就是你在project裡面待很久之後,你就會看到那些很細的東西,那些東西其實沒有人care,跟你同行才會care,大部分人都不是很在意。
2738860	2747860	大部分人想看你的big picture是什麼,為什麼你的東西有意義,所以兩種視角的培養都非常重要。
2747860	2759860	長時間來講,其實這些都是要長時間去累積的,你去聽別人的talk,他為什麼可以講得這麼生動,為什麼?那一定是放了很多big picture的東西。
2759860	2777860	Teamwork,一般大學生不太會有問題,主要就是credit的事情盡早去figure out,不要害羞,不要覺得說這東西談了傷感情,到最後有誤會那個感情更傷。
2777860	2787860	所以合作的時候一定要就事論事,合作總是很好的,但是把這事情清楚。
2787860	2796860	Junior的Ph.Ed學生一般比較沒有這個經驗,所以最好還是先給你們知道一下。
2797860	2810860	Ethical這個也是,我覺得一般台灣學生還好啦,我們的training其實都相對嚴謹,所以我們在這方面沒有什麼太大的問題。
2811860	2817860	By the way,這個slide我可以share,所以今天如果太快,可以再回去複習。
2818860	2822860	最後其實就是在Echo Back之前講的東西。
2825860	2832860	KD是一個lifestyle,真的要蠻長時間的去調整你的態度,調整你的習慣。
2833860	2849860	最後呢,建議大家也有想一下你自己的mission statement是什麼,你為什麼要去做這行,你的人生到底是要幹嘛的,這個band diagram提供給大家做一個有用的tool。
2850860	2859860	有很多學生,in general大家的觀點就是,KD好久,好長,才五年,有的人還念了十年。
2860860	2872860	其實你換個角度來想,你只有五年,我們十年內比較特殊,你只有五年就要離開KD這個保護傘。
2873860	2881860	五年之後,你升職博士,尊稱你升職博士,對你的期待也就不一樣了。
2881860	2891860	對你的期待就是說,在這方面你要非常懂,然後你要獨立完成所有事情的一個人。
2892860	2899860	你是嗎?你現在問你自己是不是,估計大概都應該不是,對吧?
2899860	2910860	所以你要怎麼樣才能夠在五年之後對得起這個稱號,要利用這五年去努力的學習,去努力的控制自己。
2910860	2921860	更重要的是,你要利用這五年去調適你的想法,去讓你整個KD可能變得非常enjoyable。
2921860	2929860	生命總是有up and down,in general你要去enjoy各種事情。
2930860	2934860	然後,對,大概就像這樣子。
2934860	2941860	好,還是花了蠻多時間,不知道大家有什麼問題。
