start	end	text
0	26000	我們今天的講者是楊雲浦,那雲浦是UCLA的博士生,他的研究興趣是東亞劇場研究,特別是關於台灣跟中國的東亞劇場研究,還有性別與生理性別漢語研究跟數位人文研究,
26000	51000	他的論文是The Eroticism of Peking Opera Functioned Over the 20th Century,他同時是Collegian of University Teaching Fellow,也在UCLA的Digital Humanities Program教授Engaging Gender Performances in East Asian Theatres through Digital Storytelling,
51000	67000	他也是蔣經國國際學術交流基金會博士論文獎學金的獲獎者,他在台灣藝術大學劇場系拿到碩士學位,與台灣大學中文系拿到博士學位。
67000	77000	今天的演講題目是性別表演京劇昆生夢小冬與民國小報,讓我們歡迎雲浦。
97000	109000	我現在是博士候選人,所以我正在寫我的論文,所以這個主題是我論文裡面的其中一章。
110000	123000	在今天的演講裡面,我主要分成兩部分,第一個部分我會簡單為大家介紹誰是夢小冬,他的表演風格,還有他的個人私生活,他的婚姻。
123000	139000	第二個部分我會著重於帶大家探討大眾如何看這位女老師,從1920年代到1950年代,整個民國小報都是如何詮釋這位非常特別的女演員。
140000	161000	照例,因為在美國對一些比較色情、性暴力、死亡方面的內容都會比較敏感,所以trigger warning,就是等一下我們會談論到一些跟色情有關的、跟性有關的、跟性暴力有關的、跟死亡有關的內容,就大家要有個心理準備。
162000	170000	然後這個是今天我要介紹的主角夢小冬,他出生於1908年,然後在1977年過世。
170000	187000	他1908年的時候,如果我沒記錯的話,他是在上海出生的,然後1977年他最後是搬來台灣了,然後在台灣落腳,然後去世的時候葬在樹林,台北樹林那邊的公墓。
187000	193000	然後我記得就是網路上有人有分享那個墳墓的位置在哪裡,有興趣的人可以去看看。
193000	210000	對,然後他是京劇圈裡面非常非常知名的女老生,所謂老生就是說你在京劇舞台上扮演男性,扮演男性分成很多種,簡單來講就是老生就是指比較成熟的男性這樣。
210000	219000	那他非常有名的就是他是非常好的老生扮演者,那由女生來演老生我們會稱之為女老生。
219000	232000	這邊有一個就是很重要的概念要跟大家就是強調,就是我們很容易會說如果男生在舞台上扮演女生,或是女生在舞台上扮演男生,我們一般會說這是反串。
232000	250000	可是在京劇裡反串的意義完全不是這樣的,反串的意義是說比如說孟小冬她從小到大她的主要的行當她就是老生,然後呢她有一天突然在舞台上演了一個女的,這才叫反串。
250000	267000	如果她在舞台上演男的的話,這叫做本宮,本是日本的本宮做的宮,就是本宮她本來的行當,所以就是不要把一般的我們講的那種舞台概念的反串跟京劇裡面的反串搞混了。
267000	293000	再舉一個例子就是梅蘭芳,梅蘭芳是非常有名的就是但決的演員,所以我們在講梅蘭芳的時候,我們不會說梅蘭芳反串女人,我們會說梅蘭芳用她的本宮就是演出,但如果今天梅蘭芳在舞台上演一個男人,我們就會說梅蘭芳是反串這樣,就希望這個部分就是可以澄清一下。
293000	319000	然後孟小棟他非常著名的部分呢,是他是,呃,他也是說大家認為,我想應該到今天都還是,大家認為有史以來就是最好的愚派繼承人,那大家可能會問愚派是什麼派嗎?那梅蘭芳就是梅派,就是她有她的風格,梅派,愚派呢,就是余淑妍,余淑妍是中間這一個人。
320000	341000	他是愚派的創始人,然後他是1890年到1943年出生的,然後余淑妍他在老生界的地位也是非常非常高,到今天很多很多的京劇演員都還會說自己就是是學愚派,然後非常,然後會把他認為就是是愚派宗師,然後認為就是是一個傳奇泰山不可超越的存在。
342000	369000	像余淑妍這樣的人呢,他一輩子心高氣傲,所以他就只收過真正的收過兩個學生,我們說有時候演員他可能會,其他年輕演員可能會跟他學過一兩出,可是那都不是正式的拜師,正式的拜師呢,是他真正那些跟他磕頭下跪,然後送禮物,所有那個有名演員都來見證的這種真正的拜師典禮,我們才說這是真正的弟子,
369000	380000	那他這輩子收過的兩個真正的弟子,就是一男一女,男生是李紹春,就是左邊這一位,也非常也非常非常有名,然後女生就是孟小冬。
380000	396000	然後呢,有趣的點就是,照理說我們會認為一般在就是中國文化裡面,尤其是在京劇一個在民國時代非常的重男輕女的,或是清朝時代非常重男輕女的情況下,
396000	411000	非常有趣的是,大家其實普遍認為孟小冬是真正得到愚派真傳的人,因為李紹春太忙了,李紹春有一家子要養,所以呢,誰找他去演戲,他就去演,賺錢最重要。
411000	423000	那于楚嫣是一個非常認真的人,他非常的就是不以為然吧,就覺得我沒教你的戲,你也演,然後天天在那邊演什麼美猴王孫悟空,你這不是就是丟我臉嗎?
423000	451000	那孟小冬比較不一樣,孟小冬他,我們待會會講到他的婚姻,但基本上呢,反正他跟于楚嫣學戲的時候,他是單身狀態,所以他沒有一家子要養,那他也有更多的時間就是可以好好的跟在于楚嫣身邊學習,所以最後大家其實會認為真正就是得到于楚嫣親自,而且真正能夠跟于楚嫣學到東西的人是孟小冬,不是李紹春。
452000	480000	好,然後我們也會講到就是孟小冬的婚姻,左邊這一張呢,是孟小冬19歲的時候跟梅蘭芳結婚,右邊這個就是梅蘭芳,所以這個癲卵倒縫的存在就成為了當時八卦小報非常非常有興趣的,呃,一個八卦議題,就覺得啊,女生這女的演女老生,然後男的演就是蛋爵,就這樣的玩性別錯置的關係,
480000	509000	就讓八卦小報非常的津津得道,而且在那個時候,梅蘭芳也已經是就是非常有名的巨星了,對,流行娛樂巨星,但後來呢,他跟梅蘭芳離婚了,一直到了,呃,比較後,比較,呃,三十幾歲快四十之後呢,他嫁給了另外一個人,就是這個老先生,這個老先生看起來可能就是,呃,不太起眼,或者是你可能覺得他沒有什麼,可是呢,不要覺得沒什麼,
510000	528000	這個這位老先生,他其實是,呃,一九二0年代到五零年代上海那邊赫赫有名的青幫頭子,他的名字叫杜月生,簡單來講就是黑道大哥,而且是地位超級高的黑道大哥,然後孟小東成為了他的五姨太。
529000	539000	這張照片呢,是孟小東他,呃,演慶鼎珠的時候的舞台上的半像,就給大家感受一下。
540000	554000	然後在我們就是,呃,談論更多孟小東的故事之前呢,我也希望說找到一小段,呃,他的唱腔的錄音,然後希望可以給大家感受一下他,他的唱腔。
554000	576000	但是,喂,這個唱腔他不是一個就是很正式的錄音發表,是他在,呃,一九五零六年代,他在香港,他曾經有一段時間住在香港,他住在香港的時候,他自己在家裡就是,呃,吊嗓,請琴師來吊嗓的時候錄音,所以就是雜雜音會有點多,那請配訓幫我們播放一下。
584000	586000	你有辦法播嗎?
674000	675000	哦!
691000	692000	哦!
697000	698000	哦!
705000	706000	哦!
711000	712000	哦!
714000	715000	哦!
735000	736000	哦!
737000	738000	哦!
739000	740000	哦!
741000	742000	哦!
743000	744000	哦!
745000	746000	哦!
747000	748000	哦!
749000	750000	哦!
751000	752000	哦!
753000	754000	哦!
755000	756000	哦!
