start	end	text
0	8000	今天談話的講座我們請到陶毅哲
8000	12500	他的講題是台灣雙語政策與教育評論
12500	17000	講者為教師具備體育健康教育英文教師證
17000	21500	曾留學美國歐洲教育部公費留學澳洲昆士蘭大學博士畢業
21500	25500	研究興趣包括專業發展教育與運動相關議題
25500	29000	其博士研究主題中包括語言學習與跨文化溝通
29000	32000	如何講者找起語言學習心得
32000	37500	長期雙語教學經驗與近年台灣教育與社會的參與觀察
37500	41500	是國內極少數能在雙語政策與教育有實務面理論端
41500	46500	策略端有深入了解與宏觀見解之人士
46500	48500	那依據我們TARA傳統
48500	51000	我們會打開麥克風掌聲歡迎講者
51000	52000	大家準備好了嗎
52000	53500	那如果準備好的話
53500	55500	就讓我們掌聲歡迎講者
60000	61000	OK
61000	63000	好的謝謝
63000	69000	這些來賓是有在台灣也有在美國或在哪邊嗎
69000	73000	我可以了解聽者的背景嗎
74000	76000	我是在美國
76000	78000	OK 曾念院博士
78000	80000	其他的人呢
80000	82000	大概
85000	87000	可以打開麥克風
87000	89000	如果
92000	94000	或者是說
94000	96000	因為我不知道你們來聽的目的
96000	98000	不過我現在就直接開始
98000	100000	就是為了時間上
100000	102000	因為本來我是以為昨天
102000	104000	因為你們寄給我的時間
104000	107000	看起來是昨天的
107000	109000	就這個時間
109000	112000	所以我昨天是沒有拍事情
112000	114000	但是我等一下其實是
114000	116000	因為我的時間上
116000	119000	我可能就不會那麼的久
119000	122000	那就有機會我可以再分享
122000	124000	OK
128000	135000	本身我是目前在高中當老師
135000	137000	政大附中
137000	139000	然後
140000	143000	也在政大的教育系算衣中心
143000	145000	有兼任助理教授
145000	148000	那上的課就是算衣教來教法
148000	149000	那
149000	152000	可能各位看到我的算簡歷
152000	155000	就是我在雙語端
155000	158000	其實就是蠻多
158000	160000	跟許多機構有合作
160000	161000	那原因很簡單
161000	165000	就是回到我的早期的背景
165000	168000	我本身是念師大的
168000	169000	我念體育系
169000	172000	可是我其實英文就很喜歡
172000	175000	其實我高中的時候有考
175000	177000	那個英文保送考
177000	179000	然後大學念師大
179000	181000	我覺得要有專長
181000	182000	第二專長
182000	183000	所以我就特別去修英文
183000	184000	用考的
184000	185000	那是用考的
185000	186000	我現在都不用考
186000	188000	現在申請好像就可以
188000	193000	所以我就畢業後就拿到教師證
193000	197000	就是國內應該蠻少體育本科
197000	200000	然後又有英文教育證
200000	204000	那如果英文上對我來講
204000	208000	其實幫助我很大
208000	212000	所以我可能等一下的分享也會有
212000	215000	我希望蠻中性的去觀察
215000	218000	去評論國內的雙語的狀態
218000	220000	但是我自己還是有一些
220000	223000	所謂的想法或理想
223000	226000	這是因為跟我的學習經驗有關
226000	228000	其實在學習英文的時候
228000	230000	我講坦白
230000	232000	我覺得英文老師對我影響不大
232000	234000	我們都是靠自學的
234000	237000	那其實自學講到重點就是說
237000	239000	我其實
239000	242000	就是現在教育部一直在談素養
242000	243000	素養導向
243000	248000	我其實學英文不是為了考試
248000	251000	所以我在英文的運用上
251000	253000	在中學我就是開始
253000	256000	在日常生活中就實踐它
256000	257000	So this is how I do it
257000	258000	我去學校的時候
258000	262000	基本上我就會請同學
262000	265000	試著我們來英文的互動
265000	267000	那個時代
267000	269000	因為我現在46歲
269000	272000	你想當時幾歲的時候
272000	273000	那個年代其實
273000	275000	大學一定很難考
275000	277000	那時候還是不容易考
277000	279000	但是就是說
279000	280000	大家考試準備都來不及了
280000	282000	你怎麼可能
282000	284000	怎麼可能還要像我們這種
284000	288000	就是要講英文
288000	290000	然後聽英文音樂
290000	292000	然後查英文單字等等
292000	294000	可是其實那時候這樣的學習經驗
294000	296000	對考試是反而是有幫助的
296000	298000	所以這也會影響到
298000	300000	我目前對今天的主題
300000	302000	雙語政策的一些
302000	306000	比較直觀式的看法
306000	308000	那總之
308000	311000	我後來是教育部公費考上
311000	313000	考上那個
313000	316000	就是有獎學金嘛對不對
316000	318000	然後後來就選那個
318000	320000	澳洲昆士蘭大學的人類
320000	322000	Human Movement Studies
322000	325000	作為我去讀博士的
325000	329000	科系跟地區學校
329000	333000	那個時候我做的研究是偏
333000	335000	因為我本身是公費留考的項目
335000	337000	我考到獎學金是
337000	339000	那個
339000	341000	Force Coaching and Training
341000	343000	運動訓練跟教練學
343000	346000	它是比較偏自然科學導向的
346000	349000	一般在台灣的典範是這樣子
349000	352000	但是我後來到澳洲跟著老師
352000	354000	他們是比較走
354000	356000	有點偏向運動心理學
356000	357000	運動教育學
357000	359000	運動社會學這種
359000	363000	有點interdisciplinary的這種area
363000	365000	所以因此我的博士論文
365000	369000	是比較走執行研究
369000	371000	那題目我是研究
371000	373000	那個當地的等於是
373000	377000	一個奧運代表隊的組織
377000	380000	關鍵字叫做工作場域學習
380000	383000	Workplace Learning
383000	384000	那Workplace Learning
384000	387000	這是我用的一個場域
387000	388000	一個area
388000	390000	那在裡面我就去研究
390000	392000	裡面的專業人才
392000	394000	怎麼去持續專業發展
394000	396000	所以我那時候找的奧運代表隊
396000	399000	其實是他們的奧運跳水隊
399000	402000	那如果說你去看澳洲在2000年以後
402000	405000	他們可以陸續拿到跳水的金牌
405000	409000	那當然如果你對運動有一定理解
409000	411000	你知道跳水通常是中國在支霸
411000	414000	那為什麼澳洲可以在2000年開始
414000	417000	就陸續拿到前三名真的金牌
417000	420000	原因就是因為他們聘了外籍的教練
420000	425000	特別是那個來自中國的菁英教練
425000	427000	所以那時候我的研究議題
427000	431000	是研究這些人怎麼去跨文化的
431000	433000	一起學習發展
433000	435000	那當然關注的教練
435000	437000	主要還是在教練本身
437000	440000	比方說他的專業技能怎麼獲得的
440000	442000	那當然跟他早期的經驗有關
442000	443000	運動員經驗
443000	446000	或是他可能在哪邊有執教過
446000	448000	但有一個質疑題
448000	451000	很重要的是關於他們的跨文化溝通
451000	455000	也就是說他們的語言
455000	458000	因為澳洲的要求跟台灣不一樣
458000	462000	他的外籍的人員到那邊去
462000	464000	當然就是要用他的official language
464000	466000	不像台灣我們
466000	467000	如果大家知道的話
467000	471000	像魔獸 Howard來台灣很紅
471000	475000	可是我們依然就幫他派translator
475000	477000	這是國情上的差異
477000	479000	澳洲就是要求
479000	481000	無論你是去哪邊工作
481000	483000	因為你是廚師
483000	486000	你是專業的人員
486000	490000	你都必須用他們的官方語言去溝通
490000	492000	所以這對外籍教練就是一個挑戰
492000	495000	特別是非英文系國家
495000	496000	因此我有一個議題
496000	497000	也是問他們說
497000	500000	那你們怎麼學語言英文的
500000	502000	當然這裡面的話就變成說
502000	506000	融合我之前我本身師大的訓練
506000	509000	個人長期英文的興趣
509000	512000	還有我研究上面的訓練
512000	515000	所以我就變成
515000	519000	我對算語政策就有這方面的部分
519000	521000	最重要的是其實
521000	523000	在2030算語國家
523000	525000	或2030算語政策
525000	527000	在2017年開始之前
527000	529000	啟動之前
529000	533000	我本身教書已經教了可能15年以上
533000	536000	我大概在2000年以後
536000	539000	就是等於是讀書
539000	541000	研究所打工
541000	543000	或者甚至後來當實習老師
543000	545000	帶老師 正式老師的時候
545000	548000	我其實就有在所謂的
548000	551000	試讀全英文或算語的體育教學
551000	554000	因此我這方面又有15幾年
554000	556000	也因為有這樣的狀況之下
556000	561000	我就變成對這個政策來講
561000	566000	就跟國內的很多一線工作者
566000	567000	教學工作者
567000	572000	或者是有一些在政治層面去批判的人
572000	574000	我是完全就
574000	577000	我是沒有問題的
577000	580000	甚至在理論端我可能在
580000	583000	在Bilingual Theory相關的framework
583000	587000	我其實也剛好有英文的背景訓練
587000	589000	所以我很快的就
589000	591000	不要只從經驗主義
591000	593000	經驗事物學習
593000	594000	去理解雙語
594000	597000	我自己本身也會
597000	602000	在科研的部分會有一定的東西了解
602000	604000	所以因此
604000	606000	當然在我的本科專業之外
606000	610000	我其實雙語教育部分
610000	618000	是我目前滿主要的一個興趣
618000	621000	我自認是很明確的專業
621000	625000	大概是以上的
625000	628000	當然另外有一個情況
628000	630000	我這邊要講就是說
630000	633000	其實我除了去澳洲念書之外
633000	637000	我其實研究所前期有去柏克萊
637000	641000	所以那時候的衝擊也對我不小
641000	645000	因為我在去美國之前
645000	647000	我在台灣學的英文
647000	649000	雖然說是非典型
649000	650000	也是要應用
650000	652000	可是你還是會發現到
652000	655000	你去那邊的落差
655000	657000	比方說他們的Everyday English
657000	661000	還是跟我們的training是不一樣的
661000	666000	所以這也會讓我去對雙語政策的想像
666000	668000	或是認為實際上才會怎麼做
668000	672000	會有一些更多的觀點來看
672000	674000	包括我去歐洲旅行的時候也是
674000	678000	我那時候代表國家去IOA
678000	683000	希臘開他們的國際奧林匹克青年研討會
683000	686000	我也有留意到就是說
686000	689000	Official language is English
689000	690000	或者是
690000	693000	我記得那時候大家都用官方語言
693000	697000	包含我昨天參加一個東北亞的
697000	699000	我們是台灣、日本跟韓國的
699000	702000	等於運動教育背景的學者
702000	703000	大家聚在一起
703000	704000	都是用英文
704000	705000	但你會發現
705000	708000	像我昨天是當日本跟韓國
708000	710000	oral poster的moderator
710000	712000	我是等於主持他們
712000	715000	他們的英文口音真的很重
715000	717000	所以你會想到很多
717000	718000	你會遭遇到
718000	720000	我自己本身就一直遭遇到這種問題
720000	723000	然後當然對雙語政策這個大致
723000	724000	下面的細節
724000	726000	我就蠻有感覺的
726000	728000	當然我也有solution
728000	730000	所以今天我大概的分享
730000	733000	可能是要針對幾個
733000	735000	主要的議題講一下
735000	738000	然後科研目前做到什麼程度
738000	741000	然後看大家有什麼互動
742000	744000	所以這張圖就是說明了
744000	746000	我學語言
746000	747000	不是這個
747000	748000	POPFISH
748000	750000	黑色錐麒麟
751000	756000	我就是從實際的生活來用語言的
756000	758000	大概是這個情況
761000	764000	其實剛才前面講這麼多
767000	769000	思想上
769000	772000	如果你們有興趣
772000	774000	你去google我的名字
774000	776000	你會發現我有很多
776000	779000	雙語端的看法
779000	780000	評論
780000	782000	而且有實作的東西
782000	783000	當然除了雙語之外
783000	784000	我也有很多其他的東西
784000	787000	所以有興趣的google我
787000	788000	google我
788000	790000	你就會發現
790000	795000	我在很多層次都有一些
795000	796000	作品
796000	797000	評論等等
797000	799000	科研的成果
801000	803000	好像在獨立評論嘛
803000	805000	天下雜誌
805000	810000	我大概至少有五篇
810000	812000	五篇
812000	815000	從現象端去談
815000	818000	談雙語教育的
818000	819000	可以
819000	821000	能與不能
821000	824000	特別在
824000	826000	學科老師
826000	827000	的問題
827000	829000	另外其實
829000	832000	雙語國家會遇到一個政治性的問題
832000	834000	就是說
834000	838000	其實雙語它本身
838000	840000	對policy maker
840000	842000	更上面那個
842000	843000	叫做
843000	844000	maybe our
844000	846000	champion command
846000	848000	也就是我們的領導階層
848000	849000	他看雙語
849000	851000	他不是像我們學術端
851000	853000	或教育端看的那個
853000	855000	我們以為會增加國家競爭力
855000	857000	他可能想的是
857000	859000	更政治性
859000	861000	更政治戰略性
861000	863000	所以我有一篇也是談到說
863000	865000	雙語國家
865000	867000	在語言選擇上
867000	869000	是否能
869000	870000	就是
871000	873000	走出自己的路
873000	875000	不過後面我幾篇還是在談說
875000	876000	回到最務實
876000	877000	就是說OK
877000	881000	如果有哪些紀錄層次被解決
881000	885000	那比方說你考課
885000	887000	因為大家都知道國語輸出的字
887000	889000	大家都經過那個階段
889000	891000	它都是中文出題
891000	893000	那如果今天你要玩雙語國家
893000	894000	或雙語政策
894000	897000	如果你的試題
897000	899000	你真的用
899000	900000	中文試題
900000	901000	雙語試題
901000	902000	全英文試題
902000	905000	如果國家教育部真的要這樣做
905000	907000	光這個最大的問題
907000	909000	這其實是一個
909000	911000	因為大家都知道台灣是考試進來
911000	913000	有教學的國家
913000	918000	或者是這是一個想像的一個地區
918000	921000	那如果真的教育部這樣做
921000	924000	我個人看法
924000	928000	雙語應該會走得更像那麼一回事
928000	930000	而不是說
930000	932000	像現在都是普遍找
932000	935000	所謂的非考課老師
935000	937000	科目
937000	938000	體育美術
938000	940000	音樂這種先來做
940000	941000	變成
941000	944000	明明他前面的課還在上
944000	946000	中文的數學
946000	949000	這個尾級分
949000	950000	生物學
950000	951000	立憲體等等
951000	952000	那就
