start	end	text
0	30000	好,那從現在開始呢,我們就開始進到錄影的部分,那以之後呢,這個部分,這個這個演講我們也會放到YouTube上面,那歡迎大家再到那邊去重播,好,那麻煩你share你的screen,ok,ok,我先在我share我screen之前先跟大家講一下我是誰,我是陳鼎文,謝謝剛剛這個領袖的介紹,那我是鼎文,陳鼎文,耳東陳醫生,我是陳鼎文,我是陳鼎文,我是陳鼎文,我是陳鼎文,我是陳鼎文,我是陳鼎文,我是陳鼎文,我是陳鼎文,我是陳鼎文,我是陳鼎文,我是陳鼎文,我是陳鼎文,我是陳鼎文,我是陳鼎文,我是陳鼎文,我是陳鼎文,我是陳鼎文,我是陳�
30000	56400	鼎文,張德文,我現在在德國的哥提根大學這邊做博士後研究,那我其實覺得TARA是一個蠻有趣的團體,我也很喜歡這個團體它的利益,它的宗旨是什麼?它就是要幫助台灣的年輕人、年輕的學者們能夠有一個平台,那在這個平台上我們可以彼此交流,可以認識,大家到底都在忙什麼? 都在從事不同哪些方面的研究?
56400	75760	那我自己為什麼會知道TARA呢? 其實是因為Facebook看到的,那也不知道為什麼就突然有一天這個廣告就出現,然後我就覺得這個是台灣年輕學者,它其實就是TYRA,A是association,R是researcher,TYY是什麼呢?
76240	102400	Young scientist,Young researcher,Y是年輕,然後T就是台灣,我想說我作為一個台灣的年輕學者,我應該就要參加這樣子的團體,那我其實小時候到我主要高中,然後大學碩士的整個過程都是在台灣,那我是到了博士才有機會到了歐洲這裡做研究,那TYRA對我來講它是一個另外一片天地,
102400	127840	因為我知道TYRA大部分的成員是來自於美洲,那我就想要去認識這群美洲的朋友,他們會不會有跟我一樣做生態的研究,或者是不是有跟我一樣對土壤特別感興趣,那是不是有人也是在做演化的研究,所以我很想要認識這群人,所以我就加入了這個團體,然後就報名了他們的一些活動,比如說他們就有一個導師導生的計畫,
127840	157280	在這個計畫中他們就幫助現在還在台灣的年輕人,然後藉由我們這些可能已經跑到國外去求學工作的人,然後我們來幫助他們,讓他們在國外的求學的路上,就是找尋國外求學這條路上或許會有一些的先例可見,然後我們也可以在我們這個辛苦的求學的這個路程中,我們所收穫的,我們所經歷的能夠跟他們分享,
157440	181760	讓他們不要再走這些冤枉路,或是讓他們能夠找到比較好的方式,能夠去探索到他們未來的職涯發展。好,那這個就是簡單跟Tara的淵源,那我應該要開始我的演講,我會覺得其實這個可能會像是一個分享的過程,我不太把我不太想把它弄得是一個很正式很嚴肅的一個報告,
181760	211440	那如果大家在任何在我講解的過程中說明的過程中有什麼問題的話,你們都可以隨時發問,當然我知道可能也不會有人正式的發問,那我其實還有一個小小的請求,就是能不能請你們如果方便的話,打開你們的鏡頭讓我看看你們,因為我希望從你們的臉上從你們的表情知道到底是不是這個部分特別難懂,還是說這個部分你們覺得特別的無聊,或是覺得哪裡特別的好玩有趣,那我可以再多加的說明,最方便的話,麻煩你們
211760	235760	打開你們的鏡頭讓我看看你們,好,那我現在就可以開始來講了,首先我要先分享我的screen,我盡量把握時間,因為我知道我們今天只有一個小時的時間,你們現在看到了什麼呢?你們現在是不是看到了我分享的screen?
236240	239040	林英雄那邊有看到我分享的screen了嗎?還是還沒?
242800	256960	有,沒問題,你有看到我分享的screen,好,OK,現在看到的就是這個地底下的一個植物的根的構造,當你放大去看的時候,你會看到什麼呢?
257680	264960	有沒有想過這個問題?踩在我們的腳底下,有沒有我們所不知道,我們所沒看過的生物呢?
264960	265920	我是一個土壤生態學家,我對於群落生態學還有土壤動物的演化特別感興趣,那同時我還是一個佈局分析,專門從事數據分析工作的人,那我也是一個,我認為我是一個mentor,是一個導師,因為我參加了TERA的這個導生導師的計劃,那同時還有指導一些大學生,碩士生,甚至是博士生,那同時我還是podcast的,我自己有在經營,其實那個是2020年的事了,我自己有在經營,那同時我還是podcast的,我自己有在經營,其實那個是2020年的事了,我自己有在經營,那同時我還是podcast的,我自己有在經營,其實那個是2020年的事了,我自己有在經營,其實那個是2020年的
294960	314960	我自己有在經營一個算是學術的稍微有點科普的podcast,這個叫做你讀paper的嗎?關於土壤生態的那些事,那有些朋友可能會透過這個podcast認識我,那我也很開心你們能夠參與我的演講,然後聽我分享我的工作,我的學習的過程。
315960	338960	好,這個是一個歐洲的很典型的山毛菊的森林,那在這個森林裡面,我如果告訴你說這邊有很多有成千上百的動物,在這個森林裡面,你從這張照片你可以看到什麼?其實你看不到它們,它們到底在哪裡呢?
338960	367960	它們其實就生活在這些落葉層裡面,還有在落葉層下面的土壤中,那如果你去挖一塊土壤起來,你現在看到這張照片它是一個土壤的一個微波面,它大概寬是5公分,深大概也是5公分,5到10公分,那在這樣子的一個小小的空間裡面,你可以看到一個很像迷宮般的一個構造。
368960	384960	你可以看到最上面的那個部分是有落葉,然後下面的部分是比較緊實的土壤,那在這樣子一個小的空間中,它會產生一些環境的梯度,比如說水,水分就有一個梯度。
385960	404960	如雨水掉下來的時候是落葉比較濕,然後它會慢慢地往下流,那另外也會有氧氣的梯度,還會有營養的梯度,那像這樣子一個抑制性很高,就是它差異很大,環境差異很大,一個小空間中,它就有辦法容納各式各樣不同的生物。
405960	430960	那這樣子的一個空間我們稱它是土壤,但是在學術上我們會另外用一個詞叫做凋落物,或者是這是一個碎石生態系,英文就是Detritus,那住在這裡面的動物們,我們會假定它就是吃這些腐蝕質,吃這些植物的還有動物的殘體,所以又被稱為石碎屑者,Detritivores。
431960	446960	那住在這個土壤或是凋落物落葉中的這些動物,你可以想它到底多少?
447960	469960	就是就我們的調查經驗來講,在一平方公尺的土壤中,我們可以有機會看到一萬隻到兩百萬隻的土壤動物,這是一個很驚人的數字,你想想看你一天吃了多少米,但是在這樣子一個小小的空間你可以看到這麼多個體數量的動物,那到底有多少種呢?
469960	496960	你現在圖片中看到這些奇妙的動物,神奇的動物,它們都是土壤動物,大概有六十到兩百種的物種可以生存在一平方公尺的文歹森林中,那大部分這些土壤動物它很小,它的體型大小雖然現在看照片很大,但其實大部分的體型大小都是小於一公分的,那這些小於一公分的土壤動物,當然也有大於一公分的像是蜈蚣、馬鹿、蜘蛛,它們是大於一公分的,
496960	524960	那小於一公分的這些土壤動物我們一般稱作土壤中型動物,為什麼我要講土壤中型動物呢?因為那個就是我研究的主題,土壤中型動物相對於就是有像跳蟲、甲蟎這些,我們就稱作是小型的無脊椎動物,但是比這些一公分還小的,比如說比兩公里還小的動物的土壤動物,那有可能就是所謂的小型土壤動物,
