start	end	text
0	22000	今天是2022年10月8號的Tyra Talk,我們今天邀請到的講者是鄭懷傑,他要講的題目是Jupiter Hub,迷你工作房,開放科學的雲端基地。
22000	40000	讓我稍微介紹一下懷傑的背景。懷傑是在2010和2013年的時候在台大分別取得學士和碩士學位,
40000	50000	接下來在2015年前往康奈爾大學就攻讀地球與大氣科學的博士。
51000	68000	在去年2021年加入了加州伯克萊大學統計系的研究團隊,現在是博士後研究員的身份在執行Jupiter meets the Earth的計畫。
70000	86000	今天他會教我們認識Jupiter Hub,他也有提到參加這個演講不需要任何背景知識和程式設計的技巧,
86000	100000	不過如果要在演講時同步存取Jupiter的資源,必須要準備Google或者是Microsoft的帳號,然後以進行第三方登錄,所以大家可以先準備一下。
101000	105000	我的介紹就到這邊,時間就交給懷傑了,可以嗎?
106000	117000	懷傑議員 沒問題,謝謝施安的介紹。歡迎大家,也非常榮幸能夠再次邀請到Tara進行演講。
117000	127000	我上次的演講是在今年1月,稍微跟各位分享一下我現在在UC Berkeley做的事情。
128000	132000	這一次,與其說是教,不如說是分享。
133000	137000	這一次,我想把重點放在Jupiter Hub這個工具上面。
138000	158000	我是想用迷你工作坊的方式來跟各位分享一下Jupiter Hub到底是什麼,以及為什麼我們叫他開放科學的雲端基地,然後他又可以怎麼樣的轉換我們對於開放科學的一些實踐的方法。
161000	164000	OK,開始囉。
165000	176000	那麼,剛才施安有稍微介紹一下我在哪,目前是在哪邊,那我就稍微再補充一下。
177000	187000	那我本身的專業領域是地球科學,或是更精確地說是地球物理、遙測、冰雪圈科學跟行星科學。
188000	199000	目前我現在大部分在做的研究是使用豐富的衛星遙測資料,再加上模型分析,監測並了解冰雪圈的變化。
200000	214000	舉個例子,你可以看到這邊有一個衛星,它在繞著地球上面,然後會發射出綠色的雷射光,然後打到地表之後,這個衛星會再接收反射的雷射光。
215000	225000	然後根據這個時間再乘上光速,就可以算出來衛星跟地表的距離,再換算成地表的高度。
226000	239000	如果我們可以對一個冰河重複地做這件事情,我們就可以獲得一個冰河隨著時間經過表面的高度,或是你也可以說冰的厚度的變化。
240000	249000	然後我們再利用一些物理的模型去探討分析說,到底是有什麼因素影響了這個冰河的厚度變化。
250000	253000	聽起來蠻酷的,我自己也很喜歡。
254000	261000	不過其實大部分的學術活動,我現在在從事大部分的學術活動,我想跟各位的應該都是差不多。
261000	276000	就是必須要進行研究,然後在適當的時候解釋你自己的研究,給其他人聽,包括同行的科學家,以及不同領域的人士。
278000	288000	除了研究之外,我們會有教學活動,就是我們會寫一些軟體給其他人用,這些我都有稍微做。
289000	298000	這邊放的幾張圖,就是我在過去幾年做過的一些事情,包括開發了一個叫做CARS的軟體在這邊。
299000	309000	我也寫了一個叫做GMT教學手冊的網站,簡單來講就是教別人怎麼用GMT的軟體畫圖。
310000	337000	右下角這張圖則是在我2019年發表的一篇論文裡面,我那個時候跟論文的出版商合作了一下,討論說要怎麼樣做一些材料,可以讓我們能夠更快速、更有效率地去傳達論文的一些新的知識,
338000	340000	然後做成一個新聞稿。
343000	352000	回到我們今天的主題,我們今天要講的是JupyterHub。JupyterHub要如何改變這些我們每日進行的學術活動呢?
354000	359000	在講JupyterHub之前,先稍微提一下Jupyter是什麼樣子的概念。
360000	375000	如果要用一句話去解釋Jupyter是什麼,我會說Jupyter是由開放的資料科學工具組成的生態系統,以及使用它的人組成的社群。
376000	380000	這邊可能有一些專業的術語,所以我再稍微解釋多一點。
380000	388000	這邊所謂的工具是指,如果你今天要完成一件事情,你使用的東西。
390000	396000	舉例來說,Photoshop就是一個影像編輯的工具。
398000	405000	Matplotlib則是在Python底下的一個用來進行科學繪圖的工具,有點像是這樣子。
406000	417000	至於開放這個詞,倒是稍微比較模糊一點,因為老實說,有很多不同的面向都會被我們考慮成是開放的。
418000	426000	舉例來說,它可以指說,你使用的工具,它的原始碼可能是公開的,任何人都可以修改。
427000	439000	另外一方面的開放,有可能指的是,你使用的合作方式可以讓盡可能多的人參與,然後貢獻跟討論。
440000	453000	不管怎麼說,開放這個詞的中心概念就是不要排外,就是能夠讓盡可能多的人參與到你現在在做的這件事情上面。
454000	470000	所以我們會有很多的工具,有些工具是軟體,有些工具可能是硬體,甚至於有些工具是專門描述軟硬體之間怎麼樣結合交互作用的結構。
470000	487000	這些工具跟一般工具不太一樣,你想想,如果放在一個工具下面的工具,可能螺絲起子是用來鎖螺絲,然後老虎鉗可能就是用來扭鐵絲,它們各自都是各自獨立的。
488000	494000	在資料科學裡面,我們所謂的工具,它們時常會互相的依賴。
495000	500000	舉例來說,如果你今天要使用Mathplotlib,你就必須要先安裝Python。
501000	505000	安裝完Python之後,你才可以安裝Mathplotlib,它才會作用。
506000	516000	如果你去把不同的工具之間的相互依賴性畫出來,你就會看到一張很像網路的圖,然後會有點像是那種實物鏈的感覺。
518000	524000	所以我們就會傾向於把這整個工具以及它們之間的相互依賴關係稱作一個生態系統。
525000	530000	像Jupyter這樣子的生態系統,其實它的年紀也沒有很長。
531000	549000	整個開放科學的概念其實到目前為止也才不過出現了我會說二十年,可能各位的體感更短,因為剛開始的前十年都是在草創階段,並不是很多人真的都完全被暴露在這種概念裡面。
550000	566000	其中一個很有可能你接受到這個暴露的時間點,我猜是2015年,因為那個時候LIGO發表了人類史上第一次的重力波觀測事件,震驚了全球。
567000	571000	可能他們得到了2017還是2018諾貝爾獎。
576000	584000	LIGO這個重力波觀測天文台他們做的當然不止於此,當然他們寫文章,然後蓋天文台非常厲害。
584000	597000	不過他們還有一個開放科學的部門,這個部門把他們所有的重力波觀測的事件的資料都整理好,然後發佈到網上。
