start	end	text
0	2000	這樣能看到嗎?
2000	4000	可以
4000	6000	OK
6000	8000	大家好
8000	10000	我是莊育南
10000	12000	可以叫我Allen
12000	14000	我現在是
14000	16000	Rice University的PhD學生
16000	18000	我讀的是
18000	20000	Computer Science
20000	22000	我現在是二年級
22000	24000	我在做的研究就是
24000	26000	像是剛才那個
26000	28000	主持人提到的
28000	30000	Predictable Machine Learning
30000	32000	或者是這種Explainable
32000	34000	Artificial Intelligence
34000	36000	目的就是在
36000	38000	介紹
38000	40000	這個Machine Learning Model
40000	42000	為什麼會做出這種Prediction
42000	44000	你要去給他一個解釋
44000	46000	讓人家去
46000	48000	信服你說
48000	50000	這個Prediction Result
50000	52000	不是亂來的
52000	54000	OK
54000	56000	講一下我的
56000	58000	自我介紹
58000	60000	我以前在台灣念碩班
60000	62000	我以前做的是
62000	64000	推薦系統
64000	66000	做推薦系統相關
66000	68000	等下Q&A如果有推薦系統相關的問題
68000	70000	也可以問我
70000	72000	但我會盡量回答的出來
72000	74000	OK
74000	76000	我以前是
76000	78000	大學的時候念數學
78000	80000	我大學在四年級
80000	82000	畢業以前我是不會寫Code
82000	84000	我連一行Code都看不懂
84000	86000	所以
86000	88000	在這邊鼓勵
88000	90000	還想學Code的人
90000	92000	不要放棄
92000	94000	都有機會
94000	96000	努力練練練
96000	98000	應該是大家都有機會
98000	100000	可以去做這件事
100000	102000	OK
102000	104000	那今天的話主要是
104000	106000	OK
106000	108000	那個
108000	110000	我只是想要講說
110000	112000	這開頭太勵志了
112000	114000	反正
114000	116000	今天我不是什麼大師
116000	118000	我只是一個
118000	120000	普通的二年級的PhD學生
120000	122000	所以你如果要打斷我的話
122000	124000	你就直接開啟你的麥克風
124000	126000	然後把我打斷都沒關係
126000	128000	OK
128000	130000	那我就開始吧
130000	132000	OK
132000	134000	今天的Outline會比較是
134000	136000	著重在四個點
136000	138000	第一個就是我來介紹一下
138000	140000	什麼是XAI
140000	142000	什麼是可解釋機器學習
142000	144000	然後再來就是
144000	146000	接下來就是比較偏向
146000	148000	我的研究的部分
148000	150000	在可解釋機器學習裡面
150000	152000	主要會有兩種
152000	154000	一種是模型的本身就有可解釋性
154000	156000	舉個例子來說
156000	158000	大家可能有聽過二分法術
158000	160000	就是Decision Tree
160000	162000	這種Decision Tree的話
162000	164000	它在做Prediction
164000	166000	我們可以看到它的決策過程
166000	168000	那這種就是
168000	170000	它本身就是具有可解釋性的
170000	172000	Machine Learning Model
172000	174000	那另外一種是像是
174000	176000	你們比較常聽到的神經網路
176000	178000	然後像是
178000	180000	Deep Neural Network
180000	182000	就是那種Fully Connected
182000	184000	那種就是Black Box Model
184000	186000	那它本身就不具有可解釋性
186000	188000	因為你不知道它裡面的那些Learning Weight
188000	190000	就是那些學習的那些Weight
190000	192000	到底怎麼分布
192000	194000	或是怎麼去讓這個Model
194000	196000	學習的這個動作
196000	198000	所以我們就需要一個
198000	200000	事後的解釋
200000	202000	就是我在模型學Prediction Model
202000	204000	學完之後
204000	206000	我再額外去Learn一個
206000	208000	我們叫Explainer
208000	210000	就是專門用來解釋的模型
210000	212000	去解釋那個Prediction Model
212000	214000	然後這種的學習方式叫做Post-Hoc
214000	216000	就是After Prediction Process
216000	218000	OK
218000	220000	然後再來就是我來講完這個之後
220000	222000	我來講一下
222000	224000	這個XAI目前有什麼應用
224000	226000	大家如果不是Computer Science
226000	228000	背景的人可能也不要
228000	230000	就是會覺得
230000	232000	我到底學的有什麼用
232000	234000	我講一下現在有什麼Open Source Package
234000	236000	就是
236000	238000	可以做這個
238000	240000	Explainable Model
240000	242000	那當然現在就是大家都用Python
242000	244000	所以我就是講了兩個Python的
244000	246000	Open Source Package
246000	248000	然後跟大家說其實
248000	250000	這個東西不是想像中的遙不可及
250000	252000	就是每個人在每個人領域
252000	254000	當你有Prediction Model
254000	256000	你想要做Explainable
256000	258000	那人人都可以有機會
258000	260000	可以踏進這個領域
260000	262000	OK好那接下來就來
262000	264000	講一下什麼是
264000	266000	什麼是XAI
266000	268000	OK那就是
268000	270000	人工智慧在
270000	272000	在我們日常生活中
272000	274000	已經有很多很多應用了
274000	276000	像是這最近很
276000	278000	前陣子比較流行的
278000	280000	就是DeepMind不是
280000	282000	就是去玩這個
282000	284000	然後他可以下贏那個
284000	286000	人類的Expert
286000	288000	那前陣子
288000	290000	還有DeepMind
290000	292000	有給了一個叫Alpha Tensor
292000	294000	跟Alpha那個叫
294000	296000	算蛋白質的那個東西
296000	298000	那其實上他們都是
298000	300000	就是那種機器人
300000	302000	強化學
302000	304000	強化式學習的
304000	306000	這種應用在日常生活
306000	308000	領域當中
308000	310000	像是一些Medical Diagnosis
310000	312000	就是例如說我給你一個X光片
312000	314000	然後你希望這個
314000	316000	機器人的Model判斷你有沒有腦瘤
316000	318000	那他就會說
318000	320000	有或沒有類似這種
320000	322000	或是甚至說你給今天一個
322000	324000	機器人的Model說你今天有
324000	326000	咳嗽有什麼症狀
326000	328000	然後他幫你判斷你到底得了什麼病
328000	330000	類似這種的Medical Diagnosis
330000	332000	或是像是
332000	334000	Tesla的Autopilot
334000	336000	就是這種
336000	338000	自動駕駛
338000	340000	他不是會Detect
340000	342000	就是有什麼物體
342000	344000	然後他會給你一個最佳路徑
344000	346000	讓你這個車子去開
346000	348000	再來就是Voice Recognition
348000	350000	像是Alexa
350000	352000	不知道大家有沒有用過智慧音響
352000	354000	你只要對這個音響講的時候
354000	356000	他就會偵測你的
356000	358000	語音然後把這個東西
358000	360000	轉換成
360000	362000	文字
362000	364000	然後透過這個文字
364000	366000	Online Server去Request
366000	368000	或是像最近Meta有個很紅的
368000	370000	Speech to Speech
370000	372000	就是把台語轉換成英文
372000	374000	那個也很神
374000	376000	所以就類似這種AI的
376000	378000	應用在日常生活中越來越常見
378000	380000	OK
380000	382000	那但是
382000	384000	就是我們其實很難知道
384000	386000	就是這些模型就為什麼會去
386000	388000	做出這些判斷像是
388000	390000	假設你去看一個醫生
390000	392000	然後今天醫生推了一個
392000	394000	然後你把
394000	396000	你的病狀全部輸入這個
396000	398000	模型他就說
398000	400000	你今天只是感冒你信嗎
400000	402000	為什麼就問你為什麼會做出這個
402000	404000	判斷或者是
404000	406000	今天Tesla給你一個
406000	408000	最佳的
408000	410000	自動駕駛
410000	412000	路線規劃
412000	414000	他給你給出來之後
414000	416000	你真的按照他這樣開你真的覺得
416000	418000	他不會出事嗎
418000	420000	這個決策過程中
420000	422000	如果能夠提供
422000	424000	說今天是因為
424000	426000	這個模型學到什麼什麼特徵
426000	428000	或是他感知到了
428000	430000	例如說有一個行人走過去他停下來
430000	432000	或是他覺得他detect
432000	434000	前方是綠燈
434000	436000	這種感知的
436000	438000	這種為什麼的這種過程
438000	440000	如果提供給使用者的話
440000	442000	那他其實上可以增加
442000	444000	人們對這個模型
444000	446000	對prediction model這種機器學習
446000	448000	模型的這種可信度
448000	450000	對吧
450000	452000	所以整個這個xai
452000	454000	他其實就是在做一件事
454000	456000	他希望提供給使用者一個
456000	458000	合理的原因
458000	460000	例如說因為這個模型
460000	462000	學了什麼特徵
462000	464000	或是這個模型
