start	end	text
0	5000	歡迎大家來到今天的這個Taira Talk
5000	10000	Taira全稱是Taiwanese Young Researcher Association
10000	14000	那是一個屬於台灣年輕研究者的一個場域
14000	16000	那我們全年度呢
16000	20000	每週的週末都會舉辦這個活動叫Taira Talk
20000	24000	那這個演講的形式呢是很自由很多元的
24000	28000	那我們會邀請各個領域不同的學術研究者呢
28000	31000	聲音職涯的階段
31000	33000	來這邊分享他們的研究成果
33000	36000	或是練習這個線上演說的技能
36000	40000	或是我們希望藉由這個平台呢
40000	45000	評估自己未來可能的合作者
45000	51000	那我們今天的講旨
51000	56000	就是目前Northam的物理系任教
56000	63000	大家在剛剛的這個演講的
63000	67000	剛剛的這個PowerPoint裡面應該有看到
67000	69000	就是我們下兩週的演講
69000	84000	下一週的演講是一個可解釋機器學習的演講
84000	89000	也是同樣時間是在禮拜天晚上的六點
89000	90000	對不起
90000	93000	西岸時間晚上六點半
93000	96000	然後十月二十九號西岸時間晚上六點半
96000	99000	那再下個禮拜呢就是十一月一號
99000	101000	就是我們重新開啟一個section
101000	103000	那十一月一號的演講呢
103000	105000	也是一樣晚上六點半
105000	109000	是一個關於這個行為實驗探討人
109000	114000	對於勞動量與財富重分配的正當性偏好
114000	116000	是一個經濟學相關的演講
116000	117000	所以有興趣的呢
117000	122000	可以歡迎follow Tara的專跟Tara的演講內容
122000	125000	那今天的講者徐老師呢
125000	130000	他是2009年畢業於國立清華大學
130000	135000	然後後來他就來了來Cornell念PhD
135000	136000	念Physics的PhD
137000	145000	然後在2017年的時候獲得了Degree
145000	150000	那在Cornell讀完之後呢
150000	158000	他就來到了大學的Condensed Matter Theory Center
158000	164000	2020年呢他就拿到University of Utah的
164000	167000	這裡的Physics Department來任教
167000	171000	那他主要的研究興趣呢
171000	176000	是關於這個Quantum Many-Body System的新現象
176000	179000	然後主要他看的問題有點像是
179000	182000	就是Inter-Wide Symmetry
182000	184000	然後Topology就拓撲學
184000	187000	然後還有這些Many-Body Interaction
187000	191000	促成的新的一些現象
191000	194000	那今天他會跟我們演講的題目呢
194000	198000	是關於拓撲超導體
198000	200000	然後會有一些跟Quantum Computing
200000	202000	就是量子電腦相關的題目
202000	205000	那現在我們就是follow Tara的傳統
205000	208000	以掌聲歡迎這個徐怡婷老師
208000	214000	好,大家好
214000	218000	今天我會跟大家分享
218000	221000	就是有關拓撲超導體
221000	225000	還有它在Quantum Computing
225000	227000	就是量子計算上面
227000	230000	到底有什麼應用或是有什麼關係這樣
230000	233000	然後我會盡量講的科普
233000	235000	所以如果有任何問題的話
235000	237000	你可以打斷我沒關係
237000	240000	你就是可以直接問
240000	242000	OK,所以呢
242000	247000	首先我是做靈態理論物理的
247000	251000	然後今天我要也跟大家分享
251000	255000	就是作為一個靈態理論物理學家
255000	259000	要怎麼樣就是在這個題目上面
259000	261000	就是有所貢獻
261000	263000	然後大家可以看到
263000	266000	我下面這個第一張slide下面有寫
266000	270000	我現在也在找Postdoc跟PhD學生
270000	272000	所以如果你聽完這個talk
272000	274000	然後覺得很有趣的話
274000	276000	歡迎跟我聯絡
276000	282000	OK,等一下
282000	284000	等一下我要找一下
284000	286000	我怎麼到下一頁
286000	290000	OK,好
290000	292000	因為大家今天聽眾
292000	294000	都是來自不同的背景
294000	296000	所以我想要先解釋一下
296000	300000	就是所謂靈態理論物理到底是什麼
300000	303000	所以靈態理論物理的英文是
303000	306000	Condensed Matter Theoretical Physics
306000	308000	然後我們在研究的呢
308000	310000	首先當然是理論物理
310000	311000	所以我是不做實驗的
311000	313000	我是沒有實驗室的
313000	316000	然後我們所使用的工具就是
316000	318000	電腦還有紙筆
318000	320000	然後到底靈態是什麼呢
320000	323000	靈態是一個範稱
323000	325000	然後它指的就是
325000	328000	包括材料跟一些在實驗
328000	331000	就是在大自然裡面存在的材料
331000	333000	還有在實驗室裡面
333000	336000	所能做出來的一些特別的材料
336000	338000	你可以這麼想
338000	340000	這一切都算是靈態
340000	342000	因為它是固態的或是它是液態的
342000	344000	所以這就是Condensed Matter
344000	346000	然後你可以看到我這邊放了一張圖
346000	350000	這是一個示意圖
350000	352000	這個是比如說你可以想像
352000	353000	有一個二維的材料
353000	355000	它就是只有一張紙
355000	357000	像是一張紙一樣
357000	360000	然後這一些黑色的球
360000	363000	你可以想像它們都是原子
363000	365000	所以這個是相當微觀的尺度
365000	368000	你要到原子這麼大小去看的話
368000	369000	你就可以看到
369000	371000	有這樣不同的晶格在材料裡面
371000	373000	在一個二維材料裡面
373000	375000	然後它的晶格是六角形
375000	377000	所以這只是一個示意圖
377000	381000	就是我們所研究的內容
381000	383000	就是像這樣不同的材料
383000	385000	它有不同的晶格
385000	386000	然後你可以想像
386000	389000	每一個原子的旁邊都會有電子
389000	392000	然後依照量子力學
392000	395000	然後在這個原子的周圍
395000	397000	然後有不同的活動
397000	399000	所以我們在研究的
399000	401000	就是那些電子
401000	404000	在這樣子的一個背景之下
404000	405000	一個晶格
405000	406000	有不同的晶格
406000	408000	在不同的維度之下
408000	411000	它到底會發生一些什麼有趣的事
411000	413000	造成不同的材料性質
413000	415000	所以這就是我們
415000	418000	做靈態物理的人
418000	420000	感興趣的題目
423000	425000	然後我還想要講一下
425000	427000	我們比較常聽到的是
427000	428000	做實驗物理的人
428000	429000	尤其在靈態裡面
429000	431000	實驗是非常重要的
431000	434000	那到底理論跟實驗物理之間
434000	436000	有什麼樣的關係呢
436000	439000	其實大部分重要的發現
439000	440000	在歷史上面
440000	442000	過去這一百年來
442000	444000	大部分都是實驗先起的頭
444000	445000	也就是說
445000	447000	在某一些實驗裡面
447000	449000	大家看到
449000	451000	有發現很神奇的事情
451000	453000	在材料裡面發生
453000	457000	然後我給大家一個例子
457000	459000	比如說
459000	461000	在過去的一百年裡
461000	463000	你可以看到從1913年開始
463000	464000	諾貝爾獎開始
464000	466000	就是超導體的發現
466000	467000	超流體的發現
467000	469000	液態海裡面的超流體
469000	471000	甚至是有名的高溫超導體
471000	473000	還有一些很重要的
473000	475000	超導體的發現
475000	479000	這些都是實驗先發現的
479000	481000	這些都是
481000	484000	這裡面有四個諾貝爾獎
484000	485000	就是他們都是
485000	487000	當初在實驗裡面
487000	490000	意外或者是有計畫的發現了
490000	494000	特別的現象
494000	496000	材料裡面的現象
496000	498000	然後呢
498000	500000	理論的人
500000	502000	理論的人就去
502000	504000	試圖了解這實驗裡面
504000	506000	發現的那些現象
506000	508000	到底應該要怎麼樣去了解它
508000	510000	但是呢
510000	512000	這也不是每一次都是這樣
512000	514000	有的時候呢
514000	516000	是理論先做出了預測
516000	518000	就是理論先去做出了一些
518000	520000	基於數學等等的理論
520000	522000	去做出了預測
522000	524000	然後呢
524000	526000	實驗學家呢
526000	528000	就試圖想要在
528000	530000	真實的系統裡面
530000	532000	去看到所預測的現象
532000	534000	就是偶爾
534000	536000	這些重大的發現
536000	538000	也是可以這樣被發現的
538000	540000	但是呢
540000	542000	這樣的狀況是比較少的
542000	544000	原因就是因為
544000	546000	以超導體來說
546000	548000	我會解釋到底超導體是什麼
548000	550000	但是以超導體來說
550000	552000	這是因為要做出這樣的預測
552000	554000	其實是比較困難的
554000	556000	然後呢
556000	558000	我想要做的事情呢
558000	560000	就是
560000	562000	我想要預測
562000	564000	到底要怎麼樣找到一些
564000	566000	理論上面存在的
566000	570000	特殊的一些超導體
