start	end	text
0	9220	TARA我們是一個台灣年輕研究學者的一個組織
9220	13560	那我們全年每週週末都會有這樣的TARA Talk
13560	16900	那這個演講的形式跟內容都非常的多元
16900	22280	那學術研究者可以就是來這邊分享你的研究成果
22280	24840	那練習一下就是給presentation
24840	27640	或者是認識一些未來的可能合作者
28200	33880	那這邊要先讓我停止
33880	39520	我們下週跟下下週都有靈態物理跟機器學習相關的演講
39520	44480	那有興趣的人可以再去我們的演講公告那邊報名
44480	48360	那之後的演講訊息大家也可以掃這個QR code
48360	50600	然後可以做確認然後報名
50600	55480	那也歡迎大家就是追蹤我們TARA的Facebook跟Instagram
55480	57680	那有興趣加入會員的呢
57680	60040	就可以在這邊直接掃我們的QR code
60040	63520	或者是使用chat裡面我放了一個連結
63520	68200	那TARA會員呢我們有就是專用的Slack Channel
68200	71840	我們會在上面分享各種活動或是工作機會
71840	73880	或者是相關領域的新資訊
73880	76080	所以就非常歡迎大家加入
76080	81160	那今天的活動呢我們也會發就是TARA badge的數位證明
81160	84920	那這個東西其實就是NFT區塊鏈
84920	87640	那徽章的圖案還蠻好看的
87640	91080	所以相關的資訊呢我等等也都會放在chat裡面
91080	92480	就大家可以再看一下
92480	96520	那演講結束的時候我們才會公佈領取徽章
96520	99720	它需要一個密碼我們會在演講結束才公告
99720	104200	那如果你的手機無法裝就是我們使用的這個
104200	106400	POAP這個app的話呢
106400	110120	那你最後會後再留下來我們再來討論怎麼解決
110120	114920	那好回歸正題呢今天的講者呢是林素景
114920	119520	那素景呢在台灣完成他的大學跟碩士學位
119520	124480	分別在中山醫跟陽明大學念醫學影像跟腦科學
124480	129120	那他大學時期呢他是訓練成為一個臨床放射師
129120	135600	那碩士期間他在龍總的腦功能小組研究FMRI分析
135600	140040	那之後他到加拿大的UBC念Neuroscience的博士學位
140040	144320	那博士期間主要研究的就是功能性神經影像
144320	148120	跟神經疾病病人的認知功能之間的一些連結
148120	150920	那注重在神經網路分析
150920	159080	那目前他在加拿大的Montreal Neurological Institute做博碩研究員
159080	161880	那這陣子剛好在德國出差
161880	167320	那依據Tira的傳統呢我們現在先請大家打開你的麥克風
167320	170080	一起掌聲歡迎講者
170080	172440	大家準備好了嗎
172440	175080	3 2 1
175080	176120	啾
176120	178400	啪啪啪啪啪
178400	181480	謝謝大家的配合
181480	184360	好那現在我就停止share screen
184360	189720	然後我們舞臺就給素卿囉
189720	191720	好謝謝
197640	200640	這樣子應該是可以看到
200640	204000	嗯看得很清楚
204000	206760	嗨大家好我現在人在慕尼黑的旅館
206760	209560	我希望旅館的網路很穩定
209560	211640	應該不會有什麼問題啦
211640	215680	那萬一有問題萬一中途不小心斷線會再嘗試連回來
215680	218640	那萬一真的發生大家請多包涵
218640	224600	好啦我今天要講的其實是我們在MNIG上的研究
224640	227440	這個研究其實是
227440	229840	兩年去年應該是今年吧
229840	232360	今年被接受的一篇paper
232360	235840	所以在這過程當中我會主要是會講一些大綱
235840	239240	那重點那有些很細節的部分呢
