start	end	text
0	24740	那大家好,就是歡迎來到Taira Talk,Taira是一個屬於台灣年輕研究者的友善場域,我們全年每週,週末舉辦Taira Talk,這個演講的形式與內容都非常自由多元,學術研究者可以依據自己的職涯階段來這邊分享研究成果,練習線上演說,或是認識未來可能的研究者。
24740	53280	今天我們的講者是顏紫雲,他目前是紐約大學Paul Glincher教授,曾經經濟學實驗室的博士生,
53480	63280	主要的研究方向是利用手機App收集長期追蹤數據來探究個體日常生活活動與其風險和時間偏好的波動之關聯性。
63780	74040	他今天的演講是部分資料的分享,然後今天分享的結果已經完成第一輪的review,然後正在進行revision,所以他很歡迎任何的建議和想法。
74540	84440	然後在演講過程中,如果有任何問題,他是可以打斷的,對不對?就是問題可以直接打斷,或是不清楚的都可以直接提問。
86200	91720	那等一下下來就交給你了,對,讓我來分享螢幕。
91720	103720	OK,好。
103720	110720	那為什麼突然有?
110720	114720	現在還有嗎?
114720	117720	沒有了,沒有了,應該沒有了。
117720	127720	好,那我今天的演講題目叫做You sing a novel on the nature of risk attitude to reveal how life influences our risk preferences。
127720	138720	那首先先謝謝大家來參加這個活動,對,那我今天的演講內容主要其實就是我的博士論文會做的,不是認為正在做的東西。
138720	159720	好,那我們都知道,其實風險跟不確定性在我們生活當中跟我們的很多選擇都有息息相關,比如說,呃,是不是要打疫苗?呃,這件事打疫苗,這件事可能在臺灣大家不覺得有風險,但是可能在在美國就很多有人因為覺得打打疫苗很危險,所以就不想打疫苗。
160720	171720	那或者是在另外一個裡面的話,就是比如說你想不想要投資虛擬貨幣,這些決定其實都伴隨著一定的風險跟不確定性。
171720	181720	所以呢,呃,一個人他對於接受風險的,呃,偏好,其實是很大程度影響了他是不是願意做這些決定。
181720	196720	那我們,呃,研究者在研究的時候呢,就把這個概念,就是a person's individual willingness to make this kind of risky choice,叫做risk preference,就是你對於風險的態度或者是偏好。
196720	214720	對,好,那,呃,傳統上的,比如說不亂,不論是經濟學的研究或者是心理學的研究,通常都會把這個所謂的風險偏好,想像成一個是一個呃,比較stable的psychological trade,就是它是比較,呃,穩定,然後不會有所改變的。
214720	230720	然後在個體之間會有,有所差異,但其實越來越多的研究顯示出,就是我們的風險偏好,其實在個體之間是會有,呃,系統性的改變,就是會dynamic,是非常dynamic的。
230720	243720	對,那過去的,呃,所以呢,我們就會想要知道說,那到底是什麼樣的因素會造成,不論是個體間還是個體內的風險偏好的差異。
