start	end	text
0	17880	大家好,我是今天的主持人張雁雄。我們今天非常榮幸能請到洪紹敏博士,他是物理心理學家,來為我們介紹他的研究的興趣。
17880	30660	今天的研究題目是《無意識處理的複雜性,我們還要意識做什麼?》。在開始今天的演講之前,讓我來先介紹一下紹敏。
31500	52840	紹敏畢業於台大心理系,在杜克大學、新加坡國立大學醫學院取得了神經科學博士學位。在新加坡取得博士學位之後,來到洛杉磯的加州理工學院做博士後研究。
53400	64400	他的研究有一大部分的時間在問的問題是,意識是什麼?我們可以處理無意識的訊息嗎?注意力和意識之間的關係是什麼?
65260	81280	為了處理這些問題,他花了很多的時間來設計實驗。他的研究工具包含心理物理學方法、實證照影,最近也開始使用腦電圖和眼動追蹤儀。
82840	100960	主持人:「我們要讓講者感受一下,所以我們要掌聲歡迎他。在掌聲之前,希望大家用麥克風,這樣講者才能聽到我們的掌聲。我們現在就掌聲感謝紹敏為我們帶來今天的演講。」
113320	130620	主持人:「感謝大家來。我剛一開始其實有提到,就是想要做一點改變。今天的演講,我還是會談蠻多我的實驗,還有一些細節的地方,但是我會盡量著重在這些實驗背後,到底想要解釋什麼事情,想要說明什麼事情。」
130620	157900	主持人:「我會建議你在整個研究的研究跟研究之間,我會停下來,然後讓大家問問題,可以問更多的細節等等。如果都沒有問題的話,我們就開始。剛剛晏永有提到說,我今天就是要談無意識處理的複雜性,最後我想要花一點點時間來討論說,如果我可以證明說無意識的處理真的非常的複雜,那我們到底要意識做什麼?
157900	174700	為什麼我們的人腦不要像電腦一樣,我們接收一個input,然後處理完之後就把output丟出來,不需要經驗到外在的世界?為什麼我們人腦要經驗到外在的世界?最後會有一點點的討論這樣。」
174700	197460	主持人:「好,那依照慣例,通常我要講我的東西之前都要先定義一下什麼是意識,至少在這個討論的框架裡面,意識到底是什麼?我要討論的意識,基本上跟內容有關係,不是狀態,這兩個是比較常見的分法。
197460	226260	內容的意思是說,譬如說我現在把這個杯子拿起來,我對這個杯子有意識的時候,這個杯子進入了我的意識內容來,狀態是譬如說我現在講得很無聊,待會過了五分鐘你可能就睡著了,你睡著之後,在還沒有做夢的時候你就處在一個無意識的狀態,那今天要談的無意識都不是在講狀態,都是在講那一個感官刺激沒有進入到你的意識內容來,都是在談內容。
227780	236220	今天談的意識,也都著重在視覺意識上,所以大家常說的是visual awareness,就是談視覺,就是我們有沒有看到這個東西。
236440	261520	那我會把視覺意識跟意識這個東西混在一起談,當我說意識的時候,在這個talk裡面基本上我就在講視覺意識,因為待會我會給你看的實驗,跟我自己平常做的研究,大部分都著重在視覺這個層次上。
261720	270360	不代表說這些東西沒有辦法被放在聽覺或觸覺的意識底下討論,只是說今天主要是著重在視覺意識。
271360	276520	為什麼我會對研究無意識的處理有興趣呢?
277520	305520	其中一個點是,根據訊息理論,他們有稍微的估算一下我們眼睛每秒鐘接收到的訊息量,跟我們大概可以意識到的內容,眼睛可以接收到的訊息量大概是10的80方bit,所以非常多,每一秒鐘可以接收到這麼大量的訊息,可是我們真正有意識的內容,這個有點爭議,大概在幾十到幾百,最多讓你上千個bit每秒鐘,你可以看到其中有一個非常非常大的差別。
305520	315520	一個簡單的說法當然就是,訊息在傳遞的過程中,從你眼睛接收到這些訊息,一路到真的這個東西被你意識到,有很多的訊息散失了,就消失了。
316520	327520	另一個可能性是,其實我們在大腦處理外在這些訊息的時候,我們即使處理了它,這些訊息從來沒有進入到我們意識狀態來,可是還是被我們大腦處理,然後可能還是會影響我們的行為。
327520	338520	我有興趣的就是,這些訊息到底是哪些種類的訊息?大腦可以處理哪些種類的無意識內容?處理了之後,到底哪些訊息可以影響我們的行為?
339520	344520	今天的菜單非常簡單,我是講三大樣的東西。
344520	361520	第一個,我要透過過去幾十年的研究,說服大家說,很多東西我們覺得我們有看到,或者我們覺得我們意識到,就像我剛剛說的這兩個字,我會混著用。
361520	368520	這些東西,其實我們沒有意識到,沒有看到,這些都是一些很經典的心理學或者知覺心理學裡面的研究。
369520	377520	第二個,就是我的主要的研究部分,我會談,這些沒有看到的東西,是不是我們大腦就忽略它,不管它?其實不是。
377520	385520	我們在很多的研究裡面都發現說,我們看不到的、我們沒有意識到的訊息,其實你的大腦還是可以處理它,而且可以進一步影響你的行為。
385520	395520	最後,花一點時間談一下,為什麼我們要感覺到外在世界,為什麼我們要有經驗?
395520	403520	你可以從標點符號的使用,可以感覺到,從第一個到第三個,其實是越來越推論性、越來越推測性的。
403520	408520	到第三個的時候,基本上就是我自己個人的猜想,也歡迎大家跳進來一起討論。
409520	416520	前菜的部分,我會花一點時間來說服你說,很多東西我們覺得我們有看到,其實我們沒有。
416520	419520	第一個,其實是一個非常常見的例子。
419520	430520	當我們看了一個圖的時候,直覺上我們會覺得說,我們的視覺系統或我們的眼睛就像是攝影機或者像是照相機一樣,就是我們把細節都看進去。
430520	436520	比如說,你現在看了這個圖,你就看到中間有一個動物,然後有很多花花草草,然後我看到了非常多的細節。
436520	443520	那我接下來要給你看的東西,其實有點像是我們平常小時候會玩的那個叫做……
443520	453520	我現在有點忘記他的名字是什麼,不過anyway,我要給你看的就是,我會把這張圖其中一個地方稍微改動一下,然後把這個原圖跟改動的圖兩張前後前後地呈現。
453520	462520	那如果說,你現在看這張圖的時候,你可以記住他所有的細節,或者是你眼睛捕捉到的所有細節,我一旦改動的時候,你應該就很明顯地可以看到。
462520	464520	那我們來試試看你看不看得到。
464520	474520	好,那這時候就是要用我們剛剛講的那個yes的功能,就是你的螢幕最左邊應該有一個手掌符號,待會你一看到這兩張圖有哪裡不一樣的時候呢,就請你馬上按yes,讓我知道。
474520	476520	好,那我們開始囉。
479520	483520	這是兩張不一樣的圖喔,有一個小地方是不一樣的。
487520	489520	有個人非常厲害的瞬間就看到了。
493520	503520	好,那他後來又按了no,所以現在看起來是大家都還沒有看到,我再給大家十秒鐘的時間,然後我就公佈答案。
504520	506520	喔,有些人看到了,很棒。
508520	510520	然後公佈答案,答案在這裡。
511520	513520	這一個點是不一樣的。
513520	525520	那所以這樣的,這叫change blindness,或者叫改變盲,這是什麼意思呢?就是當我們以為我們的視覺系統看到外在世界的時候,其實會去捕捉所有的細節,其實不是的。
525520	535520	就是你的視覺系統其實會忽略很多的細節,我們覺得我們有看到的東西其實是沒看到的,所以當我做一點點改變的時候,再給你看兩張圖片有什麼差別,你其實找不到。
536520	537520	好,那這是第一個例子。
537520	542520	第二個例子呢,其實還是改變盲,那這個例子我覺得很酷,它是一個漸進式的改變盲。
542520	549520	好,那這個其實是一個影片喔,待會我會播放這個影片,那它會慢慢的改變,它是一個動態的東西。
549520	553520	一旦你看到任何的改變呢,那就請你馬上按yes。
553520	554520	好,那我們開始囉。
554520	565520	好,那它其實是一直改變的過程喔,你可能會覺得這是一個靜態的圖片,不是,它是一個影片。
565520	577520	好,大家有看到有什麼差別嗎?因為我看了很多次,我現在已經可以很明顯的看出來這個跟剛剛一開始已經不太一樣了。
578520	580520	好,再給大家五秒鐘的時間。
581520	584520	有看到嗎?有,有一些人開始有看到了。
584520	588520	好,那我要停在這裡,我們影片已經播到了這裡。
589520	594520	好,這是一開始這個影片長的樣子,然後這是剛才的樣子。
594520	599520	你可以看到那個顏色有非常大的差別,那這是一個漸進式的改變盲。
599520	606520	那其實這個東西就在我們眼前啊,可是這麼大的顏色改變,我的視覺系統竟然沒有辦法捕捉到它。
606520	616520	那這一樣再次的說明說,很多時候我們覺得我們有看到外在世界的一些改變啊,或者我們其實很清楚的看到外在世界,其實不一定是真的。
617520	620520	那我們再給大家看一個更有名的例子。
620520	625520	好,那這個例子呢,我想要直接先播影片,那播完之後呢,我再講一下這個現象是什麼。
625520	636520	好,那你在這個影片裡面呢,要做的事情是,去數待會,可能這裡已經有一些人看過,因為這個實在是非常的有名。
636520	640520	念心理學相關的人一定都有看過,那反正其他人你就先試試看。
640520	648520	待會你要做的事情呢,去數穿著白衣服的人呢,他們傳籃球傳了幾次,就這麼簡單。
648520	651520	好,那我們馬上開始。
655520	656520	好,那我們馬上開始。
656520	658520	好,那我們馬上開始。
685520	689520	好,那不知道大家有沒有成功的算出來是15次。
689520	696520	那現在重點,關鍵的問題來了,是剛才大家在螢幕上有看到一隻大猩猩嗎?
696520	699520	有看到的人請按一下yes,沒有看到的請按no。
699520	702520	我想看一下大家的答案的分佈。
