start	end	text
0	6000	好,那大家好,歡迎來到今天的 Taira Talk
6000	11000	Taira 全稱是 Taiwanese Young Researcher Association
11000	15000	是一個屬於台灣年輕研究者的友善場域
15000	22000	我們全年的每週周末都固定會舉辦 Taira Talk
22000	27000	這個演講的形式跟內容都是非常自由而且多元
27000	30000	這個學術研究者可以依據自己的職涯階段
30000	33000	來這邊分享他們的學術成果
33000	35000	或是練習他們的線上演說
35000	40000	或是進一步有可能可以認識未來可能的合作者
40000	45000	那今天我們的講者是許偉哲
45000	49000	許偉哲你要不要先 share 你的螢幕
49000	51000	好
59000	60000	這樣有嗎
60000	64000	有有有,好,那今天講者是許偉哲
64000	71000	他目前在 University of Colorado Boulder 的化工系
71000	76000	Chemical and Biological Engineering 科系
76000	79000	目前是 PhD 學生
79000	82000	那他今天所會演講的題目呢
82000	87000	是關於 identifying signature of
87000	90000	不好意思,我不會唸那個字
90000	97000	Proteolytic stability and dimerization property
97000	100000	那他是做模擬相關的
100000	104000	那他之前在 Terra 也過非常精彩的演講
104000	107000	那依照 Terra 的慣例呢
107000	111000	就是我們在演講開始前會打開麥克風
111000	115000	然後用掌聲歡迎講者
115000	120000	那我們用掌聲歡迎偉哲
120000	129000	好,OK,謝謝大家
129000	132000	我就直接開始嗎
132000	134000	是的,你可以直接開始
134000	137000	不好意思,大家好,我是許偉哲
137000	140000	那我目前在 Colorado 大學
140000	143000	波德分校的化工系念博士班
143000	147000	然後我平常的博班主要的研究興趣是利用
147000	149000	電腦的分子動力學模擬
149000	152000	來去探討不同的生物物理現象
152000	154000	或者是開發相關的演算法
154000	159000	那今天謝謝大家就是過來聽這場演講
159000	162000	然後今天的研究應該算是我博班研究裡面
162000	166000	比較稍微貼近一般人生活的一個研究
166000	169000	所以我今天也是第一次就是
169000	171000	想說嘗試使用中文
171000	175000	然後比較科普的角度來解釋這篇學術研究
175000	178000	所以如果過程中任何有不清楚的地方
178000	179000	都歡迎可以讓我知道
179000	181000	直接打斷我其實也沒關係
181000	183000	好,那我們話不多說
183000	185000	我們就直接進入今天的主題
185000	187000	今天我們想要來探討就是
187000	190000	我們如何可以利用電腦模擬呢
190000	192000	來去找出糖化胰島素中
192000	195000	可以影響胰島素性質的因子
195000	199000	好,那在我們進入今天的主題之前呢
199000	202000	我們可以先來看看胰島素長什麼樣子
202000	205000	那胰島素它是一個蛋白質分子
205000	208000	那它主要由兩條胺基酸鏈所組成
208000	210000	就像你這邊看到的
210000	212000	藍色的這一條跟黃色這條
212000	214000	那分別是Chain A跟Chain B
214000	218000	那基本上大家應該都會有所耳聞
218000	220000	胰島素跟人類最大的關係呢
220000	222000	就是它非常的被廣泛於
222000	225000	非常廣泛的被應用於就是糖尿病的治療
225000	226000	那舉例來說
226000	229000	美國目前總共有三千四百萬的人口呢
229000	231000	是糖尿病的患者
231000	235000	那其中有七百萬人是使用胰島素
235000	237000	作為主要的治療方式
237000	239000	那胰島素的治療管道呢
239000	242000	絕大部分都是透過皮下注射來完成
242000	245000	那糖尿病的患者在餐前的三十分鐘
245000	248000	通常都必須要進行注射一次
248000	249000	那這也代表說
249000	252000	通常糖尿病的患者一天需要注射
252000	254000	兩到三次的胰島素
254000	256000	那可想而知就是
256000	258000	一天如果要打針兩到三次
258000	260000	應該是非常的令人不舒服
260000	261000	所以呢
261000	263000	透過皮下注射的胰島素
263000	266000	它最大的缺點就是它本身的侵入性
266000	268000	那因此呢在過去的二十年來
268000	271000	科學家就是致力於發展
271000	273000	就是其他可能的管道
273000	275000	非侵入性的管道
275000	276000	去減少就是
276000	279000	使用皮下注射的方式來完成給藥
279000	283000	那其中就是被認為最具有潛力的
283000	284000	一個管道呢
284000	286000	就是所謂的口服胰島素
286000	288000	那二十年過去了
288000	290000	就是這個研究已經進行了二十多年
290000	293000	那為什麼到現在就是大家好像
293000	295000	平常沒什麼聽到說
295000	298000	就是市面上流通的口服胰島素藥物呢
298000	300000	原因主要是因為
300000	302000	口服胰島素藥物的開發
302000	304000	實際上還有很多的
304000	305000	重大的挑戰
305000	308000	那這些挑戰大部分都是來自於胰島素
308000	310000	它會經過人體的消化系統
310000	313000	那第一個比較明顯的一個挑戰
313000	314000	就是說呢
314000	317000	當胰島素經過人體的胃的時候呢
317000	320000	胃酸會把胰島素的結構給破壞掉
320000	322000	那胰島素就會失去作用
322000	323000	那基本上呢
323000	325000	這個挑戰其實已經在
325000	327000	先前一段時間就已經
327000	330000	算是有被徹底的解決
330000	332000	那絕大部分主流的用法呢
332000	334000	都是利用一些特殊的材料
334000	336000	去包覆胰島素
336000	339000	然後讓胰島素可以就是在
339000	341000	這種特殊的材料呢
341000	343000	在酸性的情況下不會被溶解掉
343000	346000	這樣就可以保護胰島素在胃部的時候呢
346000	349000	可以不會接觸到胃酸而被腐蝕
349000	351000	那在離開胃部的時候
351000	354000	進入中鹼性的消化道系統
354000	355000	就會被溶解
355000	357000	那個膠囊會被溶解掉
357000	359000	那胰島素的藥物就會被釋放出來
359000	362000	所以第一個問題其實已經算是一個解決
362000	364000	但它曾經是一個口服胰島素
364000	366000	開發上一個非常大的挑戰
366000	368000	那接下來的這兩個挑戰呢
368000	370000	目前還沒有獲得完全的解決
370000	372000	那第一個的挑戰就是
372000	373000	胰島素呢
373000	375000	它在腸胃系統的穩定度不是很好
375000	378000	原因是因為腸胃系統很多的消化酵素
378000	380000	會就是破壞胰島素
380000	383000	那一樣也會讓胰島素失去作用
383000	384000	另外就是說
384000	387000	胰島素它其實對細胞膜的通透性不是很好
387000	389000	通常我們會看到就是
389000	393000	兩個胰島素分子可能會彼此聚合
393000	394000	聚集在一起呢
394000	398000	然後會變成一個所謂的胰島素的二聚體
398000	400000	那這樣的二聚體呢
400000	402000	算是一個比較大的一個分子
402000	404000	所以它比較難以通過細胞膜
404000	406000	然後人體吸收的
406000	409000	對它的吸收度也會變得比較低
409000	411000	所以後續這兩個挑戰
411000	414000	是目前還沒有辦法完全解決的問題
414000	416000	那因此呢
416000	418000	如果我們要開發口服胰島素
418000	419000	我們知道
419000	422000	我們會希望口服胰島素藥物呢
422000	424000	至少要達到兩個目標
424000	425000	第一個目標就是
425000	428000	我們希望它對人體的消化酵素有足夠的抗性
