start	end	text
0	4000	謝謝主持人的介紹,也謝謝現場的聽眾
4000	7000	我不知道現在大家各個時區時間怎麼樣
7000	10000	但我相信應該都是星期天
10000	13000	都佔到大家週末的時間,謝謝你們
13000	17000	也希望等一下大家可以盡量的給我一些回饋
17000	20000	我先說明的是,我今天要分享的東西
20000	23000	大概不能夠說是研討會等級
23000	26000	因為它是一個發展中的研究計畫
26000	31000	所以後續其實還在持續的進行之中
31000	35000	所以它等一下我呈現給大家的會是一個雛形
35000	38000	那另外就是因為它還在發展中
38000	42000	所以大家可以,我會公佈我的email
42000	47000	或者是這個錄像應該會公佈在youtube裡面
47000	50000	對不對,會公佈在youtube上
50000	52000	所以也歡迎大家就是跟我聯絡
52000	57000	但是今天所分享的東西就是還沒有要出版
57000	59000	上次的那個已經快要出版了
59000	61000	對,所以那就不要沒關係
61000	65000	所以請大家先不要引用
65000	68000	但是歡迎大家給我一些那個指教
68000	72000	好,那我現在就先來分享我的螢幕
75000	79000	好,我今天要跟大家分享的東西
80000	83000	好,我今天要跟大家分享的是
83000	87000	我一直在持續做的一個東西就是
87000	90000	這個一個跨文化的一個教材
94000	97000	請問大家都看得到嗎
97000	104000	好,那這是一個以這個跨文化溝通為導向的一個華語教材的設計和研究
104000	109000	好,那首先我想先跟大家分享這兩句話
109000	110000	一個是哈佛斯說的
110000	116000	他說如果我們在這個交際之中沒有衝突的話
116000	119000	其實坦白說我們也很難被喚醒一些事情
119000	122000	跟我們也很難覺察一些我們本身的文化的一些事情
122000	126000	那另外呢,這是顧百里老師
126000	132000	他也是我博士班的時候的這個指導的老師之一
132000	136000	那他說呢,我們今天在做語言的學習和教學的時候
136000	139000	他說我們不應該說語言和文化
139000	142000	我們現在很多的科系都叫做語言文化系
142000	144000	他說其實不應該這樣說的
144000	145000	他說為什麼呢
145000	148000	因為實際上語言跟文化是沒有辦法分開的
148000	152000	所以他說應該是說語言在文化之中的
152000	153000	所以他認為文化比較大
153000	157000	語言只是一個文化的一個表現而已
157000	158000	所以他認為說呢
158000	162000	這個語言文化的表現不是在一個語言系統裡面
162000	168000	而且呢,它其實是整個延展到語言的實際的溝通的用途
168000	171000	那接下來呢,我想跟大家分享的是
171000	174000	為什麼我會做這個研究
174000	177000	它的緣起其實大概是在20多年前
177000	180000	當時我還年紀很小的時候
180000	183000	我翻譯了這本書
183000	186000	它也是目前第一本
186000	188000	第一份這個學術論文
188000	191000	是研究國語中心的學生
191000	193000	在臺灣的國語中心的學生
193000	198000	這些外籍學生他們來到臺灣之後的一個文化適應的問題
198000	203000	那當時呢,這位學者就是Sister Grace Boyce
203000	205000	那她是一個社會學系的一個教授
205000	207000	她也是一位修女
207000	211000	那她非常的關心當時的這些外籍生的一種適應狀況
211000	213000	做了一個很大的一個研究
213000	215000	那這份研究做得很好
215000	218000	當時也獲得了一筆獎金
218000	220000	所以呢,就整個就把它出版了
220000	222000	那時候我非常的榮幸
222000	224000	可以去翻譯她的這本書
224000	226000	這份論文研究
226000	229000	那這份論文研究在我翻譯完之後
229000	232000	其實給我很大的一個個人的震撼
232000	234000	跟一個啟發
234000	237000	就是原來礦物化適應是這麼困難的事情
237000	240000	那在整份的這個報告的最後呢
240000	245000	那她呢就對這個如何協助
245000	248000	二語者適應母語國家
248000	250000	她提出了很多的建議
250000	253000	那當然包括的是這些旅居者本身的建議
253000	255000	如何做好心理準備啊
255000	257000	如何去改變自己的態度啊
257000	261000	如何在事前或事後怎麼樣的去融入這個文化
261000	265000	那但是呢,她也對語言中心和語言教師呢
265000	267000	提出了一些建議
267000	270000	那這對我來講當時是非常新鮮的一件事情
270000	274000	她說其實語言中心也要負擔著這個
274000	277000	外籍學生的一個特殊需求的一個助益
277000	281000	然後要協助他們的自我的層次的提升和文化覺察
281000	285000	還有在心理先預先預計著的
285000	287000	可能會在目標語國家
287000	289000	那當然就是當時是指在台灣
289000	292000	可能會遇到的一些文化衝擊
292000	294000	那她認為呢,語言的
294000	296000	語言老師、語言教師
296000	298000	也更應該要充分的準備
298000	300000	因為呢,他們往往是外籍學生
300000	304000	第一個密切接觸的本國籍母語者
304000	306000	所以呢,她應該要讓她成為一個
306000	308000	很豐富的一個資源庫
308000	310000	來協助這些外籍學生
310000	313000	讓他們能夠順利的
313000	317000	達到當地的一個文化適應與溝通交流
317000	319000	那這個
319000	323000	翻譯這本書給我的一個最大的啟發就是
323000	326000	所以語言教師她不只是教會語言而已
326000	328000	她要協助的是文化適應
328000	331000	和這個協助她的學生
331000	333000	能夠做得體的溝通
333000	335000	那所以我覺得其實我們語言教師
335000	338000	大概也需要一些跨文化海洋的能力
338000	340000	大概才能夠這個
340000	342000	恰如其分的做好我們的一個
342000	344000	這種語言教學的工作
344000	346000	那這個是作為我的一個開場
346000	347000	接下來呢
347000	349000	我們就繼續要分享一下
349000	351000	我的一個研究動機和背景
351000	353000	首先呢
353000	357000	在我們這個外語的學習之中
357000	359000	我們會從一語學習到二語
359000	361000	或者是第二個二語
361000	363000	有些人就會說這個Language 3
363000	366000	那我們常常會注意到的是
366000	370000	我們的母語和我們的目標語的一個遠距離
370000	372000	比方說羅曼語系
372000	374000	它的遠距離可能很近
374000	375000	就羅曼語系本身
375000	377000	它們的語言距離可能很近
377000	379000	可能是比方說
379000	380000	這個一個法國人
380000	382000	他要學習中文
382000	384000	那語言距離就很遙遠了
384000	387000	我們常常會用這樣子的標準
387000	389000	來衡量語言的學習
389000	392000	還有衡量這個語言學習的難度
392000	393000	但是呢
393000	395000	實際上我們常常會去忽略了
395000	396000	我們語言的學習
396000	398000	真正目的是為了溝通
398000	401000	其實在每一個語言之中
401000	404000	都含有的是它背後的文化
404000	407000	那是不是從L1到L2的距離
407000	410000	就等於這個target language的
410000	411000	這個culture的距離
411000	413000	其實有時候是不等長的
413000	415000	所以語言的難度
415000	417000	並不等於文化的距離
417000	420000	比方說也許同樣的
420000	423000	是學習一個差不多等距的
423000	424000	德語和英語
424000	426000	如果我們是一個母語中文的人
426000	429000	也許在文化距離上
429000	431000	這個我們沒有做過
431000	432000	很深度的分析
432000	434000	也許我們對德語國家的
434000	436000	在這個文化理解上
436000	438000	其實可能比這個
438000	440000	比方說美式的英文的
440000	441000	這個目標語國家
441000	443000	可能會更困難
443000	445000	好 那接下來呢
445000	446000	所以呢
446000	448000	我想在這幾年的學界
448000	449000	都非常的重視
449000	452000	礦化學習這個部分
452000	455000	那因此所謂的這個語言學習
455000	456000	應該呢
456000	458000	要注意到深層的學習
458000	460000	也就是能夠理解
460000	462000	目標語的一個文化
462000	463000	才能夠達到
463000	465000	得體的溝通的目的
465000	467000	好 那所以
467000	470000	這也是我會撰寫的一個動機
470000	472000	那接下來呢
472000	474000	以臺灣為主的
474000	475000	華語教材之中
475000	477000	我們看到大部分都還是
477000	479000	是在語言本體的一個學習
479000	481000	那其中散佈著一些
481000	482000	零星的文化點
482000	484000	其實我感覺
484000	486000	在美國的華語教材
487000	489000	也差不多是這樣子
489000	491000	那但是他們可能會有些教材
491000	492000	像IC這套教材
492000	493000	它會特別的去強調
493000	495000	有所謂的cultural highlight的部分
495000	496000	好 那另外呢
496000	498000	我們常說的文化課
498000	500000	在這個圓中心的文化課
500000	502000	也常常是注意到一個
502000	503000	成就文化的教授
503000	505000	包括了比方說
505000	507000	大家常看到的
507000	509000	這個學習寫書法
509000	510000	或者是
510000	512000	因應著各種的這個節令啊
512000	514000	會有一些相關的
515000	516000	那另外呢
516000	517000	還有也有所謂的
517000	520000	這種信息文化的這個教材
520000	521000	比方說
521000	523000	就是目標與國家的
523000	525000	這一些它的一些資訊
525000	527000	包括當地的這個人文啊
527000	529000	歷史啊 地理
529000	530000	像我們世大貴中心
530000	531000	就會開著這個
531000	533000	今日臺灣
533000	535000	臺灣當代議題的課程
535000	537000	就討論一些臺灣的一些
537000	539000	新聞或者是一些社會現象
539000	542000	那像這類的教材
542000	543000	比方說
543000	544000	這大家很熟悉的話
544000	545000	今日臺灣
545000	547000	大概是屬於這一種
547000	548000	Informational的
548000	549000	Cultural的一種教材
549000	551000	那接下來也有的是
551000	553000	這幾年也出了一些
553000	555000	跨文化理解為導向的教材
555000	557000	比方說這個
557000	558000	這就是我們世大的老師
558000	560000	這個臺灣萬花筒
560000	561000	那臺灣萬花筒的話
561000	562000	它的一個編寫方式
562000	564000	是做一種文化對比式的
564000	566000	比方說以運動為主題
566000	568000	臺灣人喜歡的運動是什麼
