start	end	text
0	9500	大家好,歡迎來到今天2022年4月16號的TIRA演講。
9500	26500	我們今天邀請到的講者是簡穆華,他畢業於台大大氣系研究所,畢業之後在臺灣摸索了幾年自己的興趣,例如跑過超級馬拉松。
27000	39000	他在2016年到紐約大學讀科學計算的碩士,2018年繼續念大氣科學和應數的博士。
39000	56000	他今天帶來的演講是《熱帶大氣和颱風的簡化模型》,我們非常期待他的演講。
56000	65500	請各位觀眾打開麥克風,我們一起鼓掌歡迎講者。
86500	100000	因為相對內容還是有一些比較專業的部分,我剛剛看到很多參加者其實是我們領域裡面的人,所以我還是維持原本要講的方式。
100000	105000	如果大家覺得有興趣,我們可以事後再傳訊息來討論。
106000	122000	我是穆華,他在酷朗數學研究中心下的氣候研究的program,他主要是做應用數學相關的大氣或是海洋的題目。
123000	134000	我還是稍微介紹一下我自己,我是某人的兒子,我媽也在聽。
134000	140000	我最近當爸爸,然後我一個小孩,所以我最近在台灣剛照顧我剛出生的兒子。
140000	147000	我也曾經跑過超級馬拉松,然後我現在也是一個博士生,在NYU。
147000	160000	我也有在從事台灣議題相關的倡議,在台灣念過大學,然後在NYU也念過一個印書的碩士,然後現在在念博士。
160000	170000	我參加蠻多台灣社區的活動,像是同鄉會也參加發帕,然後下面是我辦過的活動,參加過很多這種活動。
170000	174000	很像是我念博班才是副業,但其實兩個都是主業。
175000	179000	好,那我就開始今天的主題了。
179000	184000	那今天的主題其實就是有關熱帶的大氣,那熱帶大氣我們可以看到是什麼呢?
184000	191000	就是我們不知道可以看到什麼,所以就先從NASA找了一張照片,就是從太空往地球拍的照片。
191000	196000	那我們可以看到很多雲,這是第一個可以看到的事情。
196000	205000	第二個事情就是我們可以看到像照片裡面可以看到的是一個熱帶氣旋,或者說大家認為這個是颱風。
205000	213000	那我覺得作為一個大氣科學研究者,就是不可免俗的,我們必須把這個議題帶往跟我們生活環境有關。
213000	218000	那也就是最近跟大家比較相關的是氣候變遷的這件事情。
218000	227000	那我的問題跟氣候變遷相關的問題就是說,那在氣候變遷的時候我們所看到的熱帶大氣到底會怎麼樣改變?
227000	234000	那或者說它的改變會帶給我們什麼樣的影響?因為我的議題不是做影響的,所以我先講會有什麼樣的影響。
234000	241000	就是這些極端氣候的出現,就是極端天氣事件的出現,其實跟氣候變遷是直接影響到的。
242000	251000	就是你的背景的環境,比方說你的暖化好了,你增加兩度C,增加三度C,你背景的環境,就是你大氣穩定的環境就會直接改變。
251000	266000	那它環境改變的時候很有可能會出現一些,就是颱風可能會變得更強,或者是我們在過去幾年在台灣感受到可能是乾旱,或者是有極端降雨的出現,就是極端事件可能出現會增加。
266000	280000	那這是我自己的看法,我覺得我們其實像科學家已經研究這個主題研究了很久,比方說用模擬或者用觀測來研究這個主題超過很久。
280000	291000	但是其實我們在了解這個議題上還是有一些不確定性,或者在預報或者在了解這個事情上還有很多不確定性,那我們可以給出一個大概的狀況。
291000	302000	那這些不確定的因素其實大部分來自於是我們這個照片裡面看到的雲,那也就是水氣在這個物理系統中所造成的影響。
302000	315000	那所以我今天的主題其實就是有關水氣,那如果是我們領域的人就會知道說這大概是大氣熱力學的部分,那今天有算是一個簡單的介紹。
315000	340000	那在進下一張投影片之前,我覺得要講的事情有點像是,我們想要知道極端事件會對我們造成的影響,我們先得了解說我們的穩定態的,就是我們在原本的狀態是怎麼樣,或者是它的背後的物理結構是怎麼樣,或者是數學結構是怎麼樣,我們才可以說今天我們改變了多少度,那氣候會怎麼樣改變。
340000	354000	就是你如果沒有一個背景知識是知道說它的原本的狀態是怎樣的話,或者它背後的物理是什麼,你沒有辦法知道說,那它改變之後變成什麼樣,所以今天的演講都會比較著重在,就是它的背景態是怎麼樣。
354000	367000	那在開始之前呢,其實就是我們知道說什麼叫做背景態,什麼叫做穩定,什麼叫做不穩定,那穩定的就是我們可以觀測得到,應該說不是觀測,就是我們可以知道說它的在沒有人為影響,
367000	378000	或者是說在原本的物理結構下是怎麼樣的,那這這邊有一個就是我在網路上找了一個簡單的概念來看說什麼樣叫做穩定,什麼叫做不穩定。
378000	394000	那第一個我們可以想像它是一個碗,然後碗裡面有一顆球,那你把球放進去的時候,這個球就會滾到這個碗的最低點,那你怎麼樣去移動,你去稍微推一點這個球,或者是你去給它一個一定範圍的施力的情況下,它不會離開這個碗的底部太遠。
394000	410000	那我們當然就會稱這個狀態是穩定,那如果你今天放在一個就是你把碗反過來,或者是你把這個球放在一個斜坡上,這個球就會一路滾到很遠的地方,那這個情況就是,那我們這個情況就是不穩定的。
410000	422000	那還有第三種情況是叫做neutral,就是它是一個中立的狀態,就是你的球可以滾到任何地方,在任何這個地方它都可能是相對穩定的這個位置。
422000	430000	那我覺得我要說的是我們的氣候其實比較偏向於這個狀態,就是我們有一個穩定態的存在。
431000	440000	那可是呢,在氣候變遷的情況下,我們可能變成另外一個情況就是,它會有新的穩定態產生,那另外一個穩定態其實是可以比較穩定的存在。
440000	455000	那可是這個就是從我們原本在A點移動到B點的時候,它可能是有更多的極端事件發生,或者是更少的極端事件發生,或者是某一種極端事件,比如說乾旱會比較多,或者降雨會比較多的情況發生,只是我們還需要更多事情來研究。
455000	465000	但是在這個所有之前,我們還是可以先了解說在A狀態的穩定態,就是它背後的物理到底是什麼。
465000	471000	所以今天的故事大概會著重在說,那我們的大氣到底是什麼東西。
471000	480000	好,那現在就開始進入主題了。進入主題之後,進入主題的第一個點就是我們要講什麼是浮力。
481000	495000	我記得我自己在中學的時候,浮力是一個算是蠻困難的主題,那那個時候老師給的算是大概念,就是說浮力等於物重,那到底什麼是物重呢?
495000	511000	就是如果我們看到一個浮在液體上的物體,那這個浮在上面的東西剛好流體可以乘除它的重量,所以說這個浮力剛好可以乘除這個物重。
511000	523000	那當然它也等於說就是我們可以把原本的流體挖掉,然後它可以取代它的重量是多少,那就可以衍生到第二個跟第三個的圖。
523000	539000	就是如果說我今天有一個物體在這個中間往下沉,那或者它剛好浮在這個流體中,那我們就知道說這個東西的密度或這個東西的重量剛好等於浮力給它的重量,那也就是說這兩個東西的密度基本上是一樣的。
539000	552000	那下一個情況就是說這個東西的密度比較大,那它就會沉到最下面,所以說浮力就沒有辦法支撐原本的重量,那浮力就會等於流體的就是原本在這個空間的流體的重量。
553000	559000	那這個浮力的概念我們要怎麼樣應用到大氣之中呢?
559000	579000	這個是一個我還也許有就是這個實驗的參加者來聽這個演講,就是我們怎麼樣知道說在垂直大氣裡面就是密度的分布,因為我們如果知道密度的分布就知道說剛剛那個物體到底是會往下沉還是要往上浮。
579000	597000	那一個直約方式我們就去量它的溫度跟氣壓,我們就可以知道說用理想氣體方程式知道它的密度嘛,那當然我們仍不可能到這個各個高度去量,那最簡單的方式就是我們灌一顆氣球,然後讓這個氣球就是往上飛。
597000	610500	那在飛的過程中它會記錄每個高度的溫度跟氣壓,那我們藉此就可以知道說就是每一層空氣的密度是多少。
611500	630500	那不可免俗的就是,我們知道每一層的這個有一個目的,但是我們在做這個事情之前可以再做另外一件事情就是,我們可以知道說在坐飛機的時候,我們知道說地表的溫度氣溫是比較高的,那它是隨著高度遞減。
630500	652500	但是呢,壓力是隨著高度遞減。那就是右邊的這個圖,我們在地表的時候可能是大概攝氏二十度,然後壓力可能是一千多百趴,在對流層頂的時候可能是負四十度,然後它的壓力可能是一百百趴。
652500	669500	那大氣呢某種程度上,我們知道說大氣大部分的時候是穩定的,那這個就給了我們一個比較反直覺的事情,就是溫度越來越低,可是密度卻是越來越小。
