start	end	text
0	3000	我之前是從台大農業系畢業
3000	7000	然後我在這邊不是要宣傳台大農業系
7000	10000	但是只是想要讓大家知道說
10000	13000	為什麼我做的東西是這個
13000	17000	然後他跟我們就是是什麼樣的背景下會有這個題目
17000	21000	所以台大農業系可能不見得很多人聽過
21000	25000	很多人都聽過園藝系或是其他的昆蟲系農學院裡面的科技
25000	27000	但農業系大家可能沒有那麼熟悉
27000	30000	但是對我來說
30000	33000	我覺得農業系最酷的地方就是
33000	41000	他是一門在研究怎麼樣了解我們的作物的科系
41000	44000	所以你看到我在這邊我放的這些都是
44000	47000	一部分是世界上很主要的糧食
47000	49000	一部分是台灣人可能沒有這麼熟悉的糧食
49000	52000	比如說玉米台灣大家很熟悉
52000	54000	燕麥可能熟悉可能沒有那麼熟悉
54000	56000	還有各種不同的豆類
56000	57000	穀類
57000	59000	所以應該是蕎麥
59000	63000	然後台灣可能像比較熟悉稻米水稻
63000	67000	或是比較不常吃但也可能是主要的馬鈴薯
67000	70000	其實這些都算是在農業系的研究領域裡面
70000	73000	所以我們可以研究的包含他們的像遺傳
73000	76000	就是我們可能研究說哪些基因會有哪些功能
76000	78000	可能幫助這些植物長得更
78000	81000	我們去了解哪些基因讓這些植物開花開花
81000	83000	開得早開得晚
83000	87000	然後哪些基因讓它比較能夠抗淹水
87000	89000	或是抗乾旱
89000	91000	或是耐其他的逆境
91000	94000	這就是遺傳想要找的東西
94000	96000	那另外一個部分是生理
96000	100000	就是有另外一群農系的老師學生想要知道說
100000	103000	在比如說淹水的狀況下植物會有什麼反應
103000	105000	它可能會讓它長得更高
105000	108000	或是它裡面可能會有產生哪些的化合物
108000	110000	讓它能夠對抗這些的逆境
110000	112000	或者是比如說養分不夠的時候
112000	114000	它需要用什麼的方式
114000	118000	讓這些植物能夠在這種比較不好的環境下長得更好
118000	120000	那最後就是統計
120000	122000	統計就是因為我們需要做實驗
122000	124000	可是我們需要有一個結論說
124000	126000	我今天做的實驗看到的這些結果
