start	end	text
0	3020	整理&字幕):三马兄
30000	32000	整理&字幕):三马兄
60000	62000	整理&字幕):三马兄
90000	92000	整理&字幕):三马兄
120000	137000	我之後的身份在UC Berkeley做了一個叫做Jupiter Meteors的計劃,我剛剛已經在聊天室貼上那個圖影片的連結,所以你們有興趣的話你們可以先自己閱讀一下,不過你們看到的東西應該是會一樣的。
138000	157000	那這個計劃的主要目標其實就是量身打造立科研究的軟體生態系,那如果等一下你有聽到什麼聽不懂的地方,歡迎隨時打斷我,因為可能會有一些比較行話的部分,我不確定大家是否能夠理解,所以歡迎隨時打斷。
157000	180000	那今天呢,在接下來的一個小時左右的時間呢,我會把內容分成五個部分,首先我會稍微再多補充一些東西,包括我現在做什麼,我以前在做什麼,然後還有這些東西是如何引領我到現在這個計劃的。
181000	195000	那在講Jupiter Meteors的時候,之前我會先講一下Jupiter是什麼,然後地球科學目前遇到什麼樣的挑戰,那最後我們再討論Jupiter Meteors的目標是什麼,以及我們現在已經完成了什麼事情。
196000	207000	那最後的一部分呢,就是我們未來的一些展望以及規劃,以及我們看到在這個立科社群之間做出的一些努力。
208000	217000	那我自己的專業呢,我自己的研究領域是遙測、冰河學、地球物理跟地表變形。
218000	238000	那這邊剛好有一個示意圖,就是告訴你們我其中一個研究計劃是在做什麼。可以想像就是在你面前有一個冰河,冰河上面會有一些冰河裂隙,那隨著冰河流動的時候,這些裂隙也會改變它的位置。
239000	259000	那如果你今天有一個衛星,可以每隔一段時間就幫這個冰河拍個照,那這樣子的話你就可以去看這些照片,然後去計算說,這個冰河上面的每條裂隙它的移動速度是多少,進而解算出整個冰河它的移動速率。
260000	277000	那麼這個例子呢,就是我眾多的研究計劃其中一個啦。那我大部分的研究計劃,雖然不是全部,不過我大部分的研究計劃就是有點像是這樣,就是使用非常豐富的衛星遙測資料,監測冰雪圈的變化。
277000	297000	這一直的冰雪圈呢,包括了地球上的冰河,包括海冰,甚至包括其他行星上面有冰的部分。那這些變化大部分都是物理變化,譬如說,我剛剛說的速度、水時間的變化,或是冰河的高度、水時間的變化,或是其他的物理參數。
298000	308000	這些參數都會對整個地球科學,尤其是全球變遷的領域造成非常深刻的關聯。
309000	324000	那我在進入 Cornell 的時候,大概是 2015 年吧,就開始把我的研究重心放在冰河學上面,然後這樣做做做下來,到目前為止大概是已經六、七年了。
325000	342000	那麼在使用這些衛星資料的時候,我發現我們使用的這些資料的尺度以及資料的量是這麼的龐大,用傳統的分析方法有時候會顯得比較沒有效率。
343000	354000	有一個問題我一直在想,就是要怎麼樣才能夠在你使用很多資料的同時也能夠保持你進行分析以及跟別人進行學術交流的各種效率呢?
354000	359000	對我而言,這個答案就是開放科學,這是大數據時代的解方。
361000	374000	開放科學意味著你的研究裡面的所有細節都要盡可能地開放給大眾知道,譬如說開放你的資料讓其他人可以容易地存取,
375000	388000	上傳你的原始碼或是程式碼,讓每個人只要有需要都可以Google你的工具,甚至是當你有一些研究結果之後,你可以上傳你的研究結果,
389000	397000	不管是以圖片或是影片的方式上傳,甚至是跟媒體合作,宣傳你的研究,這些東西都屬於開放科學的範疇。
398000	412000	不過呢,雖然聽起來是很簡單沒錯,但做起來其實還蠻困難的,因為你會發現當你真的去想說要把你所有的東西,資料、程式碼、筆記以及結果全部都開放出去的時候,就會有一些挑戰。
413000	420000	那這些挑戰呢,就是為什麼我現在會加入Jupyter Mixed Years這個團隊,以及為什麼我現在會做這個計畫的原因。
421000	434000	所以,我們先來講一下Jupyter。請問你對Jupyter有多深的了解?這是一個民意調查,所以如果大家有看到聊天室的話,我已經有貼了一個連結,就是這個。
435000	448000	你可以匿名或是打成你的名字,沒關係,我不會確認。不過你可以稍微的選一下你對Jupyter有多深的了解,讓我了解一下大家的背景。
448000	474000	看起來目前是所有人其實都聽過Jupyter,那有一些人已經有在用過,大概三分之二吧,三分之二的人用過了Notebook或是JupyterLab,然後剩下三分之一的人是天天都在用,太好了。
475000	480000	看起來大家對Jupyter這個東西都有一定程度的了解。
482000	494000	我提高了,變成七比三了,不錯不錯,感謝大家的投票。那大家都投了,那我們就進展到下一個,等一下還會有其他的問題,所以我們就進展到下一個。
494000	509000	如果要我來定義Jupyter是什麼的話,我會說Jupyter其實是為要科學量身打造的作業系統。
510000	527000	作業系統意味著它可以幫助你完成一件你想要完成的任務,當然你的任務可能會有非常多不同的工作細項,Jupyter就提供了不同的工具來幫助你完成你的任務裡面不同的需求。
527000	553000	這邊用一個圖書來舉個例子,假設你現在腦中有一個研究的點子,然後它開始成形,然後你要開始去探索,這個研究點子有沒有搞頭,你可能會想要用你的電腦,然後去下載一些資料,然後寫一些程式碼,去初步的分析看看事情是不是像你所想的這個樣子。
553000	578000	當你確定這個計劃有發展性的時候,你可能就會想要使用更進一步的,譬如說使用更多的資源,譬如說計算的資源,或是你可能就會想要找其他的共同合作者來一起去執行這個計劃,來一起去分析可能很龐大的數據資料。
583000	602000	Jupyter它提供的工具就是把這所有的事情全部都綁在一起,讓你在找資料的時候,或是在進行海量運算的時候,或是你在跟別人進行協作的時候,都能有共同的平台來彼此交流。
603000	611000	你會注意到這邊我把iPython也放在它的中心圈圈裡面,這是因為iPython其實是Jupyter的前身。
613000	625000	iPython是由Fernando Perez他在十幾二十年前設計的,當初的目的就是希望說在寫程式碼,在分析資料的時候能夠即時的呈現出資料長什麼樣子。
626000	636000	這個概念就隨著iPython被發明出來,逐漸的流行起來,現在把這個計劃放到了下一個世代的Jupyter裡面。
