start	end	text
0	25000	好,那很欢迎大家来到今天的Taiwan Talk,今天是1月8号,我们今天很高兴呢,到张翰,他目前呢是在台湾大学服务,他的PhD是在美国University of Massachusetts Amherst,然后PhD后来呢他在Boston进了一家生技产业,
25000	45000	然后后来呢又到了Boston University,就是BU的医学院,就是School of Medicine,做博士后研究,然后在2021年的时候呢他回到台湾大学,在医材影像所担任助理教授,今天呢我们很高兴有他来演讲。
45000	61000	那Taiwan的小小的传统就是呢,我们会请大家把麦克风打开,然后拍手,欢迎我们的讲者,那现在欢迎我们的讲者张翰老师。
65000	69000	好的,那可以share screen了。
75000	77000	有看到吗?
95000	97000	有看到吗?
97000	99000	可以看到了。
99000	104000	好,那也谢谢您介绍。大家好,我是张翰。
105000	122000	我刚刚所说,我是2016年博士班毕业的,然后之后是辗转几个单位,就是有一些新创公司要去博士后,然后我是去年2021年的时候回到台大做助理教授。
122000	132000	我记得Tara一开始申请,我记得表格说什么会员有每年一次报告研究之义务,然后我这件事情一直记在心里。
132000	142000	我回台湾之后基本上就很少上线,因为都起不来,所以想说还是要贡献一下。
142000	162000	今天也没全省,不过就是来跟大家聊聊。主要目的还是跟大家分享一下,另外也是如果大家对回台湾的环境有什么问题的话,我们等一下可以再讨论一下。
163000	189000	我自己实验室是做号称AI影像的分析,我本来做博士后的时候是做肌肉骨骼影像,主要治疗标的是退化性关节炎,另一方面就是回台湾之后又找一些其他的合作项目,包括脑科学跟线外影像等等。
189000	205000	等一下我有时间的话会稍微讲一下。AI这件事情可能是大家听演讲,每两周就会听到一次,所以介绍性的话我就很快带过去了。
205000	223000	大家知道AI在过去的五年、十年大概发展很快,很多影像辨识、分类、政策等等的表现超过人的标准,大概是最近几年发生的事情。
224000	242000	如果你看脑科学的话,比较旧的Letter,他们都会说图像辨识、人脑、电脑这些超过,可是假设你们再看一下Letter,可能五年内的话他们就会改口。
242000	250000	所以这个改变是最近几年的事情,可能大家都在自己的领域会感受到了。
250000	270000	在艺术影像上,影像上的modality是一个非常非常缓慢的过程。大家可能听过Hobart有一个Gordon Center,Gordon Center是影像中心合作PathGen的发明人,就是Gordon跟Charles。
271000	285000	他们做的是PathGen的前身,基本上原理其实是差不多的。他们的影像解析度的lower boundary是跟现在是一样的。
285000	300000	所以在艺术影像上的modality是一个非常非常慢的过程,通常都是几十年。通常都是几十年的adaptation要implement,然后被定创大规模使用。
300000	317000	所以有时候这一个领域或者AI有兴趣,不是因为,是不得不然,是因为发展太慢了。所以看到新的工具就赶快想利用看看,看到什么改变机会。
317000	333000	基本上Machine Learning或Deep Learning这些东西,它的功能就是找一个function,好比说我们可以做一个function去看图像,可以做分类。假设自然影像的话,分类就是分车子,分猫狗之类的。
