start	end	text
0	3320	謝謝大家今天參與今天Project Teal的演講
3320	7940	我是今天的主持人,我是在魯汶大學念PhD的高賢
7940	10500	今天的講者是靜江
10500	16900	靜江是MIT現在的博士候選人
16900	23560	他在進入MIT之前,他在台大拿到了電機系的一個士學位
23560	29560	那他現在的研究主要是專長在人類的決策
29560	35560	還有人跟我們的社會社群媒體如何的互動
35560	40060	尤其當我們的社群媒體充斥著很多真實的訊息
40060	42060	還有假訊息的情況下
42060	47560	人跟我們的社會媒體社會網絡是怎麼互動的
47560	51560	尤其是我們的人類的行為如何隨著時間
51560	55560	漸漸的演化成一個大型規模的社會現象
55560	57560	這是他所關心的議題
57560	61560	那他也會特別用不同的理論角度
61560	65560	不同的研究方法去關心他剛剛所講的這個研究的興趣
65560	68560	那今天我們邀請他來演講這個題目呢
68560	72560	就是跟Persuasion,跟策略性的新聞的分享
72560	76560	跟社會網絡之間的關心的一個題目
76560	78560	那我就先,我就不多說了
78560	81560	馬上就請我們靜嘉來進行今天的報告
81560	84560	對,那靜嘉,the floor is yours
84560	85560	OK, thank you
85560	86560	謝謝高雄的介紹
86560	89560	大家好,我現在在MIT念書
89560	92560	然後這是我,應該是最後一年了
92560	94560	今天我要介紹的一個是我的project叫
94560	99560	Persuasion, New Sharing and Cascade on Social Networks
99560	103560	然後這是一個join work with my post-doc
104560	106560	還有我的advisor
106560	109560	然後我現在其實在engineering school底下
109560	110560	然後這個問題
110560	113560	但是我其實做的東西是比較偏economics theory
113560	116560	好,那我們開始吧
116560	119560	首先就是現在呢
119560	122560	自從這個社交媒體發明了之後
122560	126560	就其實大家改變了這種消費新聞的行為
126560	129560	像美國人大概五分之一的人就會說
129560	132560	他們其實通常都是從社交媒體上面得到新聞
132560	134560	但是這種社交媒體呢
134560	135560	然後社交媒體呢
135560	138560	它也會增進大家的這種peer-to-peer interaction
138560	139560	就是人際之間的互動
139560	143560	然後其實它也會加速這樣子訊息的流通
143560	145560	但另外我們也發現說
145560	146560	其實在social media上面
146560	149560	其實你是有點像是被動的接收訊息
149560	152560	因為通常都是你的同事
152560	155560	你的朋友決定分享給你新聞
155560	158560	或者是這些演算法去推送給你新聞
158560	160560	其實是他們subjectively
160560	164560	選擇這些新聞在你被動的去接收這樣的新聞
164560	165560	另外還有social media
165560	168560	他們主要還是想要賺錢嘛
168560	171560	那其實他們在
171560	174560	在分配這些廣告或什麼之類的時候
174560	176560	其實無形中他們也可能是
176560	178560	加速了misinformation的
178560	182560	就amplify misinformation on the platform
182560	186560	然後今天我要study的問題就是說
186560	188560	就是大家分享新聞的動機是什麼
188560	190560	就是說這個其實是大家
190560	192560	現在學界還蠻關心的問題
192560	194560	就是說到底大家分享新聞
194560	197560	是為了要去告訴別人一些事情呢
197560	198560	還是表達自己的觀點
198560	202560	或者是說他其實是想要找同溫層
202560	203560	或者是想要去
203560	206560	就persuade別人
206560	207560	那另外就是說
207560	209560	在這樣的動機之下
209560	210560	那什麼樣的新聞
210560	214560	其實會在社交媒體上面傳得比較遠
214560	218560	就包含說像可信度的這個影響呢
218560	221560	還有以及他怎麼樣去
221560	223560	以及這樣子
223560	225560	應該說他
225560	228560	跟社會的一些
228560	229560	characteristic
229560	231560	就是他的一些特性有沒有什麼關係
231560	234560	然後像這個領域他現在就像
234560	237560	我切入的角度會是economics的角度
237560	238560	然後有一些psychologist
238560	240560	他可能就會去study就是說
240560	242560	他們有沒有一些behavioral bias
242560	244560	那political science他們就比較focus
244560	245560	在misinformation
245560	248560	在政治上面的影響
248560	251560	以及他們兩黨不同的新聞
251560	253560	他們可能會比較願意去傳
253560	256560	是不是自己跟自己黨相關的新聞呢
256560	257560	或者是
257560	259560	然後他們會怎麼樣去看待
259560	261560	跟自己是同黨的新聞
261560	262560	他是可信度比較高呢
262560	263560	或可能比較少
263560	264560	然後其實像這樣子的領域
264560	267560	他們都還是還蠻仰賴CS的幫忙
267560	270560	就是他們還是會做一些computational的事情
270560	273560	那今天我的這個問題呢
273560	275560	就是接下來的model
275560	276560	都會based on一個question
276560	279560	就是說如果大家在分享的新聞
279560	280560	上面的動機
280560	283560	其實是想要去讓你的follower
283560	284560	跟你想的比較接近
284560	286560	那麼會發生什麼事
286560	287560	所以其實這個model
287560	289560	算是一個what if的question
289560	291560	就是說如果這是大家的動機
291560	292560	大家想要去讓別人
292560	294560	跟你想的比較類似的話
294560	296560	那麼
296560	298560	什麼樣的新聞你會去傳
298560	300560	然後以及什麼樣的新聞
300560	302560	可能在什麼樣的社會
302560	305560	會傳得比較遠
305560	308560	OK
308560	309560	好
309560	311560	那就我剛才講的
311560	313560	就是我是用economics的角度
313560	314560	切入這個問題
314560	316560	所以接下來我會用
316560	320560	就是所謂的賽局理論來講這個model
320560	321560	然後另外就是我們這篇work
321560	323560	已經submit到
323560	325560	就是Journal of Economics Theory
325560	328560	然後這邊有一個SSR的link
328560	330560	如果大家感興趣那個Journal version
330560	334560	想要看的話就歡迎掃碼一下
334560	336560	首先我跟大家講一下這個model
336560	339560	一些比較大的assumption
