start	end	text
0	28000	歡迎大家來參加今天是2022年2月19日的台灣TALK,今天的講者是采薇,她的主題是Process Optimization and Economic Assessment for Reducing Carbon Emissions by Converting CO2 to Dimethyl Ethers.
28000	50000	Dimethyl Ethers with Renewable Hydrogen,采薇是台大化工系博士生,她在就讀清大化工碩班的時候就開始進行二氧化碳相關的研究,當時主要研究自電廠煙道器中捕捉二氧化碳,
50000	67000	畢業後先去業界工作幾年,再進入台大化工系就讀博士班。實驗室主要的專業是程序系統工程,以及將化工程序設計以及程序最佳化等等。
67000	83000	采薇延伸先前在碩班的研究,博班主要是研究二氧化碳再利用的增長製程模擬,將二氧化碳轉化為高質化化學品或燃料。
83000	107000	由於她在碩班畢業後的工作是化工製程設計工程師,她深刻體會到學術論文和實際應用上的落差,期許自己的研究能夠考量較多實際應用上的困難,研究上通常會包含製程的經濟評估和製程控制設計等實際面。
107000	112000	接下來,我們請采薇分享她的研究。
137000	154000	采薇延伸先前在碩班的研究,博班主要是研究二氧化碳再利用的增長製程模擬,將二氧化碳轉化為高質化化學品或燃料。
154000	174000	采薇將研究二氧化碳再利用的增長製程模擬,將二氧化碳轉化為高質化化學品或燃料。
174000	203000	采薇將研究二氧化碳再利用的增長製程模擬,將二氧化碳轉化為高質化化學品或燃料。
204000	224000	采薇將研究二氧化碳再利用的增長製程模擬,將二氧化碳轉化為高質化化學品或燃料。
224000	249000	采薇將研究二氧化碳再利用的增長製程模擬,將二氧化碳轉化為高質化化學品或燃料。
249000	276000	采薇將研究二氧化碳再利用的增長製程模擬,將二氧化碳轉化為高質化化學品或燃料。
279000	304000	采薇將研究二氧化碳再利用的增長製程模擬,將二氧化碳轉化為高質化化學品或燃料。
304000	333000	采薇將研究二氧化碳再利用的增長製程模擬,將二氧化碳轉化為高質化化學品或燃料。
334000	363000	采薇將研究二氧化碳再利用的增長製程模擬,將二氧化碳轉化為高質化化學品或燃料。
364000	393000	采薇將研究二氧化碳再利用的增長製程模擬,將二氧化碳轉化為高質化化學品或燃料。
394000	409000	采薇將研究二氧化碳再利用的增長製程模擬,將二氧化碳轉化為高質化化學品或燃料。
409000	429000	采薇將研究二氧化碳再利用的增長製程模擬,將二氧化碳轉化為高質化化學品或燃料。
429000	458000	采薇將研究二氧化碳再利用的增長製程模擬,將二氧化碳轉化為高質化化學品或燃料。
459000	485000	采薇將研究二氧化碳再利用的增長製程模擬,將二氧化碳轉化為高質化化學品或燃料。
485000	498000	采薇將研究二氧化碳再利用的增長製程模擬,將二氧化碳轉化為高質化化學品或燃料。
499000	504000	我將講解研究的動機。
504000	531000	我將講解研究的動機。
531000	541000	我將講解研究的動機。
541000	556000	我將講解研究的動機。
556000	585000	我將講解研究的動機。
586000	599000	我將講解研究的動機。
599000	619000	我將講解研究的動機。
619000	639000	我將講解研究的動機。
639000	659000	我將講解研究的動機。
659000	679000	我將講解研究的動機。
679000	699000	我將講解研究的動機。
699000	719000	我將講解研究的動機。
719000	744000	我將講解研究的動機。
744000	754000	我將講解研究的動機。
774000	794000	我將講解研究的動機。
794000	814000	我將講解研究的動機。
814000	834000	我將講解研究的動機。
834000	854000	我將講解研究的動機。
854000	874000	我將講解研究的動機。
874000	894000	我將講解研究的動機。
894000	914000	我將講解研究的動機。
914000	934000	我將講解研究的動機。
934000	954000	我將講解研究的動機。
954000	974000	我將講解研究的動機。
974000	994000	我將講解研究的動機。
994000	1014000	我將講解研究的動機。
1014000	1034000	我將講解研究的動機。
1034000	1054000	我將講解研究的動機。
1054000	1074000	我將講解研究的動機。
1074000	1094000	我將講解研究的動機。
1094000	1114000	我將講解研究的動機。
1114000	1134000	我將講解研究的動機。
1134000	1154000	我將講解研究的動機。
1154000	1174000	我將講解研究的動機。
1174000	1194000	我將講解研究的動機。
1194000	1214000	我將講解研究的動機。
1214000	1234000	我將講解研究的動機。
1234000	1254000	我將講解研究的動機。
1254000	1274000	我將講解研究的動機。
1274000	1294000	我將講解研究的動機。
1294000	1314000	我將講解研究的動機。
1314000	1334000	我將講解研究的動機。
1334000	1354000	我將講解研究的動機。
1354000	1374000	我將講解研究的動機。
1374000	1394000	我將講解研究的動機。
1394000	1414000	我將講解研究的動機。
1414000	1434000	我將講解研究的動機。
1434000	1454000	我將講解研究的動機。
1454000	1474000	我將講解研究的動機。
1474000	1494000	我將講解研究的動機。
1494000	1514000	我將講解研究的動機。
1514000	1534000	我將講解研究的動機。
1534000	1554000	我將講解研究的動機。
1554000	1574000	我將講解研究的動機。
1574000	1594000	我將講解研究的動機。
1594000	1614000	我將講解研究的動機。
1614000	1634000	我將講解研究的動機。
1634000	1654000	我將講解研究的動機。
1654000	1674000	我將講解研究的動機。
1674000	1694000	我將講解研究的動機。
1694000	1714000	我將講解研究的動機。
1714000	1734000	我將講解研究的動機。
