start	end	text
0	6000	整理&字幕志願者議員
30000	40000	整理&字幕志願者議員
60000	70000	整理&字幕志願者議員
90000	100000	整理&字幕志願者議員
120000	128000	整理&字幕志願者議員
150000	158000	整理&字幕志願者議員
158000	166000	整理&字幕志願者議員
188000	196000	整理&字幕志願者議員
218000	226000	整理&字幕志願者議員
248000	254000	整理&字幕志願者議員
278000	292000	整理&字幕志願者議員
292000	298000	整理&字幕志願者議員
322000	328000	整理&字幕志願者議員
352000	358000	整理&字幕志願者議員
382000	388000	整理&字幕志願者議員
412000	418000	整理&字幕志願者議員
442000	448000	整理&字幕志願者議員
472000	478000	整理&字幕志願者議員
502000	508000	整理&字幕志願者議員
532000	538000	整理&字幕志願者議員
562000	568000	整理&字幕志願者議員
592000	598000	整理&字幕志願者議員
599000	605000	整理&字幕志願者議員
605000	611000	整理&字幕志願者議員
612000	618000	整理&字幕志願者議員
619000	625000	整理&字幕志願者議員
625000	631000	整理&字幕志願者議員
632000	638000	整理&字幕志願者議員
639000	645000	整理&字幕志願者議員
645000	651000	整理&字幕志願者議員
652000	658000	整理&字幕志願者議員
659000	665000	整理&字幕志願者議員
665000	671000	整理&字幕志願者議員
672000	678000	整理&字幕志願者議員
678000	684000	整理&字幕志願者議員
708000	714000	整理&字幕志願者議員
715000	721000	整理&字幕志願者議員
722000	728000	整理&字幕志願者議員
728000	734000	整理&字幕志願者議員
735000	741000	整理&字幕志願者議員
742000	748000	整理&字幕志願者議員
748000	754000	整理&字幕志願者議員
755000	761000	整理&字幕志願者議員
762000	768000	整理&字幕志願者議員
768000	774000	整理&字幕志願者議員
775000	781000	整理&字幕志願者議員
782000	788000	整理&字幕志願者議員
788000	794000	整理&字幕志願者議員
795000	801000	整理&字幕志願者議員
802000	808000	整理&字幕志願者議員
808000	814000	整理&字幕志願者議員
815000	821000	整理&字幕志願者議員
821000	827000	整理&字幕志願者議員
828000	834000	整理&字幕志願者議員
835000	841000	整理&字幕志願者議員
841000	847000	整理&字幕志願者議員
848000	854000	整理&字幕志願者議員
855000	861000	整理&字幕志願者議員
862000	868000	整理&字幕志願者議員
868000	874000	整理&字幕志願者議員
874000	880000	整理&字幕志願者議員
904000	910000	整理&字幕志願者議員
910000	916000	整理&字幕志願者議員
916000	922000	整理&字幕志願者議員
923000	929000	整理&字幕志願者議員
929000	943000	整理&字幕志願者議員
943000	949000	整理&字幕志願者議員
973000	979000	整理&字幕志願者議員
980000	986000	整理&字幕志願者議員
987000	993000	整理&字幕志願者議員
993000	1007000	整理&字幕志願者議員
1007000	1013000	整理&字幕志願者議員
1014000	1020000	整理&字幕志願者議員
1020000	1034000	整理&字幕志願者議員
1034000	1040000	整理&字幕志願者議員
1040000	1047000	整理&字幕志願者議員
1070000	1076000	整理&字幕志願者議員
1077000	1083000	整理&字幕志願者議員
1084000	1090000	整理&字幕志願者議員
1090000	1096000	整理&字幕志願者議員
1097000	1103000	整理&字幕志願者議員
1103000	1109000	整理&字幕志願者議員
1109000	1115000	整理&字幕志願者議員
1115000	1121000	整理&字幕志願者議員
1122000	1128000	整理&字幕志願者議員
1129000	1135000	整理&字幕志願者議員
1136000	1142000	整理&字幕志願者議員
1143000	1149000	整理&字幕志願者議員
1149000	1155000	整理&字幕志願者議員
1156000	1162000	整理&字幕志願者議員
1163000	1169000	整理&字幕志願者議員
1169000	1175000	整理&字幕志願者議員
1176000	1182000	整理&字幕志願者議員
1183000	1189000	整理&字幕志願者議員
1190000	1196000	整理&字幕志願者議員
1197000	1203000	整理&字幕志願者議員
1204000	1210000	整理&字幕志願者議員
1211000	1217000	整理&字幕志願者議員
1218000	1224000	整理&字幕志願者議員
1224000	1230000	整理&字幕志願者議員
1231000	1237000	整理&字幕志願者議員
1237000	1243000	整理&字幕志願者議員
1268000	1274000	整理&字幕志願者議員
1275000	1281000	整理&字幕志願者議員
1282000	1288000	整理&字幕志願者議員
1289000	1295000	整理&字幕志願者議員
1296000	1302000	整理&字幕志願者議員
1303000	1309000	整理&字幕志願者議員
1309000	1316000	整理&字幕志願者議員
1339000	1345000	整理&字幕志願者議員
1346000	1352000	整理&字幕志願者議員
1352000	1358000	整理&字幕志願者議員
1382000	1388000	整理&字幕志願者議員
1412000	1418000	整理&字幕志願者議員
1442000	1448000	整理&字幕志願者議員
1449000	1455000	整理&字幕志願者議員
1455000	1461000	整理&字幕志願者議員
1485000	1491000	整理&字幕志願者議員
1515000	1521000	整理&字幕志願者議員
1545000	1551000	整理&字幕志願者議員
1575000	1581000	整理&字幕志願者議員
1605000	1611000	整理&字幕志願者議員
1635000	1641000	整理&字幕志願者議員
1665000	1671000	整理&字幕志願者議員
1695000	1701000	整理&字幕志願者議員
1725000	1731000	整理&字幕志願者議員
1755000	1761000	整理&字幕志願者議員
1785000	1791000	整理&字幕志願者議員
1815000	1821000	整理&字幕志願者議員
1845000	1851000	整理&字幕志願者議員
1875000	1881000	整理&字幕志願者議員
1905000	1911000	整理&字幕志願者議員
1935000	1941000	整理&字幕志願者議員
1965000	1971000	整理&字幕志願者議員
1995000	2001000	整理&字幕志願者議員
2025000	2031000	整理&字幕志願者議員
2055000	2061000	整理&字幕志願者議員
2085000	2092000	主席
2115000	2121000	主席
2145000	2151000	主席
2175000	2182000	主席
2205000	2212000	主席
2235000	2241000	主席
2265000	2271000	主席
2295000	2301000	主席
2325000	2332000	主席
2355000	2362000	主席
2386000	2392000	主席
2403000	2409000	主席
2415000	2421000	主席
2421000	2427000	主席
2427000	2433000	主席
2433000	2439000	主席
2439000	2445000	主席
2445000	2451000	主席
2451000	2457000	主席
2457000	2463000	主席
2464000	2472000	主席
2472000	2478000	主席
2478000	2484000	主席
2485000	2491000	主席
2491000	2497000	主席
2497000	2503000	主席
2503000	2509000	主席
2509000	2515000	主席
2515000	2521000	主席
2521000	2527000	主席
2527000	2533000	主席
2533000	2541000	主席
2541000	2547000	主席
2547000	2553000	主席
2553000	2559000	主席
2559000	2565000	主席
2565000	2571000	主席
2571000	2577000	主席
2577000	2583000	主席
2583000	2589000	主席
2589000	2595000	主席
2595000	2601000	主席
2601000	2607000	主席
2607000	2613000	主席
2617000	2623000	主席
2625000	2631000	主席
2631000	2637000	主席
2637000	2643000	主席
2643000	2649000	主席
2649000	2655000	主席
2655000	2661000	主席
2661000	2667000	主席
2667000	2673000	主席
2673000	2679000	主席
2679000	2685000	主席
2685000	2691000	主席
2691000	2697000	主席
2697000	2703000	主席
2703000	2709000	主席
2709000	2715000	主席
2715000	2721000	主席
2721000	2727000	主席
2727000	2733000	主席
2733000	2739000	主席
2739000	2745000	主席
2745000	2751000	主席
2751000	2757000	主席
2757000	2763000	主席
2763000	2769000	主席
2769000	2775000	主席
2775000	2781000	主席
2781000	2787000	主席
2787000	2793000	主席
2793000	2799000	主席
2799000	2805000	主席
2805000	2811000	主席
2811000	2817000	主席
2817000	2823000	主席
2823000	2829000	主席
2829000	2835000	主席
2835000	2841000	主席
2841000	2847000	主席
2847000	2853000	主席
2853000	2859000	主席
2859000	2865000	主席
2865000	2871000	主席
2871000	2877000	主席
2877000	2883000	主席
2883000	2889000	主席
2889000	2895000	主席
2895000	2901000	主席
2901000	2907000	主席
2907000	2913000	主席
2913000	2919000	主席
2919000	2925000	主席
2925000	2931000	主席
2931000	2937000	主席
2937000	2943000	主席
2943000	2949000	主席
2949000	2955000	主席
2955000	2961000	主席
2961000	2967000	主席
2967000	2973000	主席
2973000	2979000	主席
2979000	2985000	主席
2985000	2991000	主席
2991000	2997000	主席
2997000	3003000	主席
3003000	3009000	主席
3009000	3015000	主席
3015000	3025000	主席
3025000	3033000	主席
3033000	3039000	主席
3039000	3045000	主席
3045000	3051000	主席
3051000	3057000	主席
3057000	3063000	主席
3063000	3069000	主席
3069000	3075000	主席
3075000	3081000	主席
3081000	3087000	主席
3087000	3093000	主席
3093000	3099000	主席
3099000	3105000	主席
3105000	3111000	主席
3111000	3117000	主席
3117000	3123000	主席
3123000	3129000	主席
3129000	3135000	主席
3135000	3141000	主席
3141000	3147000	主席
3147000	3153000	主席
3153000	3159000	主席
3159000	3165000	主席
3165000	3171000	主席
3171000	3177000	主席
3177000	3183000	主席
3183000	3189000	主席
3189000	3195000	主席
3195000	3201000	主席
3201000	3207000	主席
3207000	3213000	主席
3213000	3219000	主席
3219000	3225000	主席
3225000	3231000	主席
3231000	3237000	主席
3237000	3243000	主席
3243000	3249000	主席
3249000	3255000	主席
3255000	3261000	主席
3261000	3267000	主席
3267000	3273000	主席
3273000	3279000	主席
3279000	3285000	主席
3285000	3291000	主席
3291000	3297000	主席
3297000	3303000	主席
3303000	3309000	主席
3309000	3315000	主席
3315000	3321000	主席
3321000	3327000	主席
3327000	3333000	主席
3333000	3339000	主席
3339000	3345000	主席
3345000	3351000	主席
3351000	3357000	主席
3357000	3363000	主席
3363000	3369000	主席
3369000	3375000	主席
3375000	3381000	主席
3381000	3387000	主席
3387000	3393000	主席
3393000	3399000	主席
3399000	3405000	主席
3405000	3411000	主席
