start	end	text
0	3000	整理&字幕由 Amara.org 社區提供
30000	36000	整理&字幕由 Amara.org 社區提供
60000	70000	整理&字幕由 Amara.org 社區提供
90000	100000	整理&字幕由 Amara.org 社區提供
120000	130000	整理&字幕由 Amara.org 社區提供
150000	160000	整理&字幕由 Amara.org 社區提供
180000	190000	整理&字幕由 Amara.org 社區提供
190000	200000	整理&字幕由 Amara.org 社區提供
200000	210000	整理&字幕由 Amara.org 社區提供
210000	220000	整理&字幕由 Amara.org 社區提供
220000	228000	整理&字幕由 Amara.org 社區提供
228000	238000	整理&字幕由 Amara.org 社區提供
238000	248000	整理&字幕由 Amara.org 社區提供
248000	256000	整理&字幕由 Amara.org 社區提供
256000	266000	整理&字幕由 Amara.org 社區提供
266000	276000	整理&字幕由 Amara.org 社區提供
276000	284000	整理&字幕由 Amara.org 社區提供
284000	292000	整理&字幕由 Amara.org 社區提供
292000	300000	整理&字幕由 Amara.org 社區提供
300000	308000	整理&字幕由 Amara.org 社區提供
308000	316000	整理&字幕由 Amara.org 社區提供
316000	324000	整理&字幕由 Amara.org 社區提供
324000	332000	整理&字幕由 Amara.org 社區提供
332000	340000	整理&字幕由 Amara.org 社區提供
340000	348000	整理&字幕由 Amara.org 社區提供
348000	356000	整理&字幕由 Amara.org 社區提供
356000	364000	整理&字幕由 Amara.org 社區提供
364000	372000	整理&字幕由 Amara.org 社區提供
372000	380000	整理&字幕由 Amara.org 社區提供
380000	388000	整理&字幕由 Amara.org 社區提供
388000	396000	整理&字幕由 Amara.org 社區提供
396000	404000	整理&字幕由 Amara.org 社區提供
404000	412000	整理&字幕由 Amara.org 社區提供
412000	420000	整理&字幕由 Amara.org 社區提供
420000	428000	整理&字幕由 Amara.org 社區提供
428000	436000	整理&字幕由 Amara.org 社區提供
436000	444000	整理&字幕由 Amara.org 社區提供
444000	452000	整理&字幕由 Amara.org 社區提供
452000	460000	整理&字幕由 Amara.org 社區提供
460000	468000	整理&字幕由 Amara.org 社區提供
468000	476000	整理&字幕由 Amara.org 社區提供
476000	484000	整理&字幕由 Amara.org 社區提供
484000	492000	整理&字幕由 Amara.org 社區提供
492000	500000	整理&字幕由 Amara.org 社區提供
500000	508000	整理&字幕由 Amara.org 社區提供
508000	516000	整理&字幕由 Amara.org 社區提供
516000	524000	整理&字幕由 Amara.org 社區提供
524000	532000	整理&字幕由 Amara.org 社區提供
532000	540000	整理&字幕由 Amara.org 社區提供
540000	548000	整理&字幕由 Amara.org 社區提供
548000	556000	整理&字幕由 Amara.org 社區提供
556000	564000	整理&字幕由 Amara.org 社區提供
564000	572000	整理&字幕由 Amara.org 社區提供
572000	580000	整理&字幕由 Amara.org 社區提供
580000	588000	整理&字幕由 Amara.org 社區提供
588000	596000	整理&字幕由 Amara.org 社區提供
596000	604000	整理&字幕由 Amara.org 社區提供
604000	612000	整理&字幕由 Amara.org 社區提供
612000	620000	整理&字幕由 Amara.org 社區提供
620000	628000	整理&字幕由 Amara.org 社區提供
628000	636000	整理&字幕由 Amara.org 社區提供
636000	644000	整理&字幕由 Amara.org 社區提供
644000	652000	整理&字幕由 Amara.org 社區提供
652000	660000	整理&字幕由 Amara.org 社區提供
660000	668000	整理&字幕由 Amara.org 社區提供
668000	676000	整理&字幕由 Amara.org 社區提供
676000	684000	整理&字幕由 Amara.org 社區提供
684000	692000	整理&字幕由 Amara.org 社區提供
692000	700000	整理&字幕由 Amara.org 社區提供
700000	708000	整理&字幕由 Amara.org 社區提供
708000	716000	整理&字幕由 Amara.org 社區提供
716000	724000	整理&字幕由 Amara.org 社區提供
724000	732000	整理&字幕由 Amara.org 社區提供
732000	740000	整理&字幕由 Amara.org 社區提供
740000	748000	整理&字幕由 Amara.org 社區提供
748000	756000	整理&字幕由 Amara.org 社區提供
756000	764000	整理&字幕由 Amara.org 社區提供
764000	772000	整理&字幕由 Amara.org 社區提供
772000	780000	整理&字幕由 Amara.org 社區提供
780000	788000	整理&字幕由 Amara.org 社區提供
788000	796000	整理&字幕由 Amara.org 社區提供
796000	804000	整理&字幕由 Amara.org 社區提供
804000	812000	整理&字幕由 Amara.org 社區提供
812000	820000	整理&字幕由 Amara.org 社區提供
820000	828000	整理&字幕由 Amara.org 社區提供
828000	836000	整理&字幕由 Amara.org 社區提供
836000	844000	整理&字幕由 Amara.org 社區提供
844000	852000	整理&字幕由 Amara.org 社區提供
852000	860000	整理&字幕由 Amara.org 社區提供
860000	868000	整理&字幕由 Amara.org 社區提供
868000	876000	整理&字幕由 Amara.org 社區提供
876000	884000	整理&字幕由 Amara.org 社區提供
884000	892000	整理&字幕由 Amara.org 社區提供
892000	900000	整理&字幕由 Amara.org 社區提供
900000	908000	整理&字幕由 Amara.org 社區提供
908000	916000	整理&字幕由 Amara.org 社區提供
916000	924000	整理&字幕由 Amara.org 社區提供
924000	932000	整理&字幕由 Amara.org 社區提供
932000	940000	整理&字幕由 Amara.org 社區提供
940000	948000	整理&字幕由 Amara.org 社區提供
948000	956000	整理&字幕由 Amara.org 社區提供
956000	964000	整理&字幕由 Amara.org 社區提供
964000	972000	整理&字幕由 Amara.org 社區提供
972000	980000	整理&字幕由 Amara.org 社區提供
980000	988000	整理&字幕由 Amara.org 社區提供
988000	996000	整理&字幕由 Amara.org 社區提供
996000	1004000	整理&字幕由 Amara.org 社區提供
1004000	1012000	整理&字幕由 Amara.org 社區提供
1012000	1020000	整理&字幕由 Amara.org 社區提供
1020000	1028000	整理&字幕由 Amara.org 社區提供
1028000	1036000	整理&字幕由 Amara.org 社區提供
1036000	1044000	整理&字幕由 Amara.org 社區提供
1044000	1052000	整理&字幕由 Amara.org 社區提供
1052000	1060000	整理&字幕由 Amara.org 社區提供
1060000	1068000	整理&字幕由 Amara.org 社區提供
1068000	1076000	整理&字幕由 Amara.org 社區提供
1076000	1084000	整理&字幕由 Amara.org 社區提供
1084000	1092000	整理&字幕由 Amara.org 社區提供
1092000	1100000	整理&字幕由 Amara.org 社區提供
1100000	1108000	整理&字幕由 Amara.org 社區提供
